Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"CDORO001 - pulbere"
Duration Time,300.108
Ambient Temperature,"112.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"11475327"
Raw Accumulated Counts,"12719707"
Valid Count Last Packet,"36092"
Raw Count Last Packet,"39779"
Live Time,270.634979
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0532
Number of Channels,2048
Vacuum,514
Channel#,Intensity
0,"9250"
1,"7282"
2,"4678"
3,"2938"
4,"1381"
5,"339"
6,"47"
7,"7"
8,"4"
9,"6"
10,"5"
11,"1"
12,"0"
13,"1"
14,"3"
15,"0"
16,"1"
17,"0"
18,"2"
19,"2"
20,"0"
21,"1"
22,"1"
23,"1"
24,"0"
25,"0"
26,"1"
27,"0"
28,"4"
29,"0"
30,"5"
31,"36"
32,"298"
33,"1009"
34,"1702"
35,"2020"
36,"2248"
37,"2393"
38,"2258"
39,"2327"
40,"2240"
41,"2193"
42,"2135"
43,"2139"
44,"2191"
45,"2293"
46,"2318"
47,"2391"
48,"2420"
49,"2296"
50,"2352"
51,"2244"
52,"2362"
53,"2247"
54,"2365"
55,"2335"
56,"2340"
57,"2329"
58,"2303"
59,"2324"
60,"2324"
61,"2328"
62,"2381"
63,"2264"
64,"2269"
65,"2241"
66,"2194"
67,"2119"
68,"2141"
69,"2162"
70,"2230"
71,"2211"
72,"2303"
73,"2336"
74,"2366"
75,"2328"
76,"2279"
77,"2316"
78,"2146"
79,"2213"
80,"2196"
81,"2217"
82,"2193"
83,"2404"
84,"2542"
85,"2743"
86,"2813"
87,"3085"
88,"2959"
89,"2881"
90,"2813"
91,"2884"
92,"3374"
93,"3899"
94,"5111"
95,"6292"
96,"7545"
97,"8147"
98,"7772"
99,"6606"
100,"5554"
101,"4383"
102,"3660"
103,"3392"
104,"3306"
105,"3308"
106,"3449"
107,"3829"
108,"4580"
109,"6106"
110,"9302"
111,"15226"
112,"24645"
113,"34901"
114,"44379"
115,"49487"
116,"45851"
117,"37407"
118,"26853"
119,"17377"
120,"11596"
121,"8683"
122,"7717"
123,"7101"
124,"6648"
125,"6064"
126,"5516"
127,"5395"
128,"5789"
129,"6955"
130,"9365"
131,"12815"
132,"16801"
133,"20592"
134,"23086"
135,"22818"
136,"21300"
137,"18745"
138,"17013"
139,"16588"
140,"16936"
141,"18092"
142,"18671"
143,"18766"
144,"18518"
145,"19055"
146,"20127"
147,"20517"
148,"19864"
149,"17811"
150,"14660"
151,"11283"
152,"8766"
153,"6849"
154,"5934"
155,"5759"
156,"5679"
157,"6010"
158,"6135"
159,"6204"
160,"6331"
161,"6128"
162,"6082"
163,"6176"
164,"6522"
165,"6632"
166,"6819"
167,"6684"
168,"6714"
169,"6649"
170,"6536"
171,"6627"
172,"6785"
173,"7543"
174,"8610"
175,"10428"
176,"14886"
177,"24918"
178,"46837"
179,"88817"
180,"158747"
181,"256914"
182,"369035"
183,"466192"
184,"517724"
185,"503287"
186,"428215"
187,"319015"
188,"209792"
189,"121593"
190,"63666"
191,"31948"
192,"17327"
193,"12636"
194,"13936"
195,"20545"
196,"30858"
197,"45972"
198,"63071"
199,"78275"
200,"87098"
201,"85556"
202,"74958"
203,"58315"
204,"40420"
205,"25493"
206,"14969"
207,"8608"
208,"5412"
209,"4088"
210,"3384"
211,"3270"
212,"3081"
213,"3087"
214,"3175"
215,"3212"
216,"3237"
217,"3276"
218,"3346"
219,"3432"
220,"3633"
221,"3742"
222,"3883"
223,"4145"
224,"4242"
225,"4180"
226,"4344"
227,"4004"
228,"3864"
229,"3708"
230,"3569"
231,"3527"
232,"3548"
233,"3410"
234,"3429"
235,"3524"
236,"3538"
237,"3457"
238,"3561"
239,"3580"
240,"3682"
241,"3716"
242,"3695"
243,"3696"
