Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"CDORO001"
Duration Time,300.18
Ambient Temperature,"111.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"10671023"
Raw Accumulated Counts,"11737238"
Valid Count Last Packet,"33280"
Raw Count Last Packet,"36528"
Live Time,272.923157
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0537
Number of Channels,2048
Vacuum,690
Channel#,Intensity
0,"9309"
1,"7431"
2,"4805"
3,"3003"
4,"1270"
5,"333"
6,"55"
7,"14"
8,"7"
9,"5"
10,"3"
11,"6"
12,"2"
13,"3"
14,"1"
15,"2"
16,"2"
17,"2"
18,"0"
19,"1"
20,"2"
21,"0"
22,"4"
23,"0"
24,"0"
25,"0"
26,"3"
27,"0"
28,"0"
29,"3"
30,"2"
31,"37"
32,"298"
33,"967"
34,"1569"
35,"1962"
36,"2115"
37,"2206"
38,"2182"
39,"2139"
40,"2025"
41,"2096"
42,"2094"
43,"2090"
44,"2211"
45,"2217"
46,"2283"
47,"2294"
48,"2317"
49,"2264"
50,"2222"
51,"2182"
52,"2238"
53,"2200"
54,"2241"
55,"2205"
56,"2237"
57,"2201"
58,"2259"
59,"2229"
60,"2172"
61,"2212"
62,"2227"
63,"2152"
64,"2180"
65,"2132"
66,"1998"
67,"2095"
68,"2041"
69,"2074"
70,"2078"
71,"2100"
72,"2232"
73,"2254"
74,"2274"
75,"2183"
76,"2184"
77,"2109"
78,"2034"
79,"2120"
80,"2017"
81,"2070"
82,"2118"
83,"2186"
84,"2390"
85,"2592"
86,"2751"
87,"2843"
88,"2866"
89,"2730"
90,"2648"
91,"2775"
92,"3070"
93,"3614"
94,"4455"
95,"5647"
96,"6388"
97,"6896"
98,"6686"
99,"6077"
100,"4815"
101,"4003"
102,"3452"
103,"3091"
104,"2998"
105,"3014"
106,"3205"
107,"3498"
108,"4082"
109,"5435"
110,"8227"
111,"13256"
112,"20905"
113,"30010"
114,"38065"
115,"41363"
116,"39019"
117,"32309"
118,"22692"
119,"15125"
120,"10135"
121,"7815"
122,"6905"
123,"6495"
124,"6080"
125,"5599"
126,"5069"
127,"4859"
128,"5416"
129,"6888"
130,"9329"
131,"12585"
132,"16780"
133,"20852"
134,"22865"
135,"23308"
136,"21382"
137,"18843"
138,"16981"
139,"16282"
140,"16962"
141,"18228"
142,"18582"
143,"18620"
144,"18589"
145,"19051"
146,"19890"
147,"20313"
148,"19481"
149,"17551"
150,"14552"
151,"11300"
152,"8590"
153,"6606"
154,"5666"
155,"5380"
156,"5419"
157,"5748"
158,"5869"
159,"5904"
160,"5928"
161,"5702"
162,"5632"
163,"5657"
164,"5871"
165,"6068"
166,"6166"
167,"6335"
168,"6184"
169,"6051"
170,"5949"
171,"6010"
172,"6244"
173,"6806"
174,"7476"
175,"9283"
176,"12995"
177,"21368"
178,"40497"
179,"76245"
180,"135614"
181,"219590"
182,"314715"
183,"398639"
184,"442002"
185,"430241"
186,"366698"
187,"272335"
188,"178791"
189,"103610"
190,"54607"
191,"27387"
192,"15045"
193,"11199"
194,"12424"
195,"17606"
196,"26630"
197,"39616"
198,"53800"
199,"66800"
200,"74128"
201,"73657"
202,"64371"
203,"50172"
204,"34922"
205,"22090"
206,"13067"
207,"7854"
208,"5144"
209,"3775"
210,"3272"
