Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"INOE001"
Duration Time,300.071
Ambient Temperature,"110.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"13980733"
Raw Accumulated Counts,"15901703"
Valid Count Last Packet,"43656"
Raw Count Last Packet,"49664"
Live Time,263.452057
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0789
Number of Channels,2048
Vacuum,704
Channel#,Intensity
0,"9110"
1,"6972"
2,"4568"
3,"3141"
4,"1441"
5,"343"
6,"60"
7,"13"
8,"4"
9,"3"
10,"5"
11,"8"
12,"6"
13,"3"
14,"2"
15,"1"
16,"3"
17,"4"
18,"1"
19,"2"
20,"2"
21,"0"
22,"1"
23,"2"
24,"1"
25,"1"
26,"2"
27,"0"
28,"0"
29,"0"
30,"6"
31,"61"
32,"413"
33,"1322"
34,"2016"
35,"2526"
36,"2809"
37,"2783"
38,"2807"
39,"2761"
40,"2772"
41,"2769"
42,"2803"
43,"2774"
44,"2860"
45,"2916"
46,"3064"
47,"3072"
48,"3089"
49,"2914"
50,"2907"
51,"2847"
52,"2831"
53,"2854"
54,"2974"
55,"2909"
56,"2855"
57,"2812"
58,"2949"
59,"2924"
60,"2824"
61,"2759"
62,"2853"
63,"2668"
64,"2699"
65,"2567"
66,"2672"
67,"2578"
68,"2559"
69,"2605"
70,"2561"
71,"2628"
72,"2703"
73,"2695"
74,"2702"
75,"2687"
76,"2645"
77,"2552"
78,"2545"
79,"2482"
80,"2540"
81,"2503"
82,"2507"
83,"2683"
84,"2864"
85,"3141"
86,"3216"
87,"3339"
88,"3314"
89,"3228"
90,"3216"
91,"3529"
92,"4239"
93,"5324"
94,"7001"
95,"8995"
96,"10835"
97,"11620"
98,"10872"
99,"9174"
100,"7001"
101,"5417"
102,"4219"
103,"3636"
104,"3339"
105,"3324"
106,"3359"
107,"3402"
108,"3541"
109,"3626"
110,"4047"
111,"4605"
112,"5106"
113,"5524"
114,"5818"
115,"5704"
116,"5403"
117,"5016"
118,"4587"
119,"4366"
120,"4229"
121,"4168"
122,"4107"
123,"4191"
124,"4315"
125,"4606"
126,"4908"
127,"5470"
128,"6600"
129,"8397"
130,"11093"
131,"14514"
132,"18796"
133,"23012"
134,"24806"
135,"25082"
136,"23171"
137,"20479"
138,"18686"
139,"18442"
140,"19369"
141,"20432"
142,"20858"
143,"20958"
144,"20462"
145,"20784"
146,"21439"
147,"21888"
148,"21261"
149,"19134"
150,"16420"
151,"12863"
152,"10454"
153,"8674"
154,"7677"
155,"7458"
156,"7588"
157,"7866"
158,"7895"
159,"8158"
160,"8336"
161,"8214"
162,"8495"
163,"8807"
164,"9310"
165,"9624"
166,"9939"
167,"9834"
168,"9615"
169,"9417"
170,"9501"
171,"9666"
172,"10366"
173,"11237"
174,"13030"
175,"16415"
176,"23990"
177,"41514"
178,"78767"
179,"150489"
180,"266083"
181,"429345"
182,"612975"
183,"768748"
184,"849992"
185,"819387"
186,"694773"
187,"515498"
188,"336369"
189,"192693"
190,"100844"
191,"49936"
192,"27182"
193,"19718"
194,"22593"
195,"32423"
196,"50380"
197,"75270"
198,"102149"
199,"126654"
200,"139968"
201,"137433"
202,"118762"
203,"91320"
204,"62508"
