Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"rabbit skin glue"
Duration Time,300.071
Ambient Temperature,"112.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"9835482"
Raw Accumulated Counts,"10730445"
Valid Count Last Packet,"30445"
Raw Count Last Packet,"33471"
Live Time,275.253082
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0614
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"9414"
1,"7396"
2,"4715"
3,"2800"
4,"1308"
5,"283"
6,"47"
7,"17"
8,"5"
9,"4"
10,"3"
11,"3"
12,"3"
13,"1"
14,"1"
15,"2"
16,"1"
17,"2"
18,"2"
19,"1"
20,"0"
21,"2"
22,"1"
23,"2"
24,"1"
25,"2"
26,"2"
27,"0"
28,"2"
29,"0"
30,"0"
31,"30"
32,"245"
33,"867"
34,"1517"
35,"1771"
36,"1903"
37,"1948"
38,"1939"
39,"2049"
40,"2076"
41,"2059"
42,"2139"
43,"2165"
44,"2189"
45,"2336"
46,"2158"
47,"2250"
48,"2124"
49,"2051"
50,"2019"
51,"1890"
52,"1983"
53,"1899"
54,"1919"
55,"1874"
56,"1945"
57,"1858"
58,"1840"
59,"1922"
60,"1877"
61,"1846"
62,"1741"
63,"1753"
64,"1645"
65,"1639"
66,"1644"
67,"1592"
68,"1480"
69,"1620"
70,"1552"
71,"1602"
72,"1600"
73,"1629"
74,"1626"
75,"1589"
76,"1589"
77,"1483"
78,"1484"
79,"1433"
80,"1413"
81,"1516"
82,"1480"
83,"1564"
84,"1562"
85,"1687"
86,"1716"
87,"1757"
88,"1787"
89,"1632"
90,"1562"
91,"1467"
92,"1414"
93,"1435"
94,"1532"
95,"1492"
96,"1646"
97,"1587"
98,"1645"
99,"1623"
100,"1699"
101,"1562"
102,"1591"
103,"1554"
104,"1585"
105,"1603"
106,"1512"
107,"1499"
108,"1642"
109,"1728"
110,"1811"
111,"2149"
112,"2506"
113,"3006"
114,"3537"
115,"3750"
116,"3774"
117,"3577"
118,"3177"
119,"2798"
120,"2587"
121,"2467"
122,"2412"
123,"2661"
124,"2961"
125,"3656"
126,"5085"
127,"7614"
128,"11404"
129,"16117"
130,"21223"
131,"25473"
132,"28067"
133,"29250"
134,"28737"
135,"26156"
136,"22956"
137,"19571"
138,"17386"
139,"16991"
140,"17749"
141,"19019"
142,"19347"
143,"18961"
144,"18274"
145,"18584"
146,"19365"
147,"19685"
148,"18928"
149,"16896"
150,"13886"
151,"10536"
152,"7468"
153,"5434"
154,"4224"
155,"3732"
156,"3605"
157,"3841"
158,"3905"
159,"3859"
160,"3713"
161,"3358"
162,"3208"
163,"2938"
164,"2972"
165,"2943"
166,"2861"
167,"2897"
168,"2882"
169,"2632"
170,"2575"
171,"2487"
172,"2371"
173,"2267"
174,"2290"
175,"2379"
176,"2439"
177,"2732"
178,"3282"
179,"4323"
180,"6012"
181,"8461"
182,"11295"
183,"14311"
184,"15814"
185,"15749"
186,"13893"
187,"11315"
188,"8438"
189,"6068"
190,"4468"
191,"3640"
192,"3071"
193,"3023"
194,"3059"
195,"3177"
196,"3433"
197,"3928"
198,"4413"
199,"4928"
200,"5222"
201,"5172"
202,"5041"
203,"4676"
204,"4135"
205,"3888"
206,"3485"
207,"3191"
208,"3398"
209,"3395"
210,"3339"
211,"3315"
212,"3379"
213,"3431"
214,"3541"
215,"3449"
216,"3458"
217,"3535"
218,"3802"
219,"3877"
220,"4060"
221,"4139"
222,"4370"
223,"4575"
224,"4795"
225,"4829"
226,"4792"
227,"4543"
228,"4494"
229,"4413"
230,"4206"
231,"4117"
232,"4046"
233,"4021"
234,"4035"
235,"4094"
236,"4092"
237,"4238"
238,"4279"
239,"4270"
240,"4294"
241,"4305"
242,"4443"
243,"4530"
244,"4521"
245,"4621"
246,"4668"
247,"4657"
248,"4733"
249,"4759"
250,"4815"
251,"4761"
252,"4698"
253,"4825"
254,"4926"
255,"4931"
256,"4977"
257,"5103"
258,"5000"
259,"5130"
260,"5239"
261,"5275"
262,"5215"
263,"5577"
264,"5616"
265,"5625"
266,"5623"
267,"5813"
268,"5982"
269,"5976"
270,"6113"
271,"6081"
272,"6311"
273,"6192"
274,"6207"
275,"6246"
276,"6268"
277,"6438"
278,"6320"
279,"6571"
280,"6519"
281,"6493"
282,"6636"
283,"6752"
284,"6648"
285,"6904"
286,"6863"
287,"7029"
288,"7037"
289,"7132"
290,"7190"
291,"7307"
292,"7548"
293,"7653"
294,"7759"
295,"7760"
296,"7691"
297,"7872"
298,"7770"
299,"7835"
300,"7737"
301,"7774"
302,"7839"
303,"7788"
304,"8013"
305,"8184"
306,"8284"
307,"8402"
308,"8757"
309,"8849"
310,"9203"
311,"9477"
312,"10067"
313,"10482"
314,"11005"
315,"12450"
316,"13699"
317,"15051"
318,"15997"
319,"16955"
320,"16744"
321,"16454"
322,"15496"
323,"13727"
324,"12199"
325,"11005"
326,"9885"
327,"9381"
328,"9085"
329,"8846"
330,"8777"
331,"8870"
332,"8796"
333,"9078"
334,"9182"
335,"9190"
336,"9238"
337,"9278"
338,"9524"
339,"9590"
340,"9926"
341,"9820"
342,"10059"
343,"10252"
344,"10290"
345,"10405"
346,"10519"
347,"10608"
348,"11015"
349,"10627"
350,"10924"
351,"11199"
352,"11396"
353,"11880"
354,"11942"
355,"12231"
356,"12795"
357,"13538"
358,"14249"
359,"15344"
360,"16785"
361,"18142"
362,"19274"
363,"20663"
364,"21727"
365,"22753"
366,"23112"
367,"23334"
368,"24234"
369,"24472"
370,"25506"
371,"26165"
372,"26736"
373,"26417"
374,"25392"
375,"23676"
376,"20848"
377,"18150"
378,"15596"
379,"13608"
380,"11687"
381,"10724"
382,"10255"
383,"9928"
384,"9758"
385,"9493"
386,"9686"
387,"9861"
388,"9846"
389,"9764"
390,"9941"
391,"10060"
392,"10177"
393,"10363"
394,"10451"
395,"10812"
396,"10978"
397,"11636"
398,"11982"
399,"12249"
400,"12750"
401,"13071"
402,"13015"
403,"13010"
404,"13085"
405,"12947"
406,"12614"
407,"12441"
408,"12457"
409,"12367"
410,"12333"
411,"12687"
412,"12522"
413,"12568"
414,"12043"
415,"11808"
416,"11756"
417,"11408"
418,"10994"
419,"10592"
420,"10423"
421,"10214"
422,"10328"
423,"10148"
424,"10423"
425,"10400"
426,"10607"
427,"10712"
428,"10956"
429,"11159"
430,"11278"
431,"11469"
432,"11473"
433,"11439"
434,"11300"
435,"11274"
436,"10729"
437,"10916"
438,"10565"
439,"10667"
440,"10659"
441,"10871"
442,"10689"
443,"11078"
444,"11115"
445,"11048"
446,"11079"
447,"10895"
448,"10835"
449,"11183"
450,"10911"
451,"10962"
452,"11087"
453,"11059"
454,"11211"
455,"11091"
456,"11203"
457,"11164"
458,"11132"
459,"11133"
460,"11451"
461,"11450"
462,"11330"
463,"11458"
464,"11257"
465,"11432"
466,"11414"
467,"11423"
468,"11475"
469,"11327"
470,"11501"
471,"11274"
472,"11669"
473,"11551"
474,"11465"
475,"11936"
476,"11767"
477,"11907"
478,"11782"
479,"11811"
480,"11864"
481,"11813"
482,"11772"
483,"11827"
484,"11921"
485,"11658"
486,"11885"
487,"11617"
488,"11807"
489,"11941"
490,"11767"
491,"11761"
492,"11785"
493,"11972"
494,"11941"
495,"11816"
496,"11783"
497,"11861"
498,"12067"
499,"11940"
500,"11959"
501,"11867"
502,"11848"
503,"11827"
504,"11956"
505,"12021"
506,"11833"
507,"11811"
508,"11920"
509,"12137"
510,"12253"
511,"11965"
512,"12280"
513,"12011"
514,"12071"
515,"12079"
516,"12389"
517,"12030"
518,"12014"
519,"11864"
520,"12109"
521,"12073"
522,"12320"
523,"12069"
524,"12092"
525,"11952"
526,"11850"
527,"12201"
528,"11915"
529,"11904"
530,"12019"
531,"11878"
532,"12130"
533,"12003"
534,"12008"
535,"11838"
536,"12127"
537,"12062"
538,"12084"
539,"12203"
540,"12043"
541,"11722"
542,"11927"
543,"12114"
544,"11818"
545,"11982"
546,"12249"
547,"11845"
548,"12027"
549,"12174"
550,"11924"
551,"11898"
552,"11862"
553,"11930"
554,"12106"
555,"12010"
556,"12046"
557,"11974"
558,"11838"
559,"12020"
560,"11915"
561,"11741"
562,"12047"
563,"11739"
564,"11955"
565,"11899"
566,"11934"
567,"11927"
568,"11922"
569,"12112"
570,"11809"
571,"11715"
572,"12001"
573,"11962"
574,"11931"
575,"11882"
576,"11794"
577,"11829"
578,"12021"
579,"11989"
580,"11878"
581,"11880"
582,"11988"
583,"11886"
584,"11795"
585,"11949"
586,"12175"
587,"11745"
588,"11801"
589,"11739"
590,"12202"
591,"12101"
592,"12085"
593,"12153"
594,"12207"
595,"12081"
596,"12118"
597,"12070"
598,"11808"
599,"11947"
600,"11737"
601,"11727"
602,"11525"
603,"11580"
604,"11742"
605,"11722"
606,"11592"
607,"11433"
