Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"DIVCAS012"
Duration Time,300.13
Ambient Temperature,"113.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"12343260"
Raw Accumulated Counts,"13779064"
Valid Count Last Packet,"38494"
Raw Count Last Packet,"42965"
Live Time,268.514923
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0443
Number of Channels,2048
Vacuum,689
Channel#,Intensity
0,"9090"
1,"7317"
2,"4593"
3,"2876"
4,"1331"
5,"297"
6,"59"
7,"13"
8,"7"
9,"2"
10,"6"
11,"1"
12,"3"
13,"4"
14,"0"
15,"4"
16,"1"
17,"3"
18,"3"
19,"4"
20,"3"
21,"1"
22,"1"
23,"0"
24,"1"
25,"2"
26,"6"
27,"0"
28,"0"
29,"3"
30,"4"
31,"22"
32,"270"
33,"935"
34,"1528"
35,"1895"
36,"2207"
37,"2207"
38,"2209"
39,"2204"
40,"2222"
41,"2265"
42,"2201"
43,"2194"
44,"2280"
45,"2305"
46,"2330"
47,"2483"
48,"2401"
49,"2340"
50,"2322"
51,"2316"
52,"2290"
53,"2379"
54,"2318"
55,"2345"
56,"2269"
57,"2343"
58,"2397"
59,"2327"
60,"2361"
61,"2288"
62,"2336"
63,"2167"
64,"2167"
65,"2109"
66,"2150"
67,"2120"
68,"2160"
69,"2093"
70,"2221"
71,"2254"
72,"2214"
73,"2380"
74,"2402"
75,"2271"
76,"2237"
77,"2198"
78,"2041"
79,"2040"
80,"2217"
81,"2101"
82,"2175"
83,"2552"
84,"2798"
85,"3126"
86,"3529"
87,"3574"
88,"3497"
89,"3369"
90,"3239"
91,"3282"
92,"3765"
93,"4984"
94,"6601"
95,"8669"
96,"10582"
97,"11252"
98,"10678"
99,"9005"
100,"6802"
101,"5016"
102,"3746"
103,"3289"
104,"2909"
105,"2970"
106,"2950"
107,"3051"
108,"3058"
109,"3412"
110,"3726"
111,"4164"
112,"4692"
113,"5131"
114,"5341"
115,"5397"
116,"5145"
117,"4753"
118,"4242"
119,"3975"
120,"3959"
121,"3724"
122,"3855"
123,"3840"
124,"3990"
125,"4074"
126,"4390"
127,"4958"
128,"5914"
129,"7529"
130,"9722"
131,"13108"
132,"16817"
133,"20822"
134,"23033"
135,"23303"
136,"21656"
137,"19175"
138,"17543"
139,"16981"
140,"17727"
141,"18997"
142,"19295"
143,"19383"
144,"19657"
145,"20185"
146,"21069"
147,"21791"
148,"21516"
149,"19200"
150,"16411"
151,"12997"
152,"10378"
153,"8536"
154,"7483"
155,"7173"
156,"7296"
157,"7485"
158,"7874"
159,"8000"
160,"7915"
161,"8159"
162,"8151"
163,"8407"
164,"8742"
165,"9048"
166,"9221"
167,"9377"
168,"9102"
169,"8950"
170,"9115"
171,"9382"
172,"9958"
173,"10982"
174,"12498"
175,"15874"
176,"22609"
177,"38918"
178,"74370"
179,"142811"
180,"255379"
