Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"FER001"
Duration Time,300.886
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"24546199"
Raw Accumulated Counts,"31846815"
Valid Count Last Packet,"74780"
Raw Count Last Packet,"96547"
Live Time,231.005142
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0546
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"7712"
1,"6077"
2,"4070"
3,"2821"
4,"1217"
5,"272"
6,"65"
7,"22"
8,"11"
9,"9"
10,"5"
11,"10"
12,"4"
13,"2"
14,"4"
15,"4"
16,"5"
17,"0"
18,"2"
19,"0"
20,"3"
21,"2"
22,"0"
23,"2"
24,"1"
25,"1"
26,"2"
27,"2"
28,"0"
29,"2"
30,"9"
31,"115"
32,"639"
33,"1686"
34,"2442"
35,"2975"
36,"3200"
37,"3294"
38,"3158"
39,"3117"
40,"3240"
41,"2990"
42,"3065"
43,"3061"
44,"3005"
45,"3144"
46,"3043"
47,"3133"
48,"3023"
49,"2903"
50,"3008"
51,"2896"
52,"2759"
53,"2908"
54,"2849"
55,"2871"
56,"2780"
57,"2774"
58,"3007"
59,"2813"
60,"2781"
61,"2733"
62,"2719"
63,"2734"
64,"2672"
65,"2598"
66,"2546"
67,"2617"
68,"2525"
69,"2521"
70,"2603"
71,"2676"
72,"2633"
73,"2800"
74,"2705"
75,"2637"
76,"2720"
77,"2553"
78,"2550"
79,"2465"
80,"2530"
81,"2404"
82,"2661"
83,"2554"
84,"2756"
85,"2938"
86,"2962"
87,"3020"
88,"2905"
89,"2776"
90,"2733"
91,"2685"
92,"2721"
93,"2795"
94,"2908"
95,"3134"
96,"3145"
97,"3297"
98,"3242"
99,"3150"
100,"3034"
101,"2948"
102,"2814"
103,"2859"
104,"2786"
105,"2723"
106,"2799"
107,"2952"
108,"3031"
109,"3375"
110,"3774"
111,"4613"
112,"5832"
113,"7292"
114,"8415"
115,"8928"
116,"8492"
117,"7350"
118,"6102"
119,"5005"
120,"4323"
121,"4052"
122,"4080"
123,"4102"
124,"4102"
125,"4044"
126,"4293"
127,"4807"
128,"5553"
129,"7090"
130,"9269"
131,"12406"
132,"15885"
133,"19569"
134,"21525"
135,"22218"
136,"21126"
137,"19323"
138,"18143"
139,"17483"
140,"17675"
141,"17802"
142,"17656"
143,"17543"
144,"17234"
145,"17695"
146,"18172"
147,"18548"
148,"17770"
149,"15865"
150,"13600"
151,"10911"
152,"8987"
153,"7352"
154,"6628"
155,"6429"
156,"6518"
157,"6470"
158,"6288"
159,"6197"
160,"5958"
161,"5701"
162,"5133"
163,"4986"
164,"5035"
165,"5090"
166,"4941"
167,"4996"
168,"5215"
169,"5024"
170,"5108"
171,"4810"
172,"4856"
173,"4832"
174,"5046"
175,"5228"
176,"6036"
177,"7593"
178,"10877"
179,"17054"
180,"26772"
181,"40082"
182,"54392"
183,"66466"
184,"71652"
185,"69182"
186,"58450"
187,"44092"
188,"30402"
189,"19555"
190,"12515"
191,"9213"
192,"8008"
193,"8470"
194,"9731"
195,"11887"
196,"14378"
197,"17268"
198,"19366"
199,"20545"
200,"20606"
201,"19289"
202,"16659"
203,"13898"
204,"11462"
205,"9493"
206,"8197"
207,"7562"
208,"7572"
209,"7714"
210,"8045"
211,"8930"
212,"9887"
213,"11535"
214,"13859"
215,"18889"
216,"28621"
217,"46446"
218,"78197"
219,"128233"
220,"197174"
221,"282278"
222,"364252"
223,"430564"
224,"459937"
225,"444624"
226,"386088"
227,"305604"
228,"217888"
229,"141021"
230,"84089"
231,"48039"
232,"28297"
233,"20307"
234,"20334"
235,"27624"
236,"41896"
237,"64341"
238,"92155"
239,"122446"
240,"148473"
241,"166501"
242,"172046"
243,"167715"
244,"155949"
245,"140034"
246,"122929"
247,"102056"
248,"81481"
249,"61790"
250,"45047"
251,"32847"
252,"26272"
253,"25384"
254,"28740"
255,"33837"
256,"38796"
257,"41987"
258,"42086"
259,"37869"
260,"31716"
261,"24900"
262,"18348"
263,"13277"
264,"9868"
265,"7974"
266,"7277"
267,"6912"
268,"6974"
269,"7426"
270,"8701"
271,"10358"
272,"13048"
273,"16052"
274,"19114"
275,"21666"
276,"22679"
277,"22202"
278,"20034"
279,"16777"
280,"13612"
281,"10830"
282,"9140"
283,"8335"
284,"8508"
285,"9382"
286,"10720"
287,"12023"
288,"13255"
289,"14013"
290,"13986"
291,"13059"
292,"12009"
293,"10558"
294,"9337"
295,"8571"
296,"8004"
297,"7500"
298,"7332"
299,"7112"
300,"6832"
301,"6455"
302,"6212"
303,"6076"
304,"5893"
305,"5819"
306,"5708"
307,"5753"
308,"6096"
309,"6020"
310,"6343"
311,"6562"
312,"6728"
313,"6994"
314,"7262"
315,"7632"
316,"8316"
317,"8930"
318,"9178"
319,"9386"
320,"9286"
321,"8977"
322,"8217"
323,"7566"
324,"7166"
325,"6853"
326,"6521"
327,"6310"
328,"6323"
329,"6120"
330,"6066"
331,"6232"
332,"6137"
333,"6392"
334,"6482"
335,"6559"
336,"6645"
337,"7015"
338,"7147"
339,"7649"
340,"8154"
341,"8451"
342,"8900"
343,"9561"
344,"9495"
345,"9475"
346,"9359"
347,"8873"
348,"8481"
349,"8259"
350,"8006"
351,"7683"
352,"7575"
353,"7411"
354,"7510"
355,"7551"
356,"7800"
357,"8270"
358,"8368"
359,"8836"
360,"9493"
361,"10009"
362,"10764"
363,"11108"
364,"11572"
365,"12250"
366,"12685"
367,"13527"
368,"14208"
369,"15210"
370,"16355"
371,"17287"
372,"18033"
373,"18004"
374,"16989"
375,"15788"
376,"13854"
377,"11713"
378,"10267"
379,"8968"
380,"8085"
381,"7581"
382,"7212"
383,"7073"
384,"7094"
385,"7073"
386,"7322"
387,"7434"
388,"7476"
389,"7408"
390,"7383"
391,"7675"
392,"7710"
393,"7909"
394,"7939"
