Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"FA07"
Duration Time,300.808
Ambient Temperature,"110.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"7608466"
Raw Accumulated Counts,"8123608"
Valid Count Last Packet,"23620"
Raw Count Last Packet,"25307"
Live Time,282.215942
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0501
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"9736"
1,"7907"
2,"4730"
3,"2675"
4,"1193"
5,"276"
6,"49"
7,"8"
8,"3"
9,"2"
10,"1"
11,"1"
12,"1"
13,"1"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"1"
21,"0"
22,"3"
23,"0"
24,"0"
25,"1"
26,"2"
27,"0"
28,"0"
29,"1"
30,"2"
31,"7"
32,"115"
33,"557"
34,"972"
35,"1260"
36,"1344"
37,"1402"
38,"1399"
39,"1376"
40,"1433"
41,"1428"
42,"1530"
43,"1567"
44,"1569"
45,"1661"
46,"1638"
47,"1705"
48,"1668"
49,"1645"
50,"1479"
51,"1525"
52,"1532"
53,"1530"
54,"1612"
55,"1537"
56,"1531"
57,"1561"
58,"1556"
59,"1556"
60,"1555"
61,"1557"
62,"1489"
63,"1403"
64,"1405"
65,"1391"
66,"1337"
67,"1323"
68,"1356"
69,"1419"
70,"1357"
71,"1475"
72,"1443"
73,"1520"
74,"1488"
75,"1454"
76,"1501"
77,"1402"
78,"1380"
79,"1371"
80,"1323"
81,"1325"
82,"1396"
83,"1439"
84,"1532"
85,"1656"
86,"1727"
87,"1776"
88,"1761"
89,"1778"
90,"1764"
91,"1873"
92,"2038"
93,"2507"
94,"3185"
95,"4225"
96,"5038"
97,"5632"
98,"5238"
99,"4662"
100,"3723"
101,"2967"
102,"2376"
103,"2000"
104,"1846"
105,"1866"
106,"1907"
107,"1921"
108,"1889"
109,"2123"
110,"2270"
111,"2705"
112,"3021"
113,"3324"
114,"3578"
115,"3787"
116,"3705"
117,"3483"
118,"3273"
119,"2964"
120,"2890"
121,"2766"
122,"2763"
123,"2885"
124,"3013"
125,"3400"
126,"3930"
127,"5119"
128,"6834"
129,"9506"
130,"12714"
131,"16666"
132,"20258"
133,"22996"
134,"25046"
135,"24521"
136,"22167"
137,"19534"
138,"17537"
139,"16977"
140,"17698"
141,"19074"
142,"19384"
143,"19549"
144,"19649"
145,"19700"
146,"20983"
147,"21390"
148,"21076"
149,"19139"
150,"15730"
151,"12221"
152,"8975"
153,"6815"
154,"5589"
155,"5068"
156,"5039"
157,"5316"
158,"5682"
159,"5711"
160,"5547"
161,"5305"
162,"5061"
163,"5137"
164,"4937"
165,"5136"
166,"5238"
167,"5339"
168,"5265"
169,"5330"
170,"5303"
171,"5322"
172,"5458"
173,"5852"
174,"6489"
175,"7779"
176,"10485"
177,"16813"
178,"30340"
179,"57063"
180,"104162"
181,"172166"
182,"254861"
183,"330989"
184,"378357"
185,"377007"
186,"331221"
187,"253782"
188,"170097"
189,"101727"
190,"53920"
191,"27187"
192,"14263"
193,"9786"
194,"10011"
195,"13909"
196,"20869"
197,"30738"
198,"43260"
199,"54871"
200,"62906"
201,"63386"
202,"56819"
203,"45631"
204,"32009"
205,"21022"
206,"12687"
207,"7348"
208,"4887"
209,"3580"
210,"3060"
211,"2802"
212,"2781"
213,"2914"
214,"2897"
215,"2885"
216,"3079"
217,"3256"
218,"3274"
219,"3668"
220,"4102"
221,"5113"
222,"6118"
223,"7282"
224,"8275"
225,"9128"
226,"8569"
227,"8014"
228,"6912"
229,"5745"
230,"4929"
231,"4011"
232,"3635"
233,"3380"
234,"3394"
235,"3300"
236,"3278"
237,"3439"
238,"3466"
239,"3602"
240,"3659"
241,"3808"
242,"3837"
243,"4014"
244,"4263"
245,"4318"
246,"4492"
247,"4436"
248,"4337"
249,"4229"
250,"4015"
251,"3956"
252,"3812"
253,"3699"
254,"3736"
255,"3682"
256,"3854"
257,"3840"
258,"3795"
259,"3821"
260,"3871"
