Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LB008"
Duration Time,300.332
Ambient Temperature,"114.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"12474554"
Raw Accumulated Counts,"13936172"
Valid Count Last Packet,"38967"
Raw Count Last Packet,"43373"
Live Time,268.585968
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0393
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"9102"
1,"7289"
2,"4637"
3,"2783"
4,"1190"
5,"299"
6,"45"
7,"8"
8,"6"
9,"1"
10,"4"
11,"3"
12,"1"
13,"4"
14,"2"
15,"1"
16,"0"
17,"1"
18,"1"
19,"1"
20,"3"
21,"3"
22,"0"
23,"2"
24,"1"
25,"2"
26,"2"
27,"0"
28,"1"
29,"0"
30,"2"
31,"23"
32,"238"
33,"780"
34,"1318"
35,"1693"
36,"1943"
37,"1933"
38,"1877"
39,"1815"
40,"1969"
41,"1959"
42,"1903"
43,"1943"
44,"1892"
45,"2078"
46,"2224"
47,"2084"
48,"2189"
49,"2102"
50,"2047"
51,"1996"
52,"1988"
53,"1975"
54,"2068"
55,"2079"
56,"2011"
57,"2047"
58,"1919"
59,"1932"
60,"2138"
61,"2136"
62,"1952"
63,"1895"
64,"1858"
65,"1781"
66,"1880"
67,"1827"
68,"1877"
69,"1871"
70,"1865"
71,"1922"
72,"2038"
73,"2088"
74,"2032"
75,"1993"
76,"1943"
77,"1926"
78,"1913"
79,"1812"
80,"1818"
81,"1900"
82,"1871"
83,"1993"
84,"2171"
85,"2360"
86,"2518"
87,"2570"
88,"2398"
89,"2431"
90,"2242"
91,"2325"
92,"2403"
93,"2864"
94,"3398"
95,"4129"
96,"4728"
97,"5177"
98,"4920"
99,"4333"
100,"3559"
101,"3021"
102,"2591"
103,"2311"
104,"2275"
105,"2245"
106,"2287"
107,"2316"
108,"2440"
109,"2541"
110,"2789"
111,"2936"
112,"3364"
113,"3802"
114,"4106"
115,"4112"
116,"4081"
117,"3813"
118,"3664"
119,"3478"
120,"3346"
121,"3201"
122,"3315"
123,"3352"
124,"3417"
125,"3406"
126,"3867"
127,"4525"
128,"5272"
129,"6778"
130,"9658"
131,"13008"
132,"17136"
133,"21826"
134,"24677"
135,"26131"
136,"25184"
137,"23592"
138,"22041"
139,"21200"
140,"21151"
141,"21175"
142,"20496"
143,"20178"
144,"19739"
145,"19849"
146,"20638"
147,"21084"
148,"20522"
149,"18569"
150,"15359"
151,"12031"
152,"9064"
153,"7284"
154,"6286"
155,"6153"
156,"6234"
157,"6637"
158,"6669"
159,"6812"
160,"6772"
161,"6540"
162,"6133"
163,"5963"
164,"5989"
165,"5966"
166,"6128"
167,"6052"
168,"5989"
169,"5867"
170,"5803"
171,"5919"
172,"6182"
173,"6469"
174,"7008"
175,"8145"
176,"10746"
177,"16577"
178,"29025"
179,"53644"
180,"93520"
181,"150514"
182,"214597"
183,"272178"
184,"301843"
185,"293906"
186,"248784"
187,"186529"
188,"123652"
189,"72979"
190,"39997"
191,"21150"
192,"13065"
193,"10505"
194,"11364"
195,"15144"
196,"21220"
197,"29837"
198,"39037"
199,"47427"
200,"52521"
201,"51740"
202,"45890"
203,"36730"
204,"26358"
205,"18302"
206,"12451"
207,"9060"
208,"7733"
209,"7175"
210,"7265"
211,"7568"
212,"7936"
213,"8640"
214,"9610"
215,"11237"
216,"15052"
217,"23084"
218,"41594"
219,"77859"
220,"141070"
221,"237841"
222,"362218"
223,"494476"
224,"600954"
225,"648705"
226,"622670"
227,"527799"
228,"399689"
229,"268004"
230,"161822"
231,"88590"
232,"44625"
233,"22273"
234,"12381"
235,"8726"
236,"7982"
237,"8212"
238,"9902"
239,"13433"
240,"19166"
241,"29620"
242,"44566"
243,"63268"
244,"83493"
245,"99440"
246,"108531"
247,"105468"
248,"92072"
249,"72466"
250,"51897"
251,"34147"
252,"20685"
253,"12367"
254,"7762"
255,"5569"
256,"4446"
257,"4087"
258,"4058"
259,"3886"
260,"3895"
261,"3900"
262,"4019"
263,"3892"
264,"3905"
265,"4095"
266,"4098"
267,"4054"
268,"4187"
269,"4200"
270,"4399"
271,"4228"
272,"4257"
273,"4265"
274,"4177"
275,"4271"
276,"4325"
277,"4220"
278,"4330"
279,"4183"
280,"4432"
281,"4333"
282,"4497"
283,"4434"
284,"4377"
285,"4424"
286,"4541"
287,"4529"
288,"4595"
289,"4603"
290,"4587"
291,"4681"
292,"4769"
293,"4828"
294,"4915"
295,"4823"
296,"5003"
297,"4838"
298,"4846"
299,"4845"
300,"4943"
301,"4964"
302,"4861"
303,"4989"
304,"4948"
305,"4961"
306,"4987"
307,"5077"
308,"5351"
309,"5475"
310,"5537"
311,"5723"
312,"6034"
313,"6375"
314,"6661"
315,"7059"
316,"7598"
317,"8149"
318,"8535"
319,"8894"
320,"8612"
321,"8360"
322,"7715"
323,"7205"
324,"6398"
325,"6064"
326,"5538"
327,"5415"
328,"5238"
329,"5270"
330,"5157"
331,"5282"
332,"5209"
333,"5163"
334,"5280"
335,"5330"
336,"5364"
337,"5456"
338,"5547"
339,"5524"
340,"5624"
341,"5618"
342,"5703"
343,"5870"
344,"5980"
345,"5948"
346,"5968"
347,"5993"
348,"5871"
349,"6060"
350,"5925"
351,"5977"
352,"6120"
353,"6249"
354,"6151"
355,"6441"
356,"6639"
357,"6922"
358,"7263"
359,"7975"
360,"8614"
361,"9427"
362,"9940"
363,"10840"
364,"11263"
365,"11622"
366,"11800"
367,"12313"
368,"12429"
369,"13007"
370,"13754"
371,"14091"
372,"14226"
373,"13898"
374,"13181"
375,"12041"
376,"10447"
377,"9062"
378,"7592"
379,"6433"
380,"5772"
381,"5382"
382,"5049"
383,"4873"
384,"4713"
385,"4849"
386,"4869"
387,"4846"
388,"4765"
389,"4912"
390,"4918"
391,"5015"
392,"5118"
393,"5063"
394,"5135"
395,"5321"
396,"5493"
397,"5718"
398,"5919"
399,"5951"
400,"6323"
401,"6438"
402,"6442"
403,"6381"
404,"6485"
405,"6441"
406,"6595"
407,"6494"
408,"6696"
409,"6851"
410,"6925"
411,"6953"
412,"6926"
413,"6500"
414,"6368"
415,"6129"
416,"5759"
417,"5295"
418,"5089"
419,"4902"
420,"4842"
421,"4725"
422,"4676"
423,"4656"
424,"4876"
425,"4836"
426,"4720"
427,"4986"
428,"4912"
429,"4966"
430,"5086"
431,"5022"
432,"4960"
433,"4965"
434,"4816"
435,"4641"
436,"4809"
437,"4723"
438,"4639"
439,"4698"
440,"4609"
441,"4653"
442,"4668"
443,"4712"
444,"4691"
445,"4840"
446,"4915"
447,"5189"
448,"5128"
449,"5410"
450,"5429"
451,"5575"
452,"5537"
453,"5372"
454,"5152"
455,"4989"
456,"4846"
457,"4737"
458,"4691"
459,"4575"
460,"4615"
461,"4584"
462,"4587"
463,"4444"
464,"4508"
465,"4514"
466,"4456"
467,"4651"
468,"4616"
469,"4633"
470,"4760"
471,"4759"
472,"4707"
473,"4771"
474,"4662"
475,"4585"
476,"4664"
477,"4639"
478,"4576"
479,"4627"
480,"4424"
481,"4313"
482,"4463"
483,"4406"
484,"4348"
485,"4296"
486,"4424"
487,"4340"
488,"4396"
489,"4350"
490,"4375"
491,"4364"
492,"4372"
493,"4291"
494,"4279"
495,"4261"
496,"4318"
497,"4381"
498,"4436"
499,"4430"
500,"4291"
501,"4320"
502,"4362"
503,"4345"
504,"4482"
505,"4352"
506,"4288"
507,"4336"
508,"4273"
509,"4392"
510,"4315"
511,"4233"
512,"4360"
513,"4266"
514,"4357"
515,"4229"
516,"4349"
517,"4294"
518,"4322"
519,"4241"
520,"4335"
521,"4474"
522,"4330"
523,"4404"
524,"4484"
525,"4596"
526,"4491"
527,"4463"
528,"4553"
529,"4380"
530,"4426"
531,"4387"
532,"4307"
533,"4223"
534,"4298"
535,"4376"
536,"4315"
537,"4262"
538,"4345"
539,"4194"
540,"4233"
541,"4283"
542,"4230"
543,"4153"
544,"4255"
545,"4140"
546,"4189"
547,"4189"
548,"4175"
549,"4090"
550,"4150"
551,"4155"
552,"4222"
553,"4069"
554,"4160"
555,"4052"
556,"4089"
557,"3956"
558,"4035"
559,"4228"
560,"4108"
561,"4045"
562,"4016"
563,"3954"
564,"4116"
565,"4038"
566,"3945"
567,"3928"
568,"3881"
569,"3943"
570,"4050"
571,"3960"
572,"3889"
573,"3976"
574,"4084"
575,"4062"
576,"3995"
577,"3902"
578,"3960"
579,"3953"
580,"4024"
581,"4071"
582,"4036"
583,"3979"
584,"3912"
585,"4025"
586,"4075"
587,"4088"
588,"4127"
589,"4300"
590,"4306"
591,"4500"
592,"4690"
593,"4816"
594,"4927"
595,"4821"
596,"4729"
597,"4746"
598,"4374"
599,"4480"
600,"4223"
601,"4158"
602,"4106"
603,"3890"
604,"3926"
605,"3737"
606,"3720"
607,"3711"
608,"3775"
609,"3855"
610,"3820"
611,"3762"
612,"3647"
613,"3785"
614,"3704"
615,"3654"
616,"3750"
617,"3747"
618,"3823"
619,"3635"
620,"3565"
621,"3764"
622,"3683"
623,"3655"
624,"3736"
625,"3546"
626,"3725"
627,"3724"
628,"3728"
629,"3645"
630,"3699"
631,"3602"
632,"3562"
