Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LUK0631"
Duration Time,300.003
Ambient Temperature,"118.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"28731796"
Raw Accumulated Counts,"39798031"
Valid Count Last Packet,"87014"
Raw Count Last Packet,"120990"
Live Time,215.391037
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0387
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"7104"
1,"5711"
2,"3753"
3,"2465"
4,"1104"
5,"273"
6,"43"
7,"11"
8,"13"
9,"12"
10,"7"
11,"7"
12,"5"
13,"2"
14,"3"
15,"2"
16,"4"
17,"5"
18,"1"
19,"1"
20,"1"
21,"1"
22,"2"
23,"3"
24,"1"
25,"2"
26,"0"
27,"3"
28,"2"
29,"3"
30,"15"
31,"115"
32,"656"
33,"1625"
34,"2427"
35,"2934"
36,"3108"
37,"3149"
38,"2947"
39,"3031"
40,"3079"
41,"2914"
42,"2951"
43,"2925"
44,"2956"
45,"3034"
46,"2905"
47,"2968"
48,"3014"
49,"2936"
50,"2823"
51,"2831"
52,"2784"
53,"2818"
54,"2726"
55,"2810"
56,"2753"
57,"2695"
58,"2714"
59,"2734"
60,"2757"
61,"2738"
62,"2704"
63,"2654"
64,"2544"
65,"2498"
66,"2434"
67,"2456"
68,"2481"
69,"2485"
70,"2546"
71,"2592"
72,"2721"
73,"2691"
74,"2751"
75,"2785"
76,"2539"
77,"2492"
78,"2412"
79,"2484"
80,"2436"
81,"2324"
82,"2409"
83,"2562"
84,"2677"
85,"2762"
86,"2845"
87,"2862"
88,"2841"
89,"2706"
90,"2594"
91,"2540"
92,"2685"
93,"2892"
94,"3112"
95,"3336"
96,"3544"
97,"3787"
98,"3545"
99,"3379"
100,"3240"
101,"2834"
102,"2744"
103,"2726"
104,"2630"
105,"2695"
106,"2761"
107,"2762"
108,"2707"
109,"2864"
110,"3055"
111,"3201"
112,"3427"
113,"3619"
114,"4058"
115,"4105"
116,"4005"
117,"3896"
118,"3799"
119,"3567"
120,"3450"
121,"3388"
122,"3384"
123,"3456"
124,"3687"
125,"3708"
126,"3962"
127,"4589"
128,"5337"
129,"6663"
130,"8841"
131,"11541"
132,"14839"
133,"17655"
134,"19301"
135,"19297"
136,"18007"
137,"16110"
138,"15048"
139,"14892"
140,"15830"
141,"16786"
142,"17294"
143,"17094"
144,"16961"
145,"16979"
146,"17496"
147,"17711"
148,"16903"
149,"15347"
150,"12666"
151,"10104"
152,"7993"
153,"6303"
154,"5583"
155,"5189"
