Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM-232"
Duration Time,300.656
Ambient Temperature,"109.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"7231531"
Raw Accumulated Counts,"7701825"
Valid Count Last Packet,"22594"
Raw Count Last Packet,"24139"
Live Time,282.790131
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0356
Number of Channels,2048
Vacuum,682
Channel#,Intensity
0,"9721"
1,"7598"
2,"4703"
3,"2521"
4,"1110"
5,"289"
6,"40"
7,"7"
8,"6"
9,"5"
10,"2"
11,"2"
12,"2"
13,"5"
14,"1"
15,"1"
16,"0"
17,"1"
18,"1"
19,"2"
20,"0"
21,"0"
22,"0"
23,"0"
24,"2"
25,"0"
26,"0"
27,"0"
28,"0"
29,"2"
30,"0"
31,"11"
32,"135"
33,"486"
34,"896"
35,"1105"
36,"1293"
37,"1279"
38,"1257"
39,"1250"
40,"1216"
41,"1252"
42,"1236"
43,"1285"
44,"1247"
45,"1294"
46,"1401"
47,"1422"
48,"1443"
49,"1340"
50,"1253"
51,"1317"
52,"1257"
53,"1312"
54,"1334"
55,"1367"
56,"1262"
57,"1291"
58,"1310"
59,"1312"
60,"1432"
61,"1378"
62,"1374"
63,"1277"
64,"1317"
65,"1298"
66,"1406"
67,"1573"
68,"1731"
69,"1825"
70,"1948"
71,"1791"
72,"1628"
73,"1671"
74,"1590"
75,"1560"
76,"1610"
77,"1526"
78,"1553"
79,"1564"
80,"1521"
81,"1592"
82,"1656"
83,"1992"
84,"2462"
85,"2951"
86,"3533"
87,"3679"
88,"3329"
89,"2896"
90,"2329"
91,"1843"
92,"1674"
93,"1522"
94,"1499"
95,"1443"
96,"1499"
97,"1550"
98,"1728"
99,"1844"
100,"1880"
101,"1914"
102,"1886"
103,"1808"
104,"1694"
105,"1611"
106,"1683"
107,"1824"
108,"1914"
109,"2245"
110,"3031"
111,"4394"
112,"6502"
113,"9134"
114,"11242"
115,"12640"
116,"12016"
117,"10240"
118,"7592"
119,"5433"
120,"4061"
121,"3342"
122,"3110"
123,"3132"
124,"3076"
125,"3014"
126,"2992"
127,"3138"
128,"3818"
129,"4937"
130,"6743"
131,"9873"
132,"13549"
133,"17022"
134,"19936"
135,"20419"
136,"19229"
137,"16876"
138,"15022"
139,"13915"
140,"14017"
141,"14851"
142,"15088"
143,"15433"
144,"15942"
145,"17310"
146,"18909"
147,"20108"
148,"20187"
149,"18839"
150,"16768"
151,"15315"
152,"16442"
153,"21170"
154,"28531"
155,"37429"
156,"43581"
157,"44605"
158,"39878"
159,"31958"
160,"24340"
161,"18387"
162,"16831"
163,"18046"
164,"21806"
165,"25751"
166,"27328"
167,"26696"
168,"23513"
169,"19619"
170,"15558"
171,"12136"
172,"9812"
173,"8627"
174,"8282"
175,"8466"
176,"8567"
177,"8493"
178,"7667"
179,"6776"
180,"6076"
181,"5759"
182,"6140"
183,"6516"
184,"7291"
185,"7419"
186,"7053"
187,"6261"
