Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MA0916400"
Duration Time,300.169
Ambient Temperature,"112.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"9645063"
Raw Accumulated Counts,"10484087"
Valid Count Last Packet,"30097"
Raw Count Last Packet,"32694"
Live Time,276.317993
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0395
Number of Channels,2048
Vacuum,689
Channel#,Intensity
0,"9705"
1,"7476"
2,"4649"
3,"2741"
4,"1275"
5,"273"
6,"39"
7,"10"
8,"7"
9,"6"
10,"1"
11,"2"
12,"4"
13,"2"
14,"0"
15,"1"
16,"0"
17,"3"
18,"1"
19,"1"
20,"1"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"1"
28,"1"
29,"0"
30,"0"
31,"28"
32,"190"
33,"739"
34,"1285"
35,"1535"
36,"1591"
37,"1714"
38,"1737"
39,"1730"
40,"1696"
41,"1728"
42,"1701"
43,"1696"
44,"1832"
45,"1922"
46,"1984"
47,"1984"
48,"1998"
49,"1875"
50,"1865"
51,"1855"
52,"1821"
53,"1777"
54,"1898"
55,"2016"
56,"1887"
57,"1877"
58,"1873"
59,"1926"
60,"1951"
61,"1956"
62,"1807"
63,"1773"
64,"1717"
65,"1733"
66,"1692"
67,"1696"
68,"1686"
69,"1745"
70,"1657"
71,"1777"
72,"1808"
73,"1834"
74,"1947"
75,"1943"
76,"1799"
77,"1753"
78,"1789"
79,"1683"
80,"1742"
81,"1663"
82,"1701"
83,"1811"
84,"2068"
85,"2234"
86,"2423"
87,"2427"
88,"2433"
89,"2333"
90,"2355"
91,"2543"
92,"2890"
93,"3680"
94,"4902"
95,"6470"
96,"7719"
97,"8365"
98,"7939"
99,"6609"
100,"5145"
101,"3817"
102,"2979"
103,"2570"
104,"2381"
105,"2317"
106,"2305"
107,"2378"
108,"2597"
109,"2711"
110,"2959"
111,"3263"
112,"3795"
113,"4268"
114,"4356"
115,"4483"
116,"4196"
117,"3942"
118,"3766"
119,"3451"
120,"3322"
121,"3214"
122,"3211"
123,"3348"
124,"3406"
125,"3488"
126,"3844"
127,"4386"
128,"5312"
129,"6842"
130,"9586"
131,"12937"
132,"17131"
133,"20800"
134,"23373"
135,"23631"
136,"21583"
137,"19216"
138,"17335"
139,"16539"
140,"17312"
141,"18811"
142,"19022"
143,"19137"
144,"19249"
145,"19845"
146,"20931"
147,"21413"
148,"20995"
149,"19027"
150,"15715"
151,"12371"
152,"9502"
153,"7562"
154,"6398"
155,"6053"
156,"6304"
157,"6547"
158,"6733"
159,"6934"
160,"7073"
161,"7124"
162,"7250"
163,"7836"
164,"8443"
165,"8925"
166,"8905"
167,"8745"
168,"8263"
169,"7870"
170,"7629"
171,"7643"
172,"7794"
173,"8382"
174,"9675"
175,"12002"
176,"17063"
177,"28895"
178,"53989"
179,"102543"
180,"183902"
181,"297972"
182,"430163"
183,"544846"
184,"604191"
185,"587115"
186,"501949"
187,"374511"
188,"244865"
189,"141615"
190,"73880"
191,"36282"
192,"19099"
193,"14103"
194,"15725"
195,"22462"
196,"34272"
197,"51364"
198,"70528"
199,"87701"
200,"97558"
201,"96055"
202,"83735"
203,"65213"
204,"45074"
205,"27836"
206,"15784"
207,"8990"
208,"5314"
209,"3900"
210,"3209"
211,"2988"
212,"2823"
213,"2956"
214,"3020"
215,"3005"
216,"2994"
217,"3039"
218,"3013"
219,"3105"
220,"3387"
221,"3514"
222,"3660"
223,"3828"
224,"3930"
225,"3970"
226,"3915"
227,"3802"
228,"3654"
229,"3534"
230,"3453"
231,"3342"
232,"3424"
233,"3423"
234,"3372"
235,"3335"
236,"3346"
237,"3399"
238,"3616"
239,"3522"
240,"3633"
241,"3637"
242,"3567"
243,"3749"
244,"3682"
245,"3811"
246,"3721"
247,"3838"
248,"3839"
249,"3750"
250,"3733"
251,"3818"
252,"3723"
253,"3824"
254,"3924"
255,"3758"
256,"3902"
257,"3881"
258,"3867"
259,"3935"
260,"4039"
261,"4008"
262,"4071"
263,"4044"
264,"4086"
265,"4244"
266,"4281"
267,"4365"
268,"4511"
269,"4332"
270,"4522"
271,"4459"
272,"4531"
273,"4564"
274,"4633"
275,"4584"
276,"4631"
277,"4502"
278,"4593"
279,"4572"
280,"4748"
281,"4752"
282,"4742"
283,"4660"
284,"4855"
285,"4839"
286,"4798"
287,"4939"
288,"5046"
289,"5033"
290,"5127"
291,"5118"
292,"5137"
293,"5407"
294,"5524"
295,"5452"
296,"5449"
297,"5410"
298,"5389"
299,"5498"
300,"5380"
301,"5377"
302,"5393"
303,"5499"
304,"5460"
305,"5519"
306,"5688"
307,"5721"
308,"5884"
309,"5949"
310,"6264"
311,"6436"
312,"6642"
313,"7004"
314,"7210"
315,"7945"
316,"8605"
317,"9147"
318,"9712"
319,"9908"
320,"9769"
321,"9362"
322,"8759"
323,"7864"
324,"7302"
325,"6385"
326,"6012"
327,"5895"
328,"5882"
329,"5754"
330,"5609"
331,"5572"
332,"5664"
333,"5789"
334,"5819"
335,"5861"
336,"6051"
337,"6017"
338,"6166"
339,"6107"
340,"6270"
341,"6447"
342,"6352"
343,"6484"
344,"6413"
345,"6846"
346,"6700"
347,"7042"
348,"6750"
349,"6939"
350,"6962"
351,"6998"
352,"7065"
353,"7162"
354,"7380"
355,"7496"
356,"7725"
357,"7950"
358,"8496"
359,"9309"
360,"9869"
361,"10691"
362,"11474"
363,"12137"
364,"12731"
365,"13272"
366,"13871"
367,"14427"
368,"14851"
369,"15787"
370,"16613"
371,"17047"
372,"17186"
373,"16833"
374,"15927"
375,"14289"
376,"12499"
377,"10638"
378,"8800"
379,"7565"
380,"6703"
381,"6245"
382,"5896"
383,"5650"
384,"5655"
385,"5692"
386,"5643"
387,"5637"
388,"5778"
389,"5514"
390,"5739"
391,"6014"
392,"6250"
393,"7153"
394,"8533"
395,"10688"
396,"13702"
397,"18039"
398,"22674"
399,"27613"
400,"31672"
401,"34289"
402,"34277"
403,"32445"
404,"28549"
405,"23587"
406,"18707"
407,"14780"
408,"11258"
409,"9023"
410,"7706"
411,"7005"
412,"6676"
413,"6397"
414,"6099"
415,"5882"
416,"5573"
417,"5423"
418,"5154"
419,"5101"
420,"5058"
421,"5014"
422,"4794"
423,"4970"
424,"4784"
425,"4956"
426,"5014"
427,"5037"
428,"4992"
429,"5156"
430,"5311"
431,"5135"
432,"5242"
433,"5134"
434,"5129"
435,"5403"
436,"5423"
437,"5473"
438,"5797"
439,"6375"
440,"6716"
441,"7528"
442,"8282"
443,"8793"
444,"9068"
445,"9456"
446,"8949"
447,"8640"
448,"7826"
449,"7151"
450,"6495"
451,"5944"
452,"5636"
453,"5318"
454,"5164"
455,"5119"
456,"5124"
457,"4965"
458,"5046"
459,"5043"
460,"4976"
461,"4810"
462,"4959"
463,"5016"
464,"5071"
465,"5011"
466,"4965"
467,"4919"
468,"5122"
469,"5038"
470,"5103"
471,"4986"
472,"4967"
473,"4961"
474,"4974"
475,"4954"
476,"5018"
477,"5081"
478,"5031"
479,"4950"
480,"5001"
481,"4971"
482,"5006"
483,"5058"
484,"4945"
485,"4906"
486,"4913"
487,"4799"
488,"4861"
489,"4812"
490,"4841"
491,"4967"
492,"4791"
493,"4879"
494,"4763"
495,"4756"
496,"4716"
497,"4909"
498,"4899"
499,"4758"
500,"4786"
501,"4915"
502,"4844"
503,"4851"
504,"4892"
505,"4737"
506,"4670"
507,"4660"
508,"4822"
509,"4723"
510,"4772"
511,"4754"
512,"4611"
513,"4786"
514,"4736"
515,"4650"
516,"4695"
517,"4641"
518,"4609"
519,"4697"
520,"4719"
521,"4665"
522,"4705"
523,"4637"
524,"4762"
525,"4695"
526,"4774"
527,"4827"
528,"4603"
529,"4686"
530,"4639"
531,"4658"
532,"4643"
533,"4632"
534,"4655"
535,"4712"
536,"4520"
537,"4663"
538,"4518"
539,"4598"
540,"4444"
541,"4645"
542,"4498"
543,"4486"
544,"4556"
545,"4624"
546,"4513"
547,"4365"
548,"4387"
549,"4439"
550,"4401"
551,"4532"
552,"4476"
553,"4493"
554,"4423"
555,"4350"
556,"4406"
557,"4371"
558,"4356"
559,"4495"
560,"4281"
561,"4201"
562,"4318"
563,"4283"
564,"4224"
565,"4303"
566,"4322"
567,"4270"
568,"4191"
569,"4194"
570,"4308"
571,"4177"
572,"4199"
573,"4329"
574,"4230"
575,"4190"
576,"4214"
577,"4245"
578,"4131"
579,"4252"
580,"4200"
581,"4239"
582,"4083"
583,"4174"
584,"4204"
585,"4163"
586,"4144"
587,"4085"
588,"4176"
589,"4136"
590,"4143"
591,"4040"
592,"4063"
593,"4023"
594,"4031"
595,"3969"
596,"3990"
597,"4072"
598,"4046"
599,"3889"
600,"3899"
601,"3877"
602,"3925"
603,"3934"
604,"3877"
605,"3995"
606,"3896"
607,"3863"
608,"3900"
609,"3941"
610,"3923"
611,"3818"
612,"3833"
613,"3949"
614,"3809"
615,"3851"
616,"3841"
617,"3825"
618,"3716"
619,"3823"
620,"3848"
621,"3777"
622,"3920"
623,"3834"
624,"3701"
625,"3650"
626,"3830"
627,"3853"
628,"3576"
629,"3633"
630,"3757"
631,"3620"
632,"3680"
633,"3729"
634,"3712"
635,"3642"
636,"3581"
637,"3581"
638,"3542"
639,"3618"
640,"3473"
641,"3590"
642,"3647"
643,"3520"
644,"3535"
645,"3550"
646,"3528"
647,"3450"
648,"3472"
649,"3412"
650,"3385"
651,"3576"
652,"3463"
653,"3327"
654,"3411"
655,"3450"
656,"3320"
657,"3460"
658,"3297"
659,"3191"
660,"3337"
661,"3353"
662,"3332"
663,"3355"
664,"3322"
665,"3278"
666,"3338"
667,"3339"
668,"3138"
669,"3268"
670,"3212"
671,"3278"
672,"3181"
673,"3135"
674,"3163"
675,"3176"
676,"3164"
677,"3121"
678,"3146"
679,"3139"
680,"3177"
681,"3077"
682,"3070"
683,"2944"
684,"2996"
685,"3097"
686,"3065"
687,"3142"
688,"3042"
689,"3050"
690,"3044"
691,"3034"
692,"2991"
693,"3050"
694,"2958"
695,"2997"
696,"3016"
697,"3042"
698,"3108"
699,"3137"
700,"3309"
701,"3429"
702,"3435"
703,"3591"
704,"3707"
705,"3723"
706,"3728"
707,"3759"
708,"3610"
709,"3536"
710,"3467"
711,"3263"
712,"3192"
713,"3055"
714,"3000"
715,"2814"
716,"2852"
717,"2797"
718,"2756"
719,"2714"
720,"2786"
721,"2751"
722,"2665"
723,"2695"
724,"2639"
725,"2693"
726,"2643"
727,"2641"
728,"2593"
729,"2584"
730,"2625"
731,"2538"
732,"2594"
733,"2652"
734,"2549"
735,"2600"
736,"2590"
737,"2510"
738,"2560"
739,"2573"
740,"2558"
741,"2480"
742,"2547"
743,"2548"
744,"2452"
745,"2470"
746,"2531"
747,"2514"
748,"2433"
749,"2492"
750,"2481"
751,"2497"
752,"2479"
753,"2363"
754,"2380"
755,"2354"
756,"2423"
757,"2438"
758,"2321"
759,"2416"
760,"2325"
761,"2361"
762,"2422"
763,"2310"
764,"2351"
765,"2371"
766,"2251"
767,"2250"
768,"2271"
769,"2395"
770,"2299"
771,"2307"
772,"2282"
773,"2234"
774,"2179"
775,"2233"
776,"2296"
777,"2170"
778,"2158"
779,"2272"
780,"2213"
781,"2136"
782,"2293"
783,"2243"
784,"2261"
785,"2225"
786,"2247"
787,"2186"
788,"2251"
789,"2283"
790,"2241"
791,"2286"
792,"2169"
793,"2125"
794,"2236"
795,"2127"
796,"2207"
797,"2156"
798,"2076"
799,"2083"
800,"2068"
801,"2077"
802,"2028"
803,"2102"
804,"2029"
805,"2064"
806,"2017"
807,"1995"
808,"2034"
809,"1959"
810,"1964"
811,"1939"
812,"1965"
813,"1900"
814,"1917"
815,"1859"
816,"1900"
817,"1904"
818,"1941"
819,"1847"
820,"1849"
821,"1861"
822,"1953"
823,"1912"
824,"1850"
825,"1872"
826,"1782"
827,"1821"
828,"1944"
829,"1862"
830,"1852"
831,"1819"
832,"1781"
833,"1832"
834,"1829"
835,"1849"
836,"1827"
837,"1768"
838,"1814"
839,"1734"
840,"1790"
841,"1771"
842,"1786"
843,"1836"
844,"1710"
845,"1791"
846,"1743"
847,"1733"
848,"1727"
849,"1694"
850,"1694"
851,"1610"
852,"1719"
853,"1725"
854,"1721"
855,"1685"
856,"1688"
857,"1685"
858,"1694"
859,"1701"
860,"1678"
861,"1735"
862,"1644"
863,"1696"
864,"1762"
865,"1688"
866,"1627"
867,"1668"
868,"1646"
869,"1682"
870,"1600"
871,"1730"
872,"1650"
873,"1697"
874,"1583"
875,"1609"
876,"1620"
877,"1693"
878,"1636"
879,"1685"
880,"1644"
881,"1676"
882,"1694"
883,"1633"
884,"1627"
885,"1628"
886,"1600"
887,"1553"
888,"1632"
889,"1657"
890,"1687"
891,"1686"
892,"1595"
893,"1568"
894,"1600"
895,"1657"
896,"1603"
897,"1651"
898,"1601"
899,"1659"
900,"1689"
901,"1690"
902,"1662"
903,"1675"
904,"1738"
905,"1716"
906,"1682"
907,"1684"
908,"1745"
909,"1751"
910,"1681"
911,"1703"
912,"1769"
913,"1808"
914,"1808"
915,"1838"
916,"1908"
917,"1803"
918,"1866"
919,"1959"
920,"1955"
921,"2092"
922,"2126"
923,"2203"
924,"2243"
925,"2213"
926,"2346"
927,"2393"
928,"2604"
929,"2689"
930,"2777"
931,"2896"
932,"3134"
933,"3288"
934,"3470"
935,"3633"
936,"3835"
937,"4054"
938,"4269"
939,"4404"
940,"4629"
941,"4823"
942,"5083"
943,"5346"
944,"5400"
945,"5722"
946,"5807"
947,"5917"
948,"5942"
949,"6081"
950,"6119"
951,"6096"
952,"5934"
953,"6015"
954,"5860"
955,"5737"
956,"5575"
957,"5445"
958,"5247"
959,"4939"
960,"4745"
961,"4690"
962,"4457"
963,"4235"
964,"3890"
965,"3783"
966,"3544"
967,"3292"
968,"3063"
969,"3019"
970,"2820"
971,"2656"
972,"2443"
973,"2219"
974,"2252"
975,"1997"
976,"1858"
977,"1907"
978,"1768"
979,"1716"
980,"1635"
981,"1618"
982,"1630"
983,"1513"
984,"1547"
985,"1387"
986,"1435"
987,"1388"
988,"1309"
989,"1305"
990,"1302"
991,"1243"
992,"1292"
993,"1350"
994,"1350"
995,"1453"
996,"1551"
997,"1620"
998,"1740"
999,"1864"
1000,"2030"
1001,"2242"
1002,"2323"
1003,"2502"
1004,"2539"
1005,"2669"
1006,"2714"
1007,"2777"
1008,"2792"
1009,"2867"
1010,"2672"
1011,"2430"
1012,"2463"
1013,"2154"
1014,"1950"
1015,"1766"
1016,"1666"
1017,"1405"
1018,"1228"
1019,"1180"
1020,"1065"
1021,"976"
1022,"1010"
1023,"942"
1024,"931"
1025,"966"
1026,"925"
1027,"970"
1028,"878"
1029,"920"
1030,"970"
1031,"946"
1032,"911"
1033,"929"
1034,"964"
1035,"995"
1036,"965"
1037,"952"
1038,"996"
1039,"1026"
1040,"1072"
1041,"1050"
1042,"1104"
1043,"1170"
1044,"1219"
1045,"1326"
1046,"1332"
1047,"1401"
1048,"1488"
1049,"1527"
1050,"1612"
1051,"1652"
1052,"1729"
1053,"1819"
1054,"1852"
1055,"1906"
1056,"1815"
1057,"1806"
1058,"1922"
1059,"1856"
1060,"1785"
1061,"1834"
1062,"1801"
1063,"1772"
1064,"1621"
1065,"1601"
1066,"1466"
1067,"1446"
1068,"1344"
1069,"1360"
1070,"1379"
1071,"1323"
1072,"1221"
1073,"1239"
1074,"1302"
1075,"1223"
1076,"1121"
1077,"1132"
1078,"1153"
1079,"1079"
1080,"1045"
1081,"1039"
1082,"1009"
1083,"953"
1084,"1006"
1085,"980"
1086,"878"
1087,"968"
1088,"934"
1089,"908"
1090,"853"
1091,"850"
1092,"782"
1093,"843"
1094,"749"
1095,"745"
1096,"746"
1097,"715"
1098,"743"
1099,"677"
1100,"781"
1101,"656"
1102,"714"
1103,"666"
1104,"683"
1105,"687"
1106,"707"
1107,"632"
1108,"661"
1109,"629"
1110,"619"
1111,"656"
1112,"664"
1113,"623"
1114,"658"
1115,"628"
1116,"618"
1117,"601"
1118,"614"
1119,"608"
1120,"674"
1121,"594"
1122,"609"
1123,"615"
1124,"595"
1125,"652"
1126,"650"
1127,"667"
1128,"675"
1129,"709"
1130,"703"
1131,"750"
1132,"761"
1133,"749"
1134,"757"
1135,"751"
1136,"743"
1137,"756"
1138,"718"
1139,"709"
1140,"652"
1141,"629"
1142,"623"
1143,"619"
1144,"577"
1145,"571"
1146,"559"
1147,"528"
1148,"543"
1149,"543"
1150,"532"
1151,"535"
1152,"519"
1153,"519"
1154,"549"
1155,"545"
1156,"519"
1157,"475"
1158,"547"
1159,"528"
1160,"499"
1161,"550"
1162,"485"
1163,"483"
1164,"471"
1165,"486"
1166,"473"
1167,"462"
1168,"456"
1169,"458"
1170,"467"
1171,"457"
1172,"458"
1173,"454"
1174,"485"
1175,"512"
1176,"468"
1177,"472"
1178,"430"
1179,"454"
1180,"473"
1181,"458"
1182,"490"
1183,"509"
1184,"544"
1185,"516"
1186,"542"
1187,"517"
1188,"560"
1189,"573"
1190,"560"
1191,"547"
1192,"528"
1193,"478"
1194,"490"
1195,"447"
1196,"472"
1197,"461"
1198,"409"
1199,"459"
1200,"398"
1201,"396"
1202,"432"
1203,"461"
1204,"410"
1205,"355"
1206,"411"
1207,"408"
1208,"406"
1209,"409"
1210,"428"
1211,"408"
1212,"416"
1213,"379"
1214,"406"
1215,"393"
1216,"433"
1217,"400"
1218,"371"
1219,"377"
1220,"407"
1221,"372"
1222,"380"
1223,"371"
1224,"346"
1225,"378"
1226,"371"
1227,"392"
1228,"363"
1229,"351"
1230,"352"
1231,"351"
1232,"386"
1233,"352"
1234,"364"
1235,"336"
1236,"370"
1237,"364"
1238,"343"
1239,"389"
1240,"371"
1241,"362"
1242,"358"
1243,"378"
1244,"373"
1245,"350"
1246,"355"
1247,"383"
1248,"331"
1249,"362"
1250,"320"
1251,"382"
1252,"348"
1253,"344"
1254,"370"
1255,"351"
1256,"315"
1257,"328"
1258,"368"
1259,"328"
1260,"281"
1261,"349"
1262,"338"
1263,"336"
1264,"368"
1265,"353"
1266,"345"
1267,"338"
1268,"328"
1269,"348"
1270,"338"
1271,"332"
1272,"333"
1273,"311"
1274,"325"
1275,"278"
1276,"303"
1277,"311"
1278,"285"
1279,"313"
1280,"291"
1281,"287"
1282,"329"
1283,"290"
1284,"288"
1285,"298"
1286,"308"
1287,"307"
1288,"298"
1289,"297"
1290,"304"
1291,"280"
1292,"284"
1293,"292"
1294,"304"
1295,"267"
1296,"299"
1297,"282"
1298,"283"
1299,"273"
1300,"297"
1301,"273"
1302,"284"
1303,"274"
1304,"293"
1305,"255"
1306,"277"
1307,"265"
1308,"250"
1309,"293"
1310,"252"
1311,"281"
1312,"271"
1313,"280"
1314,"256"
1315,"277"
1316,"250"
1317,"262"
1318,"255"
1319,"260"
1320,"267"
1321,"247"
1322,"244"
1323,"239"
1324,"265"
1325,"231"
1326,"251"
1327,"252"
1328,"247"
1329,"233"
1330,"240"
1331,"227"
1332,"250"
1333,"246"
1334,"220"
1335,"260"
1336,"257"
1337,"226"
1338,"242"
1339,"259"
1340,"248"
1341,"254"
1342,"241"
1343,"246"
1344,"241"
1345,"210"
1346,"226"
1347,"240"
1348,"220"
1349,"224"
1350,"215"
1351,"239"
1352,"242"
1353,"251"
1354,"218"
1355,"225"
1356,"218"
1357,"220"
1358,"216"
1359,"221"
1360,"194"
1361,"235"
1362,"219"
1363,"218"
1364,"214"
1365,"210"
1366,"215"
1367,"220"
1368,"236"
1369,"210"
1370,"190"
1371,"222"
1372,"200"
1373,"193"
1374,"213"
1375,"232"
1376,"198"
1377,"215"
