Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MA1202321 - pasta din tub"
Duration Time,300.742
Ambient Temperature,"114.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"12943628"
Raw Accumulated Counts,"14554673"
Valid Count Last Packet,"40392"
Raw Count Last Packet,"45399"
Live Time,267.255066
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0386
Number of Channels,2048
Vacuum,691
Channel#,Intensity
0,"9170"
1,"7099"
2,"4702"
3,"2863"
4,"1344"
5,"329"
6,"53"
7,"11"
8,"2"
9,"10"
10,"7"
11,"3"
12,"1"
13,"3"
14,"5"
15,"3"
16,"1"
17,"3"
18,"1"
19,"0"
20,"3"
21,"2"
22,"3"
23,"0"
24,"4"
25,"1"
26,"0"
27,"0"
28,"1"
29,"2"
30,"2"
31,"45"
32,"357"
33,"1188"
34,"1853"
35,"2188"
36,"2318"
37,"2462"
38,"2457"
39,"2506"
40,"2438"
41,"2536"
42,"2606"
43,"2773"
44,"2832"
45,"2757"
46,"2659"
47,"2694"
48,"2581"
49,"2528"
50,"2463"
51,"2403"
52,"2417"
53,"2481"
54,"2457"
55,"2488"
56,"2445"
57,"2490"
58,"2324"
59,"2436"
60,"2351"
61,"2337"
62,"2446"
63,"2321"
64,"2253"
65,"2192"
66,"2120"
67,"2112"
68,"2152"
69,"2159"
70,"2230"
71,"2218"
72,"2297"
73,"2322"
74,"2345"
75,"2268"
76,"2232"
77,"2187"
78,"2095"
79,"2163"
80,"2098"
81,"2201"
82,"2097"
83,"2289"
84,"2374"
85,"2583"
86,"2704"
87,"2799"
88,"2705"
89,"2686"
90,"2673"
91,"2737"
92,"2981"
93,"3635"
94,"4539"
95,"5780"
96,"6648"
97,"7121"
98,"6905"
99,"5797"
100,"4754"
101,"3794"
102,"3083"
103,"2758"
104,"2561"
105,"2623"
106,"2526"
107,"2553"
108,"2700"
109,"2820"
110,"3221"
111,"3493"
112,"3907"
113,"4386"
114,"4643"
115,"4798"
116,"4722"
117,"4263"
118,"4207"
119,"3809"
120,"3742"
121,"3666"
122,"3777"
123,"4070"
124,"4542"
125,"5974"
126,"8455"
127,"12368"
128,"18416"
129,"25828"
130,"32195"
131,"37138"
132,"38901"
133,"37622"
134,"34141"
135,"29675"
136,"25515"
137,"21753"
138,"19570"
139,"19552"
140,"20803"
141,"21310"
142,"21725"
143,"20648"
144,"20158"
145,"20204"
146,"20549"
147,"20948"
148,"20077"
149,"18089"
150,"15039"
151,"11929"
152,"9024"
153,"7168"
154,"6170"
155,"5640"
156,"5774"
157,"6040"
158,"6248"
159,"6315"
160,"6186"
161,"6065"
162,"5924"
163,"5717"
164,"5679"
165,"5940"
166,"6036"
167,"6059"
168,"6221"
169,"6230"
170,"6256"
171,"6341"
172,"6759"
173,"7248"
174,"8029"
175,"9857"
176,"14191"
177,"23289"
178,"43555"
179,"81484"
180,"145786"
181,"235959"
182,"337659"
183,"427677"
184,"473069"
185,"460150"
186,"392644"
187,"293497"
188,"193127"
189,"111967"
190,"59535"
191,"29701"
192,"16549"
193,"12037"
194,"13576"
195,"19196"
196,"29219"
197,"42741"
198,"58731"
199,"72263"
200,"80064"
201,"79833"
202,"69038"
203,"53770"
204,"37894"
205,"24114"
206,"14450"
207,"8495"
208,"5647"
209,"4200"
210,"3756"
211,"3470"
212,"3488"
213,"3572"
214,"3505"
215,"3616"
216,"3877"
217,"4215"
218,"4905"
219,"6353"
220,"8691"
221,"12340"
222,"16643"
223,"21702"
224,"25798"
225,"27304"
226,"26552"
227,"23273"
228,"18274"
229,"13627"
230,"9521"
231,"6783"
232,"5416"
233,"4513"
234,"4325"
235,"4024"
236,"4074"
237,"4177"
238,"4310"
239,"4289"
240,"4737"
241,"5155"
242,"5610"
243,"6389"
244,"7244"
245,"8063"
246,"8174"
247,"8199"
248,"7621"
249,"6998"
250,"6153"
251,"5604"
252,"5060"
253,"4747"
254,"4603"
255,"4499"
256,"4543"
257,"4599"
258,"4644"
259,"4632"
260,"4855"
261,"4741"
262,"4842"
263,"4910"
264,"4897"
265,"4981"
266,"5084"
267,"5070"
268,"5193"
269,"5175"
270,"5199"
271,"5343"
272,"5359"
273,"5380"
274,"5387"
275,"5351"
276,"5292"
277,"5417"
278,"5360"
279,"5499"
280,"5554"
281,"5552"
282,"5560"
283,"5699"
284,"5609"
285,"5841"
286,"5762"
287,"5889"
288,"5819"
289,"6003"
290,"6082"
291,"6163"
292,"6193"
293,"6262"
294,"6337"
295,"6391"
296,"6550"
297,"6478"
298,"6308"
299,"6318"
300,"6263"
301,"6297"
302,"6460"
303,"6330"
304,"6375"
305,"6573"
306,"6715"
307,"6703"
308,"7006"
309,"7111"
310,"7308"
311,"7685"
312,"7965"
313,"8538"
314,"8931"
315,"9371"
316,"10252"
317,"10941"
318,"11852"
319,"11860"
320,"12082"
321,"11254"
322,"10391"
323,"9680"
324,"8881"
325,"7758"
326,"7652"
327,"7140"
328,"6944"
329,"7016"
330,"7110"
331,"7088"
332,"6957"
333,"6941"
334,"7101"
335,"7114"
336,"7154"
337,"7360"
338,"7477"
339,"7432"
340,"7456"
341,"7556"
342,"7735"
343,"7886"
344,"7975"
345,"8089"
346,"8348"
347,"8234"
348,"8270"
349,"8381"
350,"8598"
351,"8609"
352,"8735"
353,"8762"
354,"8921"
355,"9327"
356,"9451"
357,"9953"
358,"10511"
359,"11294"
360,"12078"
361,"13167"
362,"14018"
363,"14941"
364,"15621"
365,"16274"
366,"16940"
367,"17438"
368,"18390"
369,"19629"
370,"20332"
371,"21481"
372,"21966"
373,"21946"
374,"20737"
375,"18624"
376,"16375"
377,"14080"
378,"11967"
379,"10065"
380,"9022"
381,"8146"
382,"7822"
383,"7542"
384,"7528"
385,"7710"
386,"7952"
387,"7689"
388,"7815"
389,"8297"
390,"8430"
391,"9269"
392,"10833"
393,"13834"
394,"18811"
395,"26779"
396,"38614"
397,"54666"
398,"72238"
399,"90390"
400,"106161"
401,"115737"
402,"116735"
403,"108510"
404,"93997"
405,"76554"
406,"57789"
407,"41479"
408,"28927"
409,"20638"
410,"15066"
411,"11853"
412,"10247"
413,"9236"
414,"8833"
415,"8410"
416,"8032"
417,"7530"
418,"7427"
419,"7333"
420,"7096"
421,"6893"
422,"7131"
423,"7041"
424,"7108"
425,"6952"
426,"7298"
427,"7210"
428,"7434"
429,"7634"
430,"7854"
431,"7820"
432,"7759"
433,"7947"
434,"7947"
435,"8120"
436,"8746"
437,"9467"
438,"10615"
439,"12601"
440,"14857"
441,"17706"
442,"20207"
443,"22141"
444,"24173"
445,"24307"
446,"22999"
447,"21337"
448,"18411"
449,"16077"
450,"13082"
451,"10943"
452,"9490"
453,"8392"
454,"7761"
455,"7349"
456,"7256"
457,"7108"
458,"7151"
459,"6904"
460,"7135"
461,"7290"
462,"7086"
463,"6864"
464,"7100"
465,"7061"
466,"7077"
467,"7053"
468,"6949"
469,"7000"
470,"7033"
471,"7134"
472,"7290"
473,"7270"
474,"7119"
475,"7115"
476,"7033"
477,"7142"
478,"7197"
479,"7083"
480,"7178"
481,"7315"
482,"7269"
483,"7150"
484,"7093"
485,"7029"
486,"7138"
487,"7319"
488,"7086"
489,"7184"
490,"7067"
491,"7170"
492,"6976"
493,"7344"
494,"7323"
495,"7221"
496,"7192"
497,"7314"
498,"7171"
499,"7054"
500,"7095"
501,"7236"
502,"7114"
503,"7292"
504,"7106"
505,"7272"
506,"7128"
507,"7162"
508,"7159"
509,"7258"
510,"7074"
511,"7188"
512,"7159"
513,"7281"
514,"7132"
515,"7098"
516,"7067"
517,"7047"
518,"7168"
519,"7144"
520,"7225"
521,"7346"
522,"7291"
523,"7361"
524,"7200"
525,"7290"
526,"7272"
527,"7200"
528,"7280"
529,"7201"
530,"7157"
531,"7316"
532,"7264"
533,"7168"
534,"7119"
535,"7238"
536,"7175"
537,"7300"
538,"7088"
539,"7005"
540,"7177"
541,"7277"
542,"7307"
543,"7272"
544,"7055"
545,"7266"
546,"7224"
547,"7062"
548,"7108"
549,"7290"
550,"7254"
551,"7114"
552,"7090"
553,"7146"
554,"7188"
555,"7165"
556,"7184"
557,"7114"
558,"7129"
559,"7194"
560,"7177"
561,"7055"
562,"7184"
563,"7072"
564,"7191"
565,"7173"
566,"7149"
567,"7113"
568,"7154"
569,"7086"
570,"7121"
571,"7002"
572,"7076"
573,"6982"
574,"7012"
575,"7037"
576,"7164"
577,"7036"
578,"7043"
579,"7109"
580,"7037"
581,"7130"
582,"7153"
583,"7138"
584,"7233"
585,"7340"
586,"7427"
587,"7411"
588,"7410"
589,"7582"
590,"7846"
591,"7834"
592,"8101"
593,"8164"
594,"8049"
595,"8073"
596,"8166"
597,"7966"
598,"7654"
599,"7597"
600,"7290"
601,"7428"
602,"7273"
603,"7122"
604,"6966"
605,"7176"
606,"6939"
607,"6936"
608,"6883"
609,"6886"
610,"6887"
611,"6993"
612,"7002"
613,"6863"
614,"6888"
615,"6932"
616,"6925"
617,"6877"
618,"6920"
619,"6795"
620,"6772"
621,"6907"
622,"6809"
623,"6804"
624,"7020"
625,"6770"
626,"6730"
627,"6859"
628,"7062"
629,"7009"
630,"6835"
631,"6832"
632,"6900"
633,"6789"
634,"6808"
635,"6770"
636,"6638"
637,"6857"
638,"6800"
639,"6837"
640,"6641"
641,"6738"
642,"6607"
643,"6769"
644,"6713"
645,"6604"
646,"6602"
647,"6824"
648,"6679"
649,"6519"
650,"6505"
651,"6662"
652,"6558"
653,"6697"
654,"6594"
655,"6443"
656,"6661"
657,"6622"
658,"6587"
659,"6722"
660,"6619"
661,"6805"
662,"6571"
663,"6731"
664,"6547"
665,"6750"
666,"6635"
667,"6600"
668,"6489"
669,"6557"
670,"6563"
671,"6317"
672,"6427"
673,"6328"
674,"6456"
675,"6473"
676,"6409"
677,"6396"
678,"6316"
