Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK-11151-300s"
Duration Time,300.186
Ambient Temperature,"98.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"20723787"
Raw Accumulated Counts,"25488938"
Valid Count Last Packet,"63870"
Raw Count Last Packet,"77892"
Live Time,243.304077
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0013
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"8366"
1,"6273"
2,"4203"
3,"2937"
4,"1482"
5,"320"
6,"54"
7,"19"
8,"9"
9,"5"
10,"6"
11,"1"
12,"1"
13,"5"
14,"3"
15,"2"
16,"1"
17,"3"
18,"0"
19,"4"
20,"1"
21,"1"
22,"1"
23,"1"
24,"3"
25,"0"
26,"0"
27,"0"
28,"2"
29,"3"
30,"9"
31,"48"
32,"406"
33,"1371"
34,"2256"
35,"2885"
36,"2979"
37,"3104"
38,"3090"
39,"3076"
40,"3042"
41,"3075"
42,"2984"
43,"2926"
44,"3033"
45,"3045"
46,"3047"
47,"3092"
48,"3039"
49,"2911"
50,"2976"
51,"2947"
52,"2891"
53,"2869"
54,"2907"
55,"2962"
56,"2851"
57,"2843"
58,"2861"
59,"2823"
60,"2822"
61,"2799"
62,"2758"
63,"2773"
64,"2708"
65,"2666"
66,"2600"
67,"2560"
68,"2569"
69,"2485"
70,"2680"
71,"2581"
72,"2758"
73,"2830"
74,"2888"
75,"2897"
76,"2808"
77,"2610"
78,"2590"
79,"2602"
80,"2652"
81,"2581"
82,"2746"
83,"3156"
84,"3784"
85,"4501"
86,"4889"
87,"5202"
88,"4629"
89,"4244"
90,"3775"
91,"3487"
92,"3450"
93,"3685"
94,"4257"
95,"5011"
96,"5825"
97,"6135"
98,"6018"
99,"5252"
100,"4453"
101,"3778"
102,"3218"
103,"2943"
104,"2866"
105,"2844"
106,"2800"
107,"2869"
108,"2941"
109,"2952"
110,"3241"
111,"3369"
112,"3619"
113,"3849"
114,"4068"
115,"4114"
116,"4065"
117,"3825"
118,"3766"
119,"3710"
120,"3625"
121,"3571"
122,"3528"
123,"3541"
124,"3696"
125,"3824"
126,"3970"
127,"4290"
128,"5102"
129,"6171"
130,"7919"
131,"10872"
132,"14152"
133,"17819"
134,"20212"
135,"20765"
136,"19367"
137,"17714"
138,"15924"
139,"15191"
140,"15880"
141,"16443"
142,"17318"
143,"17572"
144,"17313"
145,"17690"
146,"18433"
147,"19320"
148,"18523"
149,"17304"
150,"14749"
151,"11862"
152,"9254"
153,"7290"
154,"6217"
155,"5733"
156,"5792"
157,"5872"
158,"6094"
159,"6299"
160,"6412"
161,"6628"
162,"6974"
163,"7598"
164,"8398"
165,"9020"
166,"9105"
167,"8868"
168,"8132"
169,"7405"
170,"6758"
171,"6385"
172,"6268"
173,"6593"
174,"7064"
175,"8166"
176,"10936"
177,"16338"
178,"28664"
179,"52869"
180,"94609"
181,"156084"
182,"228771"
183,"298408"
184,"344022"
185,"345499"
186,"306137"
187,"238394"
188,"163058"
189,"98987"
190,"54384"
191,"28665"
192,"15680"
193,"10795"
194,"10781"
195,"14012"
196,"19955"
197,"29254"
198,"40061"
199,"50802"
200,"57799"
201,"59375"
202,"54159"
203,"44182"
204,"32539"
205,"21847"
206,"13866"
207,"8979"
208,"6478"
209,"5049"
210,"4432"
211,"4333"
212,"4198"
213,"4088"
214,"4192"
215,"4200"
216,"4166"
217,"4412"
218,"4634"
219,"4857"
220,"5297"
221,"6030"
222,"7051"
223,"8079"
224,"9104"
225,"9699"
226,"10028"
227,"9633"
228,"9544"
229,"8986"
230,"9229"
231,"9162"
232,"9200"
233,"9174"
234,"8765"
235,"8060"
236,"7132"
237,"6381"
238,"5832"
239,"5506"
240,"5378"
241,"5431"
242,"5584"
243,"5850"
244,"5924"
245,"5982"
246,"6253"
247,"6199"
248,"6272"
249,"6112"
250,"6033"
251,"5847"
252,"5702"
253,"5742"
254,"5692"
255,"5770"
256,"5859"
257,"5904"
258,"5885"
259,"6098"
260,"6310"
261,"6371"
262,"6585"
263,"6667"
264,"6954"
265,"6991"
266,"6965"
267,"7146"
268,"7150"
269,"7048"
270,"7207"
271,"7246"
272,"7238"
273,"7161"
274,"7095"
275,"7008"
276,"7075"
277,"7396"
278,"7255"
279,"7404"
280,"7266"
281,"7379"
282,"7567"
283,"7663"
284,"7824"
285,"8213"
286,"9119"
287,"10557"
288,"13763"
289,"18748"
290,"26219"
291,"36404"
292,"47901"
293,"58327"
294,"66326"
295,"69030"
296,"64834"
297,"56711"
298,"46101"
299,"34917"
300,"25814"
301,"19074"
302,"15267"
303,"13063"
304,"12521"
305,"12440"
306,"13043"
307,"14091"
308,"15984"
309,"19052"
310,"25884"
311,"39672"
312,"68131"
313,"121671"
314,"210964"
315,"347831"
316,"530681"
317,"741956"
318,"946982"
319,"1103765"
320,"1167669"
321,"1125468"
322,"985624"
323,"787443"
324,"572183"
325,"383424"
326,"235327"
327,"135329"
328,"74876"
329,"40510"
330,"23555"
331,"15512"
332,"11674"
333,"10110"
334,"9463"
335,"9230"
336,"9147"
337,"9394"
338,"9579"
339,"9962"
340,"10505"
341,"11229"
342,"12460"
343,"14692"
344,"18026"
345,"24659"
346,"34546"
347,"51009"
348,"73957"
349,"102330"
350,"132671"
351,"159835"
352,"179973"
353,"185715"
354,"175882"
355,"154398"
356,"124520"
357,"92766"
358,"65236"
359,"43001"
360,"28382"
361,"19346"
362,"14132"
363,"11908"
364,"10948"
365,"10815"
366,"10956"
367,"11404"
368,"11658"
369,"12434"
370,"13289"
371,"14062"
372,"14391"
373,"14839"
374,"14688"
375,"13365"
376,"12333"
377,"10389"
378,"8821"
379,"7506"
380,"6330"
381,"5593"
382,"5112"
383,"4970"
384,"4701"
385,"4785"
386,"4834"
387,"4800"
388,"4723"
389,"4755"
390,"4702"
391,"4833"
392,"4699"
393,"4794"
394,"4807"
395,"4959"
396,"5100"
397,"5070"
398,"5369"
399,"5623"
400,"5680"
401,"5705"
402,"5817"
403,"5916"
404,"5936"
405,"5722"
406,"5796"
407,"5733"
408,"5824"
409,"5766"
410,"5858"
411,"5833"
412,"6114"
413,"6029"
414,"5915"
415,"5989"
416,"5422"
417,"5480"
418,"5117"
419,"5132"
420,"4866"
421,"4637"
422,"4649"
423,"4553"
424,"4743"
425,"4668"
426,"4747"
427,"4745"
428,"4892"
429,"4958"
430,"5104"
431,"5165"
432,"5059"
433,"5223"
434,"4944"
435,"4920"
436,"4946"
437,"4846"
438,"4787"
439,"4711"
440,"4591"
441,"4797"
442,"4752"
443,"4680"
444,"4590"
445,"4720"
446,"4667"
447,"4787"
448,"4786"
449,"4768"
450,"4776"
451,"4682"
452,"4740"
453,"4768"
454,"4859"
