Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK-37400"
Duration Time,300.424
Ambient Temperature,"112.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"17424340"
Raw Accumulated Counts,"20723812"
Valid Count Last Packet,"52452"
Raw Count Last Packet,"63051"
Live Time,252.263168
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0497
Number of Channels,2048
Vacuum,691
Channel#,Intensity
0,"8245"
1,"6526"
2,"4598"
3,"3292"
4,"1500"
5,"306"
6,"45"
7,"17"
8,"13"
9,"9"
10,"3"
11,"7"
12,"6"
13,"7"
14,"7"
15,"6"
16,"1"
17,"3"
18,"3"
19,"3"
20,"0"
21,"1"
22,"0"
23,"4"
24,"4"
25,"2"
26,"2"
27,"0"
28,"2"
29,"4"
30,"16"
31,"133"
32,"809"
33,"2002"
34,"3017"
35,"3531"
36,"3743"
37,"3846"
38,"3826"
39,"3783"
40,"3830"
41,"3758"
42,"3616"
43,"3642"
44,"3801"
45,"3659"
46,"3712"
47,"3627"
48,"3610"
49,"3496"
50,"3486"
51,"3390"
52,"3394"
53,"3449"
54,"3312"
55,"3346"
56,"3257"
57,"3260"
58,"3274"
59,"3388"
60,"3164"
61,"3376"
62,"3212"
63,"3072"
64,"3031"
65,"2921"
66,"2767"
67,"2818"
68,"2804"
69,"2854"
70,"2838"
71,"2942"
72,"3007"
73,"3149"
74,"3036"
75,"3015"
76,"3120"
77,"3161"
78,"2827"
79,"2971"
80,"2820"
81,"2783"
82,"2815"
83,"3196"
84,"3821"
85,"4543"
86,"5008"
87,"4923"
88,"4558"
89,"3926"
90,"3411"
91,"2881"
92,"2744"
93,"2572"
94,"2674"
95,"2795"
96,"2896"
97,"3210"
98,"3441"
99,"3496"
100,"3744"
101,"3543"
102,"3322"
103,"3112"
104,"2778"
105,"2490"
106,"2482"
107,"2508"
108,"2414"
109,"2436"
110,"2719"
111,"3037"
112,"3610"
113,"4355"
114,"4906"
115,"5173"
116,"5115"
117,"4640"
118,"3944"
119,"3500"
120,"3213"
121,"3053"
122,"2985"
123,"2962"
124,"3130"
125,"3236"
126,"3370"
127,"3811"
128,"4407"
129,"5890"
130,"7919"
131,"11092"
132,"14817"
133,"18431"
134,"20429"
135,"20661"
136,"19249"
137,"17006"
138,"14861"
139,"14396"
140,"14747"
141,"15570"
142,"15942"
143,"16138"
144,"15973"
145,"16479"
146,"17452"
147,"17980"
148,"17271"
149,"15718"
150,"12959"
151,"10253"
152,"7530"
153,"5761"
154,"4840"
155,"4455"
156,"4268"
157,"4914"
158,"5334"
159,"6316"
160,"8490"
161,"12279"
162,"17838"
163,"24841"
164,"31179"
165,"35784"
166,"36111"
167,"32222"
168,"25237"
169,"17970"
170,"11610"
171,"7419"
172,"5166"
173,"4375"
174,"4217"
175,"4818"
176,"5857"
177,"7742"
178,"9754"
179,"12547"
180,"16739"
181,"21417"
182,"27267"
183,"32006"
184,"34373"
185,"33644"
186,"29315"
187,"22816"
188,"16205"
189,"10840"
190,"7126"
191,"5046"
192,"4022"
193,"3671"
194,"3716"
195,"4063"
196,"4551"
197,"5314"
198,"6245"
199,"6921"
200,"7590"
201,"7762"
202,"7075"
203,"6421"
204,"5489"
205,"4518"
206,"3944"
207,"3715"
208,"3517"
209,"3561"
210,"3444"
211,"3451"
212,"3557"
213,"3511"
214,"3597"
215,"3647"
216,"3759"
217,"3822"
218,"3790"
219,"4033"
220,"4211"
221,"4309"
222,"4743"
223,"4990"
224,"5304"
225,"5403"
226,"5300"
227,"5080"
228,"4936"
229,"4757"
230,"4532"
231,"4327"
232,"4347"
233,"4362"
234,"4142"
235,"4316"
236,"4335"
237,"4534"
238,"4438"
239,"4626"
240,"4497"
241,"4806"
242,"4816"
243,"4721"
244,"4871"
245,"4963"
246,"4795"
247,"5084"
248,"5156"
249,"5017"
250,"5115"
251,"5123"
252,"5066"
253,"5130"
254,"5205"
255,"5254"
256,"5245"
257,"5304"
258,"5468"
259,"5458"
260,"5550"
261,"5636"
262,"5664"
263,"5674"
264,"5847"
265,"5956"
266,"6133"
267,"6184"
268,"6378"
269,"6622"
270,"6485"
271,"6469"
272,"6599"
