Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK46360"
Duration Time,300.679
Ambient Temperature,"95.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"37726889"
Raw Accumulated Counts,"68727037"
Valid Count Last Packet,"100472"
Raw Count Last Packet,"181218"
Live Time,164.112961
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.08
Number of Channels,2048
Vacuum,996
Channel#,Intensity
0,"4935"
1,"4278"
2,"3257"
3,"1503"
4,"503"
5,"133"
6,"51"
7,"34"
8,"38"
9,"25"
10,"17"
11,"14"
12,"13"
13,"14"
14,"8"
15,"7"
16,"3"
17,"10"
18,"5"
19,"4"
20,"5"
21,"3"
22,"4"
23,"3"
24,"3"
25,"4"
26,"5"
27,"7"
28,"36"
29,"154"
30,"838"
31,"2584"
32,"4930"
33,"6602"
34,"7158"
35,"7494"
36,"7572"
37,"7379"
38,"7383"
39,"7177"
40,"7016"
41,"6889"
42,"6665"
43,"6687"
44,"6331"
45,"6027"
46,"5872"
47,"5686"
48,"5552"
49,"5238"
50,"4850"
51,"4902"
52,"4599"
53,"4573"
54,"4288"
55,"4238"
56,"4043"
57,"3979"
58,"3906"
59,"3797"
60,"3593"
61,"3553"
62,"3434"
63,"3205"
64,"3188"
65,"3135"
66,"3054"
67,"3015"
68,"2947"
69,"2902"
70,"2902"
71,"2920"
72,"2930"
73,"2895"
74,"2737"
75,"2752"
76,"2728"
77,"2596"
78,"2587"
79,"2476"
80,"2592"
81,"2543"
82,"2686"
83,"2806"
84,"2965"
85,"3154"
86,"3205"
87,"3176"
88,"3021"
89,"2835"
90,"2761"
91,"2601"
92,"2526"
93,"2552"
94,"2732"
95,"2845"
96,"3083"
97,"3755"
98,"4603"
99,"5465"
100,"6422"
101,"7294"
102,"7464"
103,"7501"
104,"7181"
105,"6570"
106,"6023"
107,"5519"
108,"4881"
109,"4351"
110,"3956"
111,"3658"
112,"3376"
113,"3279"
114,"3296"
115,"3209"
116,"3120"
117,"3081"
118,"2883"
119,"3025"
120,"2893"
121,"2907"
122,"3002"
123,"3100"
124,"3079"
125,"3308"
126,"3586"
127,"4020"
128,"4807"
129,"6077"
130,"7833"
131,"9781"
132,"11694"
133,"12903"
134,"13496"
135,"13160"
136,"11988"
137,"11090"
138,"10834"
139,"10901"
140,"11519"
141,"11708"
142,"12003"
143,"11871"
144,"12146"
145,"12356"
146,"12670"
147,"12373"
148,"11540"
149,"9987"
150,"8368"
151,"6667"
152,"5386"
153,"4568"
154,"4103"
155,"4003"
156,"3935"
157,"4010"
158,"3937"
159,"3723"
160,"3686"
161,"3496"
162,"3433"
163,"3352"
164,"3413"
165,"3343"
166,"3210"
167,"3209"
168,"3171"
169,"2996"
170,"2992"
171,"2797"
172,"2919"
173,"2866"
174,"2754"
175,"2801"
176,"2970"
177,"3058"
178,"3340"
179,"3580"
180,"4050"
181,"4381"
182,"4991"
183,"5290"
184,"5326"
185,"4985"
186,"4600"
187,"4153"
188,"3658"
189,"3509"
190,"3293"
191,"3141"
192,"3265"
193,"3279"
194,"3211"
195,"3360"
196,"3439"
197,"3647"
198,"3582"
199,"3755"
200,"3860"
201,"3773"
202,"3940"
203,"3716"
204,"3703"
205,"3848"
206,"3756"
207,"3706"
208,"3583"
209,"3626"
210,"3732"
211,"3697"
212,"3740"
213,"3785"
214,"3656"
215,"3854"
216,"3679"
217,"3893"
218,"3980"
219,"4130"
220,"4333"
221,"4621"
222,"4946"
223,"5282"
224,"5417"
225,"5371"
226,"5156"
227,"4896"
228,"4602"
229,"4237"
230,"3923"
231,"3836"
232,"3763"
233,"3729"
234,"3746"
235,"3746"
236,"3755"
237,"3738"
238,"3836"
239,"3954"
240,"4025"
241,"4070"
242,"4063"
243,"4295"
244,"4323"
245,"4349"
246,"4407"
247,"4249"
248,"4291"
249,"4362"
250,"4292"
251,"4274"
252,"4343"
253,"4126"
254,"4346"
255,"4215"
256,"4270"
257,"4388"
258,"4376"
259,"4560"
260,"4437"
261,"4514"
262,"4551"
263,"4647"
264,"4686"
265,"4573"
266,"4584"
267,"4761"
268,"4652"
269,"4837"
270,"4677"
271,"4738"
272,"4816"
273,"4626"
274,"4799"
275,"4760"
276,"4596"
277,"4825"
278,"4761"
279,"4831"
280,"4841"
281,"4886"
282,"4899"
283,"4897"
284,"5004"
285,"4928"
286,"4913"
287,"4986"
288,"5083"
289,"5066"
290,"5074"
291,"5127"
292,"5179"
293,"5280"
294,"5287"
295,"5259"
296,"5391"
297,"5281"
298,"5163"
299,"5252"
300,"5261"
301,"5256"
302,"5488"
303,"5497"
304,"5466"
305,"5526"
306,"5706"
307,"5861"
308,"5726"
309,"6008"
310,"6354"
311,"6432"
312,"6884"
313,"7620"
314,"8442"
315,"9527"
316,"10591"
317,"11695"
318,"12076"
319,"12368"
320,"12120"
321,"11313"
322,"10317"
323,"9194"
324,"8247"
325,"7380"
326,"6892"
327,"6471"
328,"6425"
329,"6317"
330,"6295"
331,"6238"
332,"6333"
333,"6221"
334,"6265"
335,"6393"
336,"6351"
337,"6289"
338,"6428"
339,"6572"
340,"6490"
341,"6756"
342,"7124"
343,"7388"
344,"7805"
345,"8114"
346,"8091"
347,"8269"
348,"8349"
349,"8167"
350,"8081"
351,"7850"
352,"7724"
353,"7405"
354,"7495"
355,"7421"
356,"7308"
357,"7490"
358,"7698"
359,"8029"
360,"8397"
361,"8665"
362,"9106"
363,"9489"
364,"10021"
365,"10649"
366,"11392"
367,"12239"
368,"13597"
369,"15141"
370,"16337"
371,"17054"
372,"17412"
373,"16771"
374,"15727"
375,"14074"
376,"12218"
377,"10713"
378,"9276"
379,"8298"
380,"7507"
381,"7089"
382,"7093"
383,"7423"
384,"8036"
385,"9031"
386,"10943"
387,"13616"
388,"17312"
389,"21822"
390,"26710"
391,"31849"
392,"35770"
393,"37824"
394,"37886"
395,"35713"
396,"32111"
397,"27109"
398,"22471"
399,"18494"
400,"14961"
401,"12289"
402,"10880"
403,"9634"
404,"9267"
405,"8800"
406,"8255"
407,"8386"
408,"8465"
409,"8441"
410,"8472"
411,"8398"
412,"8175"
413,"8287"
414,"7929"
415,"7809"
416,"7282"
417,"7268"
418,"7058"
419,"6938"
420,"6732"
421,"6493"
422,"6607"
423,"6369"
424,"6452"
425,"6447"
426,"6444"
427,"6457"
428,"6344"
429,"6666"
430,"6613"
431,"6657"
432,"6691"
433,"6600"
434,"6742"
435,"6684"
436,"6875"
437,"7215"
438,"7532"
439,"8100"
440,"9001"
441,"10111"
442,"11790"
443,"14035"
444,"16607"
445,"19838"
446,"23082"
447,"26037"
448,"28614"
449,"30528"
450,"30740"
451,"30133"
452,"28036"
453,"24937"
454,"21677"
455,"18978"
456,"16713"
457,"14676"
458,"13322"
459,"12480"
460,"12011"
461,"12117"
462,"12580"
463,"13078"
464,"13425"
465,"14007"
466,"14030"
467,"13474"
468,"12664"
469,"11748"
470,"10799"
471,"9520"
472,"8508"
473,"7783"
474,"7426"
475,"7063"
476,"6720"
477,"6519"
478,"6490"
479,"6382"
480,"6257"
481,"6322"
482,"6189"
483,"6096"
484,"6101"
485,"6213"
486,"6137"
487,"6212"
488,"6145"
489,"5980"
490,"6100"
491,"6187"
492,"5950"
493,"6136"
494,"6073"
495,"6141"
496,"6019"
497,"6110"
498,"6086"
499,"6130"
500,"6130"
501,"6133"
502,"6320"
503,"6267"
504,"6258"
505,"6377"
506,"6290"
507,"6350"
508,"6296"
509,"6416"
510,"6408"
511,"6433"
512,"6199"
513,"6497"
514,"6443"
515,"6648"
516,"6940"
517,"7389"
518,"7775"
519,"8474"
520,"9215"
521,"9895"
522,"10856"
523,"11365"
524,"11672"
525,"11432"
526,"11130"
527,"10437"
528,"9889"
529,"8917"
530,"8272"
531,"7796"
532,"7146"
533,"6861"
534,"6874"
535,"6744"
536,"6804"
537,"7236"
538,"7446"
539,"7634"
540,"7780"
541,"7911"
542,"7929"
543,"7761"
544,"7592"
545,"7406"
546,"7095"
547,"6904"
548,"6524"
549,"6427"
550,"6131"
551,"6042"
552,"6017"
553,"5887"
554,"5924"
555,"6019"
556,"5839"
557,"6013"
558,"5785"
559,"6011"
560,"5975"
561,"5877"
562,"6056"
563,"5925"
564,"5877"
565,"5725"
566,"5720"
567,"5742"
568,"5640"
569,"5731"
570,"5535"
571,"5570"
572,"5598"
573,"5580"
574,"5676"
575,"5641"
576,"5538"
577,"5599"
578,"5756"
579,"5629"
580,"5434"
581,"5715"
582,"5489"
583,"5679"
584,"5535"
585,"5605"
586,"5692"
587,"5671"
588,"5613"
589,"5471"
590,"5654"
591,"5497"
592,"5647"
593,"5547"
594,"5580"
595,"5590"
596,"5721"
597,"5598"
598,"5534"
599,"5559"
600,"5672"
601,"5589"
602,"5567"
603,"5739"
604,"5686"
605,"5532"
606,"5560"
607,"5668"
608,"5677"
609,"5568"
610,"5600"
611,"5550"
612,"5486"
613,"5566"
614,"5615"
615,"5657"
616,"5717"
617,"5609"
618,"5564"
619,"5686"
620,"5791"
621,"5691"
622,"5767"
623,"5736"
624,"5892"
625,"5869"
626,"5883"
627,"5872"
628,"6020"
629,"5826"
630,"6028"
631,"5861"
632,"5942"
633,"5830"
634,"5786"
635,"5907"
636,"5843"
637,"5881"
638,"5854"
