Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM018 (titanium white)"
Duration Time,300.845
Ambient Temperature,"110.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"25605894"
Raw Accumulated Counts,"33571787"
Valid Count Last Packet,"78543"
Raw Count Last Packet,"102864"
Live Time,228.245148
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0123
Number of Channels,2048
Vacuum,691
Channel#,Intensity
0,"7621"
1,"6117"
2,"4193"
3,"2862"
4,"1417"
5,"341"
6,"53"
7,"17"
8,"21"
9,"10"
10,"13"
11,"10"
12,"2"
13,"3"
14,"4"
15,"4"
16,"1"
17,"3"
18,"4"
19,"5"
20,"3"
21,"4"
22,"1"
23,"3"
24,"0"
25,"1"
26,"1"
27,"2"
28,"1"
29,"1"
30,"10"
31,"79"
32,"524"
33,"1512"
34,"2336"
35,"2863"
36,"3157"
37,"3188"
38,"3199"
39,"3217"
40,"3120"
41,"3188"
42,"3105"
43,"3038"
44,"3308"
45,"3177"
46,"3268"
47,"3317"
48,"3179"
49,"3174"
50,"3254"
51,"3185"
52,"3085"
53,"3115"
54,"3202"
55,"3084"
56,"3115"
57,"3103"
58,"3162"
59,"3054"
60,"3117"
61,"3149"
62,"3272"
63,"3001"
64,"3054"
65,"3067"
66,"2929"
67,"2916"
68,"3084"
69,"3030"
70,"3035"
71,"3074"
72,"3326"
73,"3256"
74,"3350"
75,"3322"
76,"3357"
77,"3113"
78,"3119"
79,"3108"
80,"3159"
81,"3033"
82,"3030"
83,"3153"
84,"3122"
85,"3246"
86,"3229"
87,"3353"
88,"3243"
89,"3141"
90,"3020"
91,"3064"
92,"3072"
93,"2926"
94,"3148"
95,"3176"
96,"3088"
97,"3112"
98,"3207"
99,"3186"
100,"3126"
101,"3361"
102,"3371"
103,"3224"
104,"3294"
105,"3192"
106,"3400"
107,"3230"
108,"3380"
109,"3505"
110,"3538"
111,"3722"
112,"3844"
113,"4081"
114,"4316"
115,"4426"
116,"4610"
117,"4555"
118,"4459"
119,"4418"
120,"4351"
121,"4285"
122,"4418"
123,"4629"
124,"4647"
125,"4876"
126,"5001"
127,"5483"
128,"6470"
129,"7832"
130,"10051"
131,"13069"
132,"17467"
133,"21947"
134,"26524"
135,"30221"
136,"33301"
137,"34889"
138,"35237"
139,"33674"
140,"31266"
141,"28294"
142,"25591"
143,"22863"
144,"21159"
145,"20247"
146,"20409"
147,"20776"
148,"20277"
149,"18915"
150,"16170"
151,"13290"
152,"10787"
153,"8954"
154,"8193"
155,"7883"
156,"8292"
157,"8763"
158,"9329"
159,"9804"
160,"9522"
161,"8904"
162,"8314"
163,"7350"
164,"6983"
165,"6781"
166,"6620"
167,"6781"
168,"6672"
169,"6597"
170,"6591"
171,"6642"
172,"6503"
173,"6543"
174,"6739"
175,"6607"
176,"6844"
177,"6860"
178,"6994"
179,"7228"
180,"7700"
181,"7948"
182,"8265"
183,"8621"
184,"8922"
185,"9124"
186,"9103"
187,"9123"
188,"9115"
189,"9304"
190,"9130"
191,"9382"
192,"9526"
193,"9817"
194,"10298"
195,"10525"
196,"10701"
197,"11015"
198,"11464"
199,"11413"
200,"11665"
201,"11963"
202,"12425"
203,"12711"
204,"13268"
205,"13456"
206,"14101"
207,"14829"
208,"15458"
209,"16888"
210,"17877"
211,"19249"
212,"20555"
213,"23022"
214,"25731"
215,"30888"
216,"41993"
217,"66272"
218,"120715"
219,"229751"
220,"428024"
221,"744367"
222,"1165315"
223,"1645305"
224,"2073588"
225,"2325003"
226,"2319702"
227,"2058829"
228,"1620305"
229,"1137203"
230,"713593"
231,"402433"
232,"207401"
233,"100906"
234,"50321"
235,"29526"
236,"22445"
237,"21546"
238,"25827"
239,"35262"
240,"53503"
241,"84848"
242,"132666"
243,"196418"
244,"267333"
245,"331051"
246,"372691"
247,"377962"
248,"342220"
249,"278602"
250,"205204"
251,"135373"
252,"81954"
253,"45625"
254,"24006"
255,"12825"
256,"7536"
257,"5445"
258,"4609"
259,"4246"
260,"4024"
261,"4077"
262,"4091"
263,"3939"
264,"3978"
265,"4029"
266,"4078"
267,"4040"
268,"4064"
269,"4036"
270,"4054"
271,"4021"
272,"4011"
273,"4051"
274,"3968"
275,"4039"
276,"3803"
277,"3946"
278,"3932"
279,"3908"
280,"3897"
281,"3851"
282,"3912"
283,"3808"
284,"3899"
285,"3960"
286,"3968"
287,"3948"
288,"4081"
289,"4083"
290,"4096"
291,"4165"
292,"4231"
293,"4097"
294,"4201"
295,"4213"
296,"4188"
297,"4189"
298,"4229"
299,"4116"
300,"4133"
301,"4130"
302,"4206"
303,"4202"
304,"4251"
305,"4230"
306,"4165"
307,"4372"
308,"4424"
309,"4518"
310,"4761"
311,"4838"
312,"4984"
313,"5134"
314,"5356"
315,"5535"
316,"5805"
317,"6270"
318,"6537"
319,"6738"
320,"6825"
321,"6531"
322,"6354"
323,"5855"
324,"5243"
325,"5165"
326,"4821"
327,"4653"
328,"4639"
329,"4606"
330,"4525"
331,"4502"
332,"4370"
333,"4449"
334,"4527"
335,"4545"
336,"4541"
337,"4571"
338,"4521"
339,"4671"
340,"4646"
341,"4801"
342,"4569"
343,"4773"
344,"4826"
345,"4840"
346,"4840"
347,"4990"
348,"4796"
349,"4825"
350,"4815"
351,"4818"
352,"4903"
353,"4894"
354,"5018"
355,"5163"
356,"5432"
357,"5725"
358,"5917"
359,"6422"
360,"7049"
361,"7518"
362,"8133"
363,"8647"
364,"9137"
365,"9440"
366,"9555"
367,"10059"
368,"10392"
369,"10454"
370,"11092"
371,"11564"
372,"11609"
373,"12295"
374,"11819"
375,"11192"
376,"9980"
377,"8721"
378,"7230"
379,"6287"
380,"5490"
381,"4873"
382,"4589"
383,"4537"
384,"4446"
385,"4345"
386,"4307"
387,"4312"
388,"4328"
389,"4399"
390,"4349"
391,"4395"
392,"4503"
393,"4450"
394,"4523"
395,"4741"
396,"4737"
397,"4962"
398,"5018"
399,"5294"
400,"5231"
401,"5309"
402,"5501"
403,"5534"
404,"5448"
405,"5353"
406,"5413"
407,"5408"
408,"5391"
409,"5481"
410,"5470"
411,"5776"
412,"5611"
413,"5714"
414,"5683"
415,"5510"
416,"5248"
417,"5075"
418,"4766"
419,"4611"
420,"4428"
421,"4233"
422,"4317"
423,"4279"
424,"4328"
425,"4212"
426,"4286"
427,"4151"
428,"4269"
429,"4333"
430,"4328"
431,"4282"
432,"4213"
433,"4288"
434,"4382"
435,"4114"
436,"4251"
437,"4330"
438,"4301"
439,"4277"
440,"4441"
441,"4566"
442,"4733"
443,"5274"
444,"5958"
445,"7197"
446,"8818"
447,"10786"
448,"13408"
449,"15678"
450,"18019"
451,"19243"
452,"19082"
453,"18572"
454,"16644"
455,"14378"
456,"11855"
457,"9361"
458,"7535"
459,"6231"
460,"5268"
461,"4626"
462,"4387"
463,"4455"
464,"4531"
465,"4612"
466,"5020"
467,"5548"
468,"6030"
469,"6869"
470,"7499"
471,"8115"
472,"8611"
473,"8720"
474,"8531"
475,"7849"
476,"7250"
477,"6376"
478,"5658"
479,"5061"
480,"4518"
481,"4272"
482,"4036"
483,"3985"
484,"3823"
485,"3858"
486,"3880"
487,"3786"
488,"3825"
489,"3898"
490,"4014"
491,"4033"
492,"3993"
493,"4079"
494,"4129"
495,"4087"
496,"4107"
497,"4058"
498,"3935"
499,"4001"
500,"3964"
501,"3857"
502,"3874"
503,"3822"
504,"3787"
505,"3779"
506,"3748"
507,"3820"
508,"3782"
509,"3868"
510,"3870"
511,"3828"
512,"3859"
513,"3847"
514,"3810"
515,"3726"
516,"3823"
517,"3899"
518,"3897"
519,"3806"
520,"3871"
521,"3800"
522,"3892"
523,"3900"
524,"3912"
525,"3904"
526,"4021"
527,"3969"
528,"3916"
529,"3926"
530,"3736"
531,"3771"
532,"3951"
533,"3809"
534,"3792"
535,"3854"
536,"3718"
537,"3913"
538,"3758"
539,"3823"
540,"3834"
541,"3790"
542,"3950"
543,"3783"
544,"3772"
545,"3854"
546,"3852"
547,"3682"
548,"3851"
549,"3720"
550,"3700"
551,"3716"
552,"3762"
553,"3651"
554,"3668"
555,"3630"
556,"3683"
557,"3740"
558,"3728"
559,"3734"
560,"3646"
561,"3661"
562,"3654"
563,"3608"
564,"3677"
565,"3549"
566,"3652"
567,"3592"
568,"3648"
569,"3615"
570,"3550"
571,"3567"
572,"3654"
573,"3713"
574,"3661"
575,"3671"
576,"3527"
577,"3464"
578,"3527"
579,"3581"
580,"3593"
581,"3642"
582,"3597"
583,"3533"
584,"3607"
585,"3556"
586,"3531"
587,"3477"
588,"3472"
589,"3631"
590,"3670"
591,"3566"
592,"3563"
593,"3616"
594,"3605"
595,"3605"
596,"3558"
597,"3603"
598,"3630"
599,"3593"
600,"3620"
601,"3634"
602,"3698"
603,"3514"
604,"3542"
605,"3532"
606,"3446"
607,"3465"
608,"3420"
609,"3583"
610,"3466"
611,"3496"
612,"3523"
613,"3411"
614,"3474"
615,"3573"
616,"3364"
617,"3476"
618,"3416"
619,"3457"
620,"3448"
621,"3411"
622,"3367"
623,"3369"
624,"3413"
625,"3536"
626,"3302"
627,"3358"
628,"3352"
629,"3512"
630,"3318"
631,"3323"
632,"3344"
633,"3280"
634,"3320"
635,"3289"
636,"3346"
637,"3218"
638,"3337"
639,"3323"
640,"3310"
641,"3215"
642,"3212"
643,"3147"
644,"3215"
645,"3194"
646,"3263"
647,"3220"
648,"3097"
649,"3137"
650,"3226"
651,"3150"
652,"3169"
653,"3168"
654,"3113"
655,"3109"
656,"3178"
657,"3005"
658,"3092"
659,"3139"
660,"3127"
661,"3058"
662,"2968"
663,"3052"
664,"2994"
665,"3086"
666,"3058"
667,"3012"
668,"3036"
669,"2953"
670,"3002"
671,"3021"
672,"3024"
673,"2857"
674,"3046"
675,"3060"
676,"3081"
677,"2950"
678,"3042"
679,"2903"
680,"2975"
681,"2942"
682,"3050"
683,"2982"
684,"2959"
685,"2942"
686,"2926"
687,"3067"
688,"2894"
689,"2909"
690,"2842"
691,"2899"
692,"2945"
693,"2810"
694,"3021"
695,"3039"
696,"2921"
697,"2909"
698,"2856"
699,"2865"
700,"2774"
701,"2866"
702,"2710"
703,"2843"
704,"2901"
705,"2929"
706,"2905"
707,"2795"
708,"2826"
709,"2879"
