Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM492"
Duration Time,300.21
Ambient Temperature,"108.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"34640005"
Raw Accumulated Counts,"54265685"
Valid Count Last Packet,"101948"
Raw Count Last Packet,"161868"
Live Time,189.975113
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0147
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"6263"
1,"4840"
2,"3481"
3,"2301"
4,"1028"
5,"225"
6,"56"
7,"19"
8,"17"
9,"11"
10,"8"
11,"4"
12,"4"
13,"6"
14,"4"
15,"2"
16,"3"
17,"5"
18,"0"
19,"1"
20,"3"
21,"2"
22,"3"
23,"4"
24,"1"
25,"2"
26,"0"
27,"3"
28,"3"
29,"6"
30,"27"
31,"171"
32,"764"
33,"1821"
34,"2650"
35,"3096"
36,"3331"
37,"3346"
38,"3274"
39,"3229"
40,"3157"
41,"3205"
42,"3246"
43,"3098"
44,"3095"
45,"3217"
46,"3220"
47,"3167"
48,"3160"
49,"3069"
50,"2990"
51,"2999"
52,"2914"
53,"2853"
54,"2970"
55,"2986"
56,"2865"
57,"2849"
58,"2879"
59,"2922"
60,"2913"
61,"2799"
62,"2782"
63,"2744"
64,"2691"
65,"2669"
66,"2676"
67,"2657"
68,"2616"
69,"2594"
70,"2661"
71,"2682"
72,"2861"
73,"2936"
74,"2888"
75,"2857"
76,"2799"
77,"2788"
78,"2845"
79,"2783"
80,"2664"
81,"2741"
82,"2744"
83,"2802"
84,"3040"
85,"3199"
86,"3419"
87,"3477"
88,"3252"
89,"3118"
90,"2983"
91,"2757"
92,"2739"
93,"2696"
94,"2770"
95,"2815"
96,"2971"
97,"2952"
98,"2918"
99,"3003"
100,"2924"
101,"2949"
102,"2870"
103,"2853"
104,"2859"
105,"2801"
106,"2819"
107,"2882"
108,"2938"
109,"2928"
110,"2961"
111,"3078"
112,"3364"
113,"3534"
114,"3629"
115,"3720"
116,"4003"
117,"3794"
118,"3666"
119,"3545"
120,"3443"
121,"3582"
122,"3605"
123,"3663"
124,"3851"
125,"3888"
126,"4278"
127,"4684"
128,"5405"
129,"6689"
130,"8800"
131,"10886"
132,"13577"
133,"16044"
134,"17579"
135,"17561"
136,"16734"
137,"15079"
138,"13831"
139,"14008"
140,"14813"
141,"15342"
142,"15843"
143,"15900"
144,"15577"
145,"15506"
146,"15812"
147,"16087"
148,"15824"
149,"14293"
150,"12230"
151,"9848"
152,"7972"
153,"6380"
154,"5599"
155,"5210"
156,"5070"
157,"5318"
158,"5405"
159,"5738"
160,"6046"
