Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PN2709"
Duration Time,300.305
Ambient Temperature,"111.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"13164779"
Raw Accumulated Counts,"14834632"
Valid Count Last Packet,"40880"
Raw Count Last Packet,"45681"
Live Time,266.269135
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0163
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"9268"
1,"7137"
2,"4561"
3,"2862"
4,"1320"
5,"298"
6,"54"
7,"10"
8,"3"
9,"3"
10,"4"
11,"5"
12,"3"
13,"2"
14,"0"
15,"0"
16,"2"
17,"2"
18,"0"
19,"0"
20,"0"
21,"1"
22,"0"
23,"1"
24,"1"
25,"3"
26,"2"
27,"0"
28,"2"
29,"0"
30,"4"
31,"28"
32,"255"
33,"925"
34,"1485"
35,"1814"
36,"2070"
37,"2044"
38,"2044"
39,"2026"
40,"2042"
41,"1998"
42,"2142"
43,"2010"
44,"1988"
45,"2099"
46,"2188"
47,"2137"
48,"2194"
49,"2148"
50,"1980"
51,"1976"
52,"1936"
53,"1987"
54,"2063"
55,"2036"
56,"1912"
57,"1941"
58,"2010"
59,"1945"
60,"1974"
61,"2017"
62,"1922"
63,"1750"
64,"1778"
65,"1730"
66,"1710"
67,"1727"
68,"1696"
69,"1660"
70,"1759"
71,"1785"
72,"1928"
73,"1989"
74,"2021"
75,"1972"
76,"1964"
77,"1955"
78,"1977"
79,"1923"
80,"1911"
81,"1927"
82,"2029"
83,"2415"
84,"3143"
85,"3965"
86,"4560"
87,"4716"
88,"4270"
89,"3670"
90,"2908"
91,"2540"
92,"2068"
93,"2017"
94,"1934"
95,"2109"
96,"2145"
97,"2167"
98,"2155"
99,"2082"
100,"2132"
101,"2002"
102,"1926"
103,"1834"
104,"1761"
105,"1804"
106,"1742"
107,"1839"
108,"1836"
109,"1932"
110,"1977"
111,"2157"
112,"2301"
113,"2586"
114,"2823"
115,"3030"
116,"3100"
117,"2898"
118,"2778"
119,"2662"
120,"2565"
121,"2479"
122,"2529"
123,"2461"
124,"2599"
125,"2753"
126,"3037"
127,"3438"
128,"4100"
129,"5523"
130,"7697"
131,"10820"
132,"14725"
133,"18271"
134,"20522"
135,"21034"
136,"19934"
137,"17674"
138,"15552"
139,"15105"
140,"15672"
141,"16602"
142,"17439"
143,"17294"
144,"17333"
145,"17539"
146,"18232"
147,"19123"
148,"18620"
149,"16674"
150,"13897"
151,"10741"
152,"7952"
153,"5851"
154,"4806"
155,"4303"
156,"4434"
157,"4714"
158,"5115"
159,"5687"
160,"7152"
161,"9515"
162,"13094"
163,"18376"
164,"22986"
165,"26406"
166,"26785"
167,"23881"
168,"19012"
169,"13671"
170,"9258"
171,"5994"
172,"4546"
173,"3928"
174,"3897"
175,"4441"
176,"5332"
177,"7067"
178,"9372"
179,"13233"
180,"18578"
181,"26458"
182,"35310"
183,"43436"
184,"48273"
185,"47225"
186,"41323"
187,"32237"
188,"22443"
189,"14408"
190,"8938"
191,"5841"
192,"4374"
193,"3979"
194,"4097"
195,"4599"
196,"5491"
197,"6837"
198,"8218"
199,"9688"
200,"10676"
201,"10710"
202,"10252"
203,"8754"
204,"7029"
205,"5814"
206,"4896"
207,"4299"
208,"3886"
209,"3929"
210,"3877"
211,"3853"
212,"3834"
213,"3946"
214,"3994"
215,"4137"
216,"4346"
217,"4572"
218,"5337"
219,"6550"
220,"8583"
221,"11692"
222,"15475"
223,"19325"
224,"22556"
225,"24074"
226,"23555"
227,"21199"
228,"17607"
229,"14232"
230,"11200"
231,"9353"
232,"8245"
233,"7542"
234,"7075"
235,"6460"
236,"6219"
237,"6143"
238,"6088"
239,"6250"
240,"6644"
241,"7113"
242,"7962"
243,"8363"
244,"8990"
245,"9405"
246,"9888"
247,"9641"
248,"9105"
249,"8470"
250,"7898"
251,"7075"
252,"6593"
253,"6140"
254,"6047"
255,"6079"
256,"6025"
257,"6265"
258,"6394"
259,"6462"
260,"6593"
261,"6537"
262,"6640"
263,"6747"
264,"6938"
265,"7039"
266,"7470"
267,"7833"
268,"8176"
269,"8468"
270,"8538"
271,"8577"
272,"8371"
273,"8593"
274,"8351"
275,"7725"
276,"7729"
277,"7595"
278,"7496"
279,"7501"
280,"7393"
281,"7334"
282,"7405"
283,"7518"
284,"7690"
285,"7799"
286,"7962"
287,"8188"
288,"8748"
289,"9604"
290,"10609"
291,"12113"
292,"13604"
293,"15423"
294,"16217"
295,"16015"
296,"15629"
297,"14554"
298,"13383"
299,"12061"
300,"11071"
301,"10453"
302,"9928"
303,"9843"
304,"10086"
305,"10394"
306,"10742"
307,"11501"
308,"12496"
309,"14813"
310,"19193"
311,"28090"
312,"45812"
313,"78626"
314,"132799"
315,"213173"
316,"316334"
317,"433367"
318,"540133"
319,"613344"
320,"636196"
321,"598152"
322,"510598"
323,"397717"
324,"282361"
325,"184042"
326,"110951"
327,"63869"
328,"35426"
329,"20633"
330,"13618"
331,"10605"
332,"9164"
333,"8773"
334,"8699"
335,"8736"
336,"8815"
337,"8906"
338,"9066"
339,"9119"
340,"9803"
341,"10280"
342,"10989"
343,"12805"
344,"15353"
345,"19289"
346,"25955"
347,"35103"
348,"48845"
349,"65471"
350,"81820"
351,"97097"
352,"105934"
353,"106552"
354,"99454"
355,"86525"
356,"68770"
357,"51707"
358,"37710"
359,"27105"
360,"20082"
361,"16056"
362,"14478"
363,"13688"
364,"13752"
365,"13975"
366,"14135"
367,"15122"
368,"16067"
369,"17196"
370,"18633"
371,"20411"
372,"21490"
373,"21766"
374,"21421"
375,"19735"
376,"17509"
377,"14855"
378,"12185"
379,"10294"
380,"8691"
381,"7521"
382,"7091"
383,"6626"
384,"6404"
385,"6428"
386,"6387"
387,"6281"
388,"6465"
389,"6396"
390,"6536"
391,"6616"
392,"6642"
393,"6612"
394,"6995"
395,"6917"
396,"7153"
397,"7397"
398,"7586"
399,"8046"
400,"8492"
401,"8696"
402,"8855"
403,"8720"
404,"8553"
405,"8352"
406,"8396"
407,"8177"
408,"7987"
409,"8386"
410,"8250"
411,"8564"
412,"8526"
413,"8344"
414,"8608"
415,"8376"
416,"7852"
417,"7433"
418,"7186"
419,"6832"
420,"6655"
421,"6536"
422,"6559"
423,"6754"
424,"6706"
425,"7065"
426,"7332"
427,"7668"
428,"8099"
429,"8568"
430,"9293"
431,"9447"
432,"9113"
433,"8996"
434,"8672"
435,"8143"
436,"7648"
437,"7511"
438,"6946"
439,"6927"
440,"6701"
441,"6626"
442,"6681"
443,"6780"
444,"6764"
445,"6810"
446,"6675"
447,"6758"
448,"6661"
449,"6701"
450,"6790"
451,"6619"
452,"6826"
453,"6669"
454,"6792"
455,"6807"
456,"6818"
457,"6946"
458,"7139"
459,"7098"
460,"7017"
461,"7220"
462,"7222"
463,"7196"
464,"7241"
465,"7017"
466,"7200"
467,"7099"
468,"6921"
469,"6999"
470,"6843"
471,"7024"
472,"6845"
473,"6974"
474,"7057"
475,"7245"
476,"7124"
477,"7134"
478,"7249"
479,"7161"
480,"7328"
481,"7053"
482,"7062"
483,"7022"
484,"6976"
485,"6983"
486,"6837"
487,"6845"
488,"6653"
489,"6939"
490,"6853"
491,"6924"
492,"7007"
493,"6847"
494,"6757"
495,"6732"
496,"6890"
497,"6906"
498,"6835"
499,"6917"
500,"6779"
501,"6711"
502,"6862"
503,"6857"
504,"6796"
505,"6852"
506,"6679"
507,"6721"
508,"6916"
509,"6752"
510,"6770"
511,"6790"
512,"6764"
513,"6901"
514,"6790"
515,"6748"
516,"6726"
517,"6646"
518,"6692"
519,"6697"
520,"6916"
521,"6932"
522,"6988"
523,"6908"
524,"7224"
525,"7248"
526,"7279"
527,"7256"
528,"7243"
529,"7148"
530,"7058"
531,"6981"
532,"6685"
533,"6771"
534,"6656"
535,"6540"
536,"6581"
537,"6543"
538,"6584"
539,"6549"
540,"6525"
541,"6523"
542,"6598"
543,"6329"
544,"6404"
545,"6490"
546,"6582"
547,"6476"
548,"6486"
549,"6490"
550,"6373"
551,"6272"
552,"6276"
553,"6328"
554,"6424"
555,"6352"
556,"6411"
557,"6234"
558,"6337"
559,"6399"
560,"6353"
561,"6440"
562,"6353"
563,"6208"
564,"6355"
565,"6346"
566,"6177"
567,"6230"
568,"6199"
569,"6174"
570,"6222"
571,"6181"
572,"6206"
573,"6181"
574,"6182"
575,"6197"
576,"6103"
577,"6032"
578,"6112"
579,"6260"
580,"6212"
581,"6175"
582,"6146"
583,"6108"
584,"6050"
585,"5997"
586,"6177"
587,"6106"
588,"6113"
589,"6142"
590,"6141"
591,"6281"
592,"6280"
593,"6286"
594,"6163"
595,"6277"
596,"6216"
597,"6220"
598,"6236"
599,"6044"
600,"6109"
601,"6106"
602,"5988"
603,"5934"
604,"5985"
605,"5963"
606,"5899"
607,"5854"
608,"5846"
609,"5709"
610,"5783"
611,"5713"
612,"5840"
613,"5935"
614,"6032"
615,"5825"
616,"5896"
617,"5749"
618,"5829"
619,"5803"
620,"5802"
621,"5763"
622,"5735"
623,"5717"
624,"5748"
625,"5747"
626,"5938"
627,"5847"
628,"5831"
629,"5924"
630,"5693"
631,"5886"
632,"5862"
633,"5914"
634,"6090"
635,"6180"
636,"6051"
637,"6311"
638,"6320"
639,"6363"
640,"6436"
641,"6472"
642,"6522"
643,"6203"
644,"6249"
645,"6054"
646,"5972"
647,"5701"
