Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSC18823"
Duration Time,300.777
Ambient Temperature,"111.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"7185788"
Raw Accumulated Counts,"7646047"
Valid Count Last Packet,"22243"
Raw Count Last Packet,"23753"
Live Time,283.194946
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0843
Number of Channels,2048
Vacuum,1020
Channel#,Intensity
0,"9649"
1,"7594"
2,"4853"
3,"2630"
4,"1216"
5,"281"
6,"36"
7,"12"
8,"4"
9,"8"
10,"3"
11,"0"
12,"2"
13,"0"
14,"0"
15,"0"
16,"3"
17,"1"
18,"1"
19,"2"
20,"2"
21,"1"
22,"0"
23,"0"
24,"0"
25,"1"
26,"1"
27,"1"
28,"0"
29,"1"
30,"2"
31,"14"
32,"157"
33,"602"
34,"905"
35,"1193"
36,"1287"
37,"1368"
38,"1354"
39,"1367"
40,"1314"
41,"1323"
42,"1298"
43,"1256"
44,"1367"
45,"1452"
46,"1438"
47,"1485"
48,"1452"
49,"1360"
50,"1402"
51,"1336"
52,"1325"
53,"1370"
54,"1490"
55,"1434"
56,"1397"
57,"1446"
58,"1469"
59,"1487"
60,"1478"
61,"1465"
62,"1431"
63,"1419"
64,"1329"
65,"1222"
66,"1277"
67,"1303"
68,"1286"
69,"1225"
70,"1276"
71,"1328"
72,"1412"
73,"1370"
74,"1428"
75,"1337"
76,"1335"
77,"1317"
78,"1274"
79,"1334"
80,"1266"
81,"1302"
82,"1310"
83,"1420"
84,"1474"
85,"1555"
86,"1696"
87,"1721"
88,"1664"
89,"1575"
90,"1559"
91,"1381"
92,"1375"
93,"1429"
94,"1404"
95,"1437"
96,"1542"
97,"1557"
98,"1658"
99,"1785"
100,"1830"
101,"1883"
102,"1919"
103,"1881"
104,"2003"
105,"2048"
106,"2157"
107,"2463"
108,"3029"
109,"4393"
110,"7215"
111,"12707"
112,"21294"
113,"31801"
114,"41508"
115,"46559"
116,"44587"
117,"36009"
118,"25566"
119,"16448"
120,"10401"
121,"7530"
122,"6496"
123,"6160"
124,"5545"
125,"4946"
126,"4438"
127,"4051"
128,"4529"
129,"5797"
130,"8204"
131,"11668"
132,"15630"
133,"19664"
134,"22035"
135,"22365"
136,"20769"
137,"18223"
138,"15976"
139,"15670"
140,"16321"
141,"17426"
142,"18106"
143,"17839"
144,"18065"
145,"18603"
146,"19177"
147,"19819"
148,"19189"
149,"16716"
150,"13762"
151,"10330"
152,"7178"
153,"5215"
154,"3891"
155,"3476"
156,"3414"
157,"3591"
158,"3885"
159,"3833"
160,"3490"
161,"3198"
162,"2790"
163,"2559"
164,"2555"
165,"2488"
166,"2608"
167,"2613"
168,"2482"
169,"2483"
170,"2337"
171,"2225"
172,"2034"
173,"2099"
174,"2003"
175,"2066"
176,"2201"
177,"2099"
178,"2219"
179,"2400"
180,"2650"
181,"2833"
182,"3290"
183,"3465"
184,"3806"
185,"3853"
186,"3613"
187,"3254"
188,"3123"
189,"2974"
190,"2713"
191,"2750"
192,"2818"
193,"2798"
194,"2818"
195,"2801"
196,"2888"
197,"3003"
198,"3091"
199,"3108"
200,"3272"
201,"3305"
202,"3228"
203,"3348"
204,"3347"
205,"3376"
206,"3358"
207,"3430"
208,"3414"
209,"3310"
210,"3368"
211,"3516"
212,"3476"
213,"3487"
214,"3608"
215,"3665"
216,"3725"
217,"3823"
218,"3894"
219,"3900"
220,"4137"
221,"4320"
222,"4518"
223,"4603"
224,"4716"
225,"4837"
226,"4790"
227,"4646"
228,"4687"
