Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSE320"
Duration Time,300.68
Ambient Temperature,"110.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15261823"
Raw Accumulated Counts,"17568080"
Valid Count Last Packet,"46716"
Raw Count Last Packet,"53990"
Live Time,260.799866
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0288
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"8869"
1,"7026"
2,"4531"
3,"3055"
4,"1503"
5,"341"
6,"55"
7,"10"
8,"15"
9,"5"
10,"5"
11,"2"
12,"0"
13,"2"
14,"1"
15,"0"
16,"2"
17,"1"
18,"2"
19,"0"
20,"4"
21,"0"
22,"0"
23,"0"
24,"3"
25,"2"
26,"1"
27,"2"
28,"3"
29,"2"
30,"2"
31,"45"
32,"354"
33,"1203"
34,"1951"
35,"2384"
36,"2602"
37,"2753"
38,"2662"
39,"2674"
40,"2528"
41,"2596"
42,"2644"
43,"2602"
44,"2646"
45,"2605"
46,"2676"
47,"2604"
48,"2737"
49,"2595"
50,"2594"
51,"2479"
52,"2614"
53,"2538"
54,"2485"
55,"2536"
56,"2453"
57,"2484"
58,"2430"
59,"2557"
60,"2596"
61,"2490"
62,"2484"
63,"2478"
64,"2474"
65,"2323"
66,"2293"
67,"2345"
68,"2286"
69,"2343"
70,"2320"
71,"2443"
72,"2425"
73,"2512"
74,"2523"
75,"2485"
76,"2463"
77,"2385"
78,"2380"
79,"2276"
80,"2323"
81,"2271"
82,"2322"
83,"2381"
84,"2448"
85,"2532"
86,"2615"
87,"2642"
88,"2641"
89,"2579"
90,"2475"
91,"2454"
92,"2328"
93,"2363"
94,"2395"
95,"2345"
96,"2476"
97,"2424"
98,"2367"
99,"2569"
100,"2505"
101,"2643"
102,"2567"
103,"2643"
104,"2660"
105,"2726"
106,"2738"
107,"2841"
108,"3144"
109,"3646"
110,"4655"
111,"6332"
112,"9380"
113,"12629"
114,"15882"
115,"17641"
116,"16921"
117,"14488"
118,"11105"
119,"7906"
120,"6032"
121,"5005"
122,"4609"
123,"4538"
124,"4451"
125,"4447"
126,"4455"
127,"4636"
128,"5419"
129,"6690"
130,"9173"
131,"12474"
132,"16900"
133,"21226"
134,"24411"
135,"25513"
136,"24642"
137,"21753"
138,"19044"
139,"17369"
140,"17290"
141,"17990"
142,"17908"
143,"17994"
144,"18076"
145,"18287"
146,"19069"
147,"19770"
148,"19464"
149,"17867"
150,"15301"
151,"12590"
152,"10319"
153,"8962"
154,"8091"
155,"7640"
156,"7405"
157,"7043"
158,"6814"
159,"6613"
160,"6146"
161,"5584"
162,"5300"
163,"4931"
164,"4963"
165,"4921"
166,"5091"
167,"5332"
168,"5431"
169,"5169"
170,"5210"
171,"5116"
172,"4899"
173,"4837"
174,"4648"
175,"4621"
176,"4544"
177,"4442"
178,"4675"
179,"4773"
180,"4934"
181,"5324"
182,"5841"
183,"6410"
184,"6472"
185,"6550"
186,"6371"
187,"6240"
188,"5949"
189,"5942"
190,"6122"
191,"6462"
192,"7401"
193,"8982"
194,"11210"
195,"14086"
196,"16968"
197,"19013"
198,"19651"
199,"18588"
200,"16686"
201,"14194"
202,"11791"
203,"10087"
204,"8831"
205,"8364"
206,"8216"
207,"8213"
208,"8240"
209,"9066"
210,"9351"
211,"10568"
212,"12133"
213,"14550"
214,"18892"
215,"26491"
216,"40844"
217,"67388"
218,"113612"
219,"183622"
220,"275429"
221,"374115"
222,"454760"
223,"494581"
224,"479175"
225,"412243"
226,"316204"
227,"218342"
228,"137004"
229,"79357"
230,"44322"
231,"26760"
232,"19387"
233,"19702"
234,"27295"
235,"43417"
236,"73539"
237,"119901"
238,"183540"
239,"254603"
240,"320097"
241,"362947"
242,"376582"
243,"354922"
244,"308920"
245,"254616"
246,"199404"
247,"151150"
248,"113942"
249,"83852"
250,"62148"
251,"49315"
252,"45097"
253,"49876"
254,"63179"
255,"81859"
256,"101262"
257,"115616"
258,"120235"
259,"112309"
260,"96478"
261,"74918"
262,"53472"
263,"36086"
264,"23249"
265,"15764"
266,"11378"
267,"9510"
268,"9249"
269,"9797"
270,"11578"
271,"14790"
272,"19905"
273,"26499"
274,"33945"
275,"40768"
276,"45022"
277,"44681"
278,"41401"
279,"34986"
280,"27586"
281,"20879"
282,"15610"
283,"12520"
284,"11890"
285,"12909"
286,"14944"
287,"18222"
288,"20948"
289,"23131"
290,"23673"
291,"22568"
292,"20120"
293,"17246"
294,"14639"
295,"12426"
296,"10880"
297,"10044"
298,"9358"
299,"9070"
300,"8536"
301,"7894"
302,"7260"
303,"6611"
304,"6300"
305,"5913"
306,"5766"
307,"5763"
308,"5692"
309,"6041"
310,"5975"
311,"6123"
312,"6315"
313,"6568"
314,"6878"
315,"7207"
316,"7822"
317,"8057"
318,"8538"
319,"8902"
320,"8766"
321,"8549"
322,"7911"
323,"7613"
324,"6928"
325,"6344"
326,"6270"
327,"6008"
328,"5766"
329,"5756"
330,"5599"
331,"5802"
332,"5714"
333,"5769"
334,"5732"
335,"5854"
336,"5737"
337,"5859"
338,"5867"
339,"5998"
340,"6142"
341,"6039"
342,"6198"
343,"6304"
344,"6307"
345,"6324"
346,"6470"
347,"6465"
348,"6473"
349,"6343"
350,"6451"
351,"6334"
352,"6463"
353,"6508"
354,"6651"
355,"6909"
356,"6873"
357,"7124"
358,"7482"
359,"7951"
360,"8381"
361,"9104"
362,"9751"
363,"10078"
364,"10833"
365,"11063"
366,"11804"
367,"12362"
368,"13393"
369,"14315"
370,"15778"
371,"17338"
372,"18519"
373,"18993"
374,"18540"
375,"17176"
376,"15238"
377,"13082"
378,"11020"
379,"9200"
380,"7976"
381,"6874"
382,"6432"
383,"6059"
384,"6050"
385,"5860"
386,"5913"
387,"5919"
388,"5790"
389,"6086"
390,"6212"
391,"6329"
392,"6647"
393,"7232"
394,"8409"
395,"10280"
396,"12820"
397,"16545"
398,"21362"
399,"26068"
400,"30555"
401,"33691"
402,"34995"
403,"33526"
404,"30523"
405,"26051"
406,"21317"
407,"16811"
408,"13564"
409,"11087"
410,"9523"
411,"8930"
412,"8414"
413,"8076"
414,"8019"
415,"7626"
416,"7180"
417,"6890"
418,"6371"
419,"6118"
420,"5819"
421,"5733"
422,"5675"
423,"5580"
424,"5721"
425,"5720"
426,"5823"
427,"5645"
428,"5744"
429,"5789"
430,"5739"
431,"5826"
432,"5922"
433,"5828"
434,"5931"
435,"5881"
436,"6070"
437,"6108"
438,"6294"
439,"6870"
440,"7314"
441,"7879"
442,"8634"
443,"9402"
444,"10129"
445,"10491"
446,"10214"
447,"9899"
448,"9105"
449,"8512"
