Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"WNW0101347"
Duration Time,300.571
Ambient Temperature,"93.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"24027546"
Raw Accumulated Counts,"30970207"
Valid Count Last Packet,"73350"
Raw Count Last Packet,"94222"
Live Time,232.034912
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0392
Number of Channels,2048
Vacuum,686
Channel#,Intensity
0,"7651"
1,"6118"
2,"4386"
3,"3348"
4,"1549"
5,"348"
6,"55"
7,"25"
8,"11"
9,"7"
10,"9"
11,"5"
12,"5"
13,"2"
14,"1"
15,"7"
16,"4"
17,"3"
18,"5"
19,"6"
20,"1"
21,"5"
22,"3"
23,"1"
24,"2"
25,"2"
26,"4"
27,"2"
28,"2"
29,"2"
30,"14"
31,"142"
32,"880"
33,"2387"
34,"3449"
35,"4123"
36,"4502"
37,"4606"
38,"4509"
39,"4473"
40,"4382"
41,"4405"
42,"4348"
43,"4307"
44,"4353"
45,"4381"
46,"4339"
47,"4405"
48,"4342"
49,"4270"
50,"4255"
51,"4175"
52,"4122"
53,"4250"
54,"4244"
55,"4126"
56,"4257"
57,"3985"
58,"4105"
59,"4153"
60,"4146"
61,"4110"
62,"4189"
63,"3922"
64,"4051"
65,"3883"
66,"3966"
67,"3960"
68,"3960"
69,"3970"
70,"3856"
71,"3960"
72,"4046"
73,"4271"
74,"4214"
75,"4198"
76,"4175"
77,"4062"
78,"3957"
79,"3917"
80,"3863"
81,"4142"
82,"4090"
83,"4350"
84,"4859"
85,"5189"
86,"5638"
87,"5665"
88,"5496"
89,"5298"
90,"5256"
91,"5334"
92,"5363"
93,"5293"
94,"5050"
95,"4985"
96,"4823"
97,"4695"
98,"4692"
99,"4706"
100,"4820"
101,"4820"
102,"4886"
103,"5155"
104,"5225"
105,"5408"
106,"5371"
107,"5150"
108,"5158"
109,"5008"
110,"5126"
111,"5348"
112,"5476"
113,"5793"
114,"6060"
115,"6328"
116,"6290"
117,"6175"
118,"5857"
119,"5569"
120,"5609"
121,"5396"
122,"5337"
123,"5261"
124,"5505"
125,"5664"
126,"5943"
127,"6253"
128,"7187"
129,"8514"
130,"10585"
131,"13815"
132,"17614"
133,"21632"
134,"25311"
135,"27881"
136,"28840"
137,"29181"
138,"27784"
139,"27054"
140,"25555"
141,"24244"
142,"22464"
143,"20791"
144,"20160"
145,"20035"
146,"20477"
147,"20928"
148,"19751"
149,"18405"
150,"15714"
151,"12963"
152,"10626"
153,"9321"
154,"8668"
155,"9157"
156,"9971"
157,"11100"
158,"12329"
159,"12764"
160,"13010"
161,"12854"
162,"12965"
163,"13102"
164,"13852"
165,"14522"
166,"14309"
167,"13553"
168,"12565"
169,"11320"
170,"10926"
171,"11127"
172,"12288"
173,"15053"
174,"21717"
175,"33995"
176,"53212"
177,"77906"
178,"103853"
179,"123208"
180,"130970"
181,"123934"
182,"104112"
183,"79981"
184,"57071"
185,"41350"
186,"33385"
187,"33755"
188,"41308"
189,"54562"
190,"70379"
191,"84171"
192,"92141"
193,"91937"
194,"83839"
195,"71913"
196,"59190"
197,"47285"
198,"38254"
199,"30936"
200,"27690"
201,"27186"
202,"28836"
203,"31430"
204,"33388"
205,"34239"
206,"32821"
207,"29560"
208,"25731"
209,"21821"
210,"19593"
211,"19061"
212,"20090"
213,"21823"
214,"26496"
215,"32375"
216,"43180"
217,"64928"
218,"109355"
219,"195285"
220,"342913"
221,"565738"
222,"851621"
223,"1149232"
224,"1387007"
225,"1490916"
226,"1423656"
227,"1209439"
228,"918950"
229,"621449"
230,"377916"
231,"208263"
232,"106924"
233,"53900"
234,"28945"
235,"18449"
236,"15424"
237,"15499"
238,"18742"
239,"26405"
240,"39219"
241,"61204"
242,"93518"
243,"132742"
244,"173510"
245,"207898"
246,"224702"
247,"216784"
248,"189102"
249,"148304"
250,"105105"
251,"68334"
252,"40410"
253,"22476"
254,"12740"
255,"7790"
256,"5335"
257,"4490"
258,"4089"
259,"3886"
260,"3734"
261,"3871"
262,"3800"
263,"3787"
264,"3961"
265,"3884"
266,"3971"
267,"4170"
268,"4132"
269,"4321"
270,"4321"
271,"4478"
272,"4193"
273,"4083"
274,"4048"
275,"3750"
276,"3838"
277,"3766"
278,"3742"
279,"3768"
280,"3714"
281,"3908"
282,"3873"
283,"3972"
284,"4001"
285,"4133"
286,"4181"
287,"4144"
288,"4036"
289,"4108"
290,"4082"
291,"3937"
292,"3956"
293,"4163"
294,"4127"
295,"3998"
296,"4058"
297,"4156"
298,"4039"
299,"4158"
300,"4170"
301,"4020"
302,"3989"
303,"4075"
304,"3991"
305,"4189"
306,"4241"
307,"4380"
308,"4265"
309,"4524"
310,"4615"
311,"4709"
312,"4933"
313,"5116"
314,"5592"
315,"6044"
316,"6663"
317,"7036"
318,"7595"
319,"7953"
320,"7978"
321,"7927"
322,"7173"
323,"6546"
324,"5964"
325,"5600"
326,"5131"
327,"5065"
328,"4853"
329,"4887"
330,"4729"
331,"4716"
332,"4823"
333,"4870"
334,"4827"
335,"4783"
336,"4757"
337,"5044"
338,"4885"
339,"4857"
340,"4994"
341,"5125"
342,"5114"
343,"5253"
344,"5383"
345,"5503"
346,"5586"
347,"5562"
348,"5517"
349,"5580"
350,"5641"
351,"5652"
352,"5687"
353,"5692"
354,"5942"
355,"6049"
356,"6309"
357,"6316"
358,"6706"
359,"7159"
360,"7758"
361,"8571"
362,"9745"
363,"11588"
364,"14990"
365,"21391"
366,"32245"
367,"48969"
368,"73630"
369,"105285"
370,"139372"
371,"173178"
372,"197389"
373,"208999"
374,"203214"
375,"181003"
376,"149983"
377,"114509"
378,"80432"
379,"53006"
380,"33308"
381,"20246"
382,"12575"
383,"8510"
384,"6506"
385,"5574"
386,"5140"
387,"4877"
388,"4839"
389,"4838"
390,"4856"
391,"4814"
392,"4985"
393,"5102"
394,"5200"
395,"5124"
396,"5485"
397,"5791"
398,"5892"
399,"6339"
400,"6607"
401,"6983"
402,"7569"
403,"8230"
404,"9154"
405,"10718"
406,"13119"
407,"16326"
408,"20543"
409,"25561"
410,"30141"
411,"34729"
412,"37162"
413,"37634"
414,"35835"
415,"31784"
416,"26417"
417,"20944"
418,"16221"
419,"12024"
420,"9195"
421,"7294"
422,"6110"
423,"5343"
424,"5066"
425,"4905"
426,"4739"
427,"4784"
428,"4763"
429,"4720"
430,"4735"
431,"4699"
432,"4645"
433,"4457"
434,"4628"
435,"4444"
436,"4338"
437,"4324"
438,"4340"
439,"4392"
440,"4403"
441,"4525"
442,"4649"
443,"4897"
444,"5240"
445,"5709"
446,"6710"
447,"7530"
448,"8519"
449,"9263"
450,"9906"
451,"10075"
452,"9737"
453,"9301"
454,"8436"
455,"7363"
456,"6418"
457,"5541"
458,"4876"
459,"4468"
460,"4264"
461,"4223"
462,"4116"
463,"4061"
464,"4249"
465,"4252"
466,"4401"
467,"4718"
468,"5001"
469,"5266"
470,"5336"
471,"5577"
472,"5685"
473,"5574"
474,"5463"
475,"5197"
476,"4976"
477,"4633"
478,"4356"
479,"4239"
480,"3977"
481,"3941"
482,"3970"
483,"3885"
484,"3859"
485,"3988"
486,"3863"
487,"3895"
488,"3831"
489,"3890"
490,"4079"
491,"4034"
492,"4053"
493,"3996"
494,"3994"
495,"4029"
496,"3930"
497,"3986"
498,"3951"
499,"3825"
500,"4000"
501,"3950"
502,"3926"
503,"3870"
504,"3912"
505,"3929"
506,"3945"
507,"3901"
508,"3950"
509,"4089"
510,"4001"
511,"4004"
512,"3887"
513,"4090"
514,"4013"
515,"4069"
516,"4046"
517,"4037"
518,"4118"
519,"4042"
520,"4083"
521,"4174"
522,"4124"
523,"4247"
524,"4193"
525,"4287"
526,"4247"
527,"4291"
528,"4018"
529,"4124"
530,"4146"
531,"4116"
532,"4088"
533,"4090"
534,"4146"
535,"4023"
536,"4037"
537,"3810"
538,"4084"
539,"3920"
540,"3968"
541,"4148"
542,"4026"
543,"4014"
544,"4104"
545,"4059"
546,"4023"
547,"4007"
548,"4109"
549,"3997"
550,"4143"
551,"4051"
552,"4006"
553,"4017"
554,"4060"
555,"4104"
556,"4162"
557,"4032"
558,"4021"
559,"4026"
560,"3983"
561,"4030"
562,"4031"
563,"4018"
564,"4031"
565,"3983"
566,"4053"
567,"4001"
568,"4010"
569,"3979"
570,"3930"
571,"4058"
572,"3915"
573,"3946"
574,"3824"
575,"3953"
576,"4022"
577,"3844"
578,"4026"
579,"3980"
580,"3977"
581,"4029"
582,"3886"
583,"3945"
584,"4047"
585,"4051"
586,"4051"
587,"4135"
588,"4508"
589,"4797"
590,"4778"
591,"5325"
592,"5688"
593,"5801"
594,"6343"
595,"6608"
596,"6587"
597,"6686"
598,"6649"
599,"6486"
600,"6168"
601,"5866"
602,"5579"
603,"5090"
604,"4868"
605,"4504"
606,"4342"
607,"4204"
608,"4026"
609,"3839"
610,"3919"
611,"3806"
612,"3800"
613,"3884"
614,"3827"
615,"3901"
616,"4019"
617,"4069"
618,"3995"
619,"4139"
620,"3992"
621,"3910"
622,"3966"
623,"3984"
624,"4017"
625,"3956"
626,"3874"
627,"3929"
628,"3898"
629,"3976"
630,"3899"
631,"3958"
632,"4000"
633,"3850"
634,"4034"
635,"3900"
636,"4039"
637,"4000"
638,"3884"
639,"3910"
640,"3793"
641,"3853"
642,"3835"
643,"3830"
644,"3657"
645,"3829"
646,"3724"
647,"3612"
648,"3670"
649,"3539"
650,"3482"
651,"3682"
652,"3717"
653,"3526"
654,"3532"
655,"3600"
656,"3600"
657,"3631"
658,"3609"
659,"3758"
660,"3752"
661,"3670"
662,"3783"
663,"3836"
664,"3646"
665,"3883"
666,"3779"
667,"3621"
668,"3705"
669,"3604"
670,"3650"
671,"3497"
672,"3394"
673,"3548"
674,"3495"
675,"3454"
676,"3339"
677,"3404"
678,"3331"
679,"3469"
680,"3357"
681,"3316"
682,"3371"
683,"3385"
684,"3353"
685,"3314"
686,"3398"
687,"3327"
688,"3312"
689,"3358"
690,"3343"
691,"3401"
692,"3232"
693,"3219"
694,"3349"
695,"3308"
696,"3349"
697,"3239"
698,"3350"
699,"3435"
700,"3432"
701,"3465"
702,"3341"
703,"3400"
704,"3428"
705,"3442"
706,"3440"
707,"3456"
708,"3520"
709,"3462"
710,"3424"
711,"3491"
712,"3277"
713,"3306"
714,"3227"
715,"3352"
716,"3228"
717,"3241"
718,"3207"
719,"3246"
720,"3218"
721,"3200"
722,"3206"
723,"3238"
724,"3179"
725,"3220"
726,"3191"
727,"3137"
728,"3233"
729,"3192"
730,"3181"
731,"3224"
732,"3188"
733,"3269"
734,"3279"
735,"3161"
736,"3219"
737,"3218"
738,"3260"
739,"3207"
740,"3208"
741,"3179"
742,"3227"
743,"3213"
744,"3296"
745,"3244"
746,"3182"
747,"3242"
748,"3124"
749,"3238"
750,"3230"
751,"3175"
752,"3171"
753,"3106"
754,"3061"
755,"3007"
756,"3257"
757,"3118"
758,"3118"
759,"3073"
760,"3024"
761,"3130"
762,"3087"
763,"2974"
764,"3108"
765,"2971"
766,"3101"
767,"3025"
768,"2980"
769,"3066"
770,"2969"
771,"3049"
772,"3020"
773,"3103"
774,"3115"
775,"3119"
776,"3205"
777,"3307"
778,"3411"
779,"3647"
780,"3942"
781,"3940"
782,"4330"
783,"4623"
784,"4792"
785,"4930"
786,"4949"
787,"5007"
788,"5005"
789,"4764"
790,"4535"
791,"4445"
792,"4109"
793,"3873"
794,"3567"
795,"3401"
796,"3139"
797,"3150"
798,"3009"
799,"2947"
800,"2904"
801,"2855"
802,"2930"
803,"2920"
804,"2786"
805,"2802"
806,"2856"
807,"2854"
808,"2908"
809,"2809"
810,"2838"
811,"2877"
812,"2823"
813,"2837"
814,"3005"
815,"2904"
816,"2991"
817,"3051"
818,"3132"
819,"3249"
820,"3393"
821,"3618"
822,"3840"
823,"4153"
824,"4243"
825,"4520"
826,"4741"
827,"4827"
828,"5065"
829,"4869"
830,"4678"
831,"4714"
832,"4516"
833,"4208"
834,"4127"
835,"3687"
836,"3429"
837,"3222"
838,"3047"
839,"2985"
840,"2803"
841,"2785"
842,"2735"
843,"2712"
844,"2718"
845,"2606"
846,"2714"
847,"2678"
848,"2640"
849,"2751"
850,"2717"
851,"2728"
852,"2567"
853,"2667"
854,"2727"
855,"2674"
856,"2586"
857,"2668"
858,"2608"
859,"2607"
860,"2589"
861,"2719"
862,"2658"
863,"2663"
864,"2607"
865,"2589"
866,"2641"
867,"2612"
868,"2619"
869,"2722"
870,"2585"
871,"2651"
872,"2675"
873,"2733"
874,"2705"
875,"2727"
876,"2736"
877,"2879"
878,"2906"
879,"2980"
880,"3016"
881,"2959"
882,"3047"
883,"2980"
884,"3078"
885,"2971"
886,"2904"
887,"2920"
888,"2823"
889,"2661"
890,"2808"
891,"2838"
892,"2736"
893,"2886"
894,"2738"
895,"2780"
896,"2750"
897,"2759"
898,"2808"
899,"2792"
900,"2835"
901,"2701"
902,"2814"
903,"2850"
904,"2962"
905,"2954"
906,"2870"
907,"2979"
908,"2997"
909,"2878"
910,"2886"
911,"2980"
912,"2926"
913,"3034"
914,"3001"
915,"3120"
916,"3154"
917,"3110"
918,"3278"
919,"3314"
920,"3388"
921,"3424"
922,"3563"
923,"3748"
924,"3960"
925,"4048"
926,"4173"
927,"4359"
928,"4563"
929,"4662"
930,"4882"
931,"5085"
932,"5248"
933,"5376"
934,"5426"
935,"5726"
936,"5998"
937,"5953"
938,"6271"
939,"6443"
940,"6690"
941,"6910"
942,"7081"
943,"7422"
944,"7498"
945,"7614"
946,"7809"
947,"7793"
948,"7745"
949,"7994"
950,"8088"
951,"7939"
952,"7988"
953,"7893"
954,"7941"
955,"7598"
956,"7507"
957,"7205"
958,"7107"
959,"6930"
960,"6617"
961,"6462"
962,"6102"
963,"5937"
964,"5843"
965,"5384"
966,"5360"
967,"4919"
968,"4816"
969,"4494"
970,"4306"
971,"4189"
972,"4047"
973,"3883"
974,"3811"
975,"3604"
976,"3481"
977,"3315"
978,"3288"
979,"3083"
980,"3036"
981,"2993"
982,"2862"
983,"2747"
984,"2766"
985,"2717"
986,"2571"
987,"2723"
988,"2668"
989,"2566"
990,"2610"
991,"2688"
992,"2794"
993,"3040"
994,"3213"
995,"3573"
996,"3860"
997,"4435"
998,"5123"
999,"5451"
1000,"6239"
1001,"6941"
1002,"7502"
1003,"8262"
1004,"8751"
1005,"9236"
1006,"9600"
1007,"9984"
1008,"10087"
1009,"9919"
1010,"9621"
1011,"8967"
1012,"8402"
1013,"7624"
1014,"6801"
1015,"5898"
1016,"5042"
1017,"4335"
1018,"3763"
1019,"3177"
1020,"2889"
1021,"2520"
1022,"2433"
1023,"2232"
1024,"2179"
1025,"2036"
1026,"2138"
1027,"2090"
1028,"2104"
1029,"2053"
1030,"2043"
1031,"2058"
1032,"2037"
1033,"2067"
1034,"2120"
1035,"2175"
1036,"2153"
1037,"2312"
1038,"2406"
1039,"2553"
1040,"2578"
1041,"2773"
1042,"2996"
1043,"3375"
1044,"3765"
1045,"4145"
1046,"4584"
1047,"4986"
1048,"5382"
1049,"6018"
1050,"6295"
1051,"6842"
1052,"7173"
1053,"7521"
1054,"7805"
1055,"8017"
1056,"8144"
1057,"8180"
1058,"7770"
1059,"7512"
1060,"7166"
1061,"6592"
1062,"5886"
1063,"5432"
1064,"4936"
1065,"4262"
1066,"3911"
1067,"3634"
1068,"3365"
1069,"3039"
1070,"2931"
1071,"2729"
1072,"2674"
1073,"2622"
1074,"2455"
1075,"2511"
1076,"2490"
1077,"2370"
1078,"2334"
1079,"2343"
1080,"2346"
1081,"2302"
1082,"2146"
1083,"2166"
1084,"2180"
1085,"2196"
1086,"2077"
1087,"2083"
1088,"1990"
1089,"2090"
1090,"1925"
1091,"1959"
1092,"1941"
1093,"1948"
1094,"1829"
1095,"1865"
1096,"1888"
1097,"1850"
1098,"1821"
1099,"1879"
1100,"1796"
1101,"1764"
1102,"1822"
1103,"1783"
1104,"1740"
1105,"1812"
1106,"1739"
1107,"1738"
1108,"1765"
1109,"1676"
1110,"1573"
1111,"1622"
1112,"1626"
1113,"1625"
1114,"1570"
1115,"1556"
1116,"1611"
1117,"1582"
1118,"1552"
1119,"1569"
1120,"1596"
1121,"1628"
1122,"1689"
1123,"1707"
1124,"1699"
1125,"1832"
1126,"1856"
1127,"1945"
1128,"2088"
1129,"2258"
1130,"2388"
1131,"2421"
1132,"2531"
1133,"2635"
1134,"2635"
1135,"2642"
1136,"2556"
1137,"2568"
1138,"2382"
1139,"2304"
1140,"2175"
1141,"2142"
1142,"1912"
1143,"1845"
1144,"1821"
1145,"1691"
1146,"1637"
1147,"1655"
1148,"1525"
1149,"1614"
1150,"1573"
1151,"1581"
1152,"1548"
1153,"1635"
1154,"1617"
1155,"1592"
1156,"1676"
1157,"1620"
1158,"1671"
1159,"1698"
1160,"1669"
1161,"1565"
1162,"1601"
1163,"1568"
1164,"1584"
1165,"1588"
1166,"1463"
1167,"1471"
1168,"1545"
1169,"1549"
1170,"1520"
1171,"1521"
1172,"1508"
1173,"1521"
1174,"1587"
1175,"1559"
1176,"1578"
1177,"1616"
1178,"1580"
1179,"1712"
1180,"1781"
1181,"1843"
1182,"1934"
1183,"2083"
1184,"2183"
1185,"2242"
1186,"2354"
1187,"2486"
1188,"2462"
1189,"2632"
1190,"2600"
1191,"2597"
1192,"2519"
1193,"2469"
1194,"2420"
1195,"2227"
1196,"2078"
1197,"1945"
1198,"1969"
1199,"1771"
1200,"1737"
1201,"1768"
1202,"1718"
1203,"1674"
1204,"1749"
1205,"1771"
1206,"1747"
1207,"1688"
1208,"1797"
1209,"1782"
1210,"1853"
1211,"1842"
1212,"1748"
1213,"1752"
1214,"1844"
1215,"1759"
1216,"1814"
1217,"1810"
1218,"1780"
1219,"1735"
1220,"1796"
1221,"1716"
1222,"1727"
1223,"1732"
1224,"1681"
1225,"1693"
1226,"1705"
1227,"1687"
1228,"1678"
1229,"1629"
1230,"1735"
1231,"1648"
1232,"1727"
1233,"1647"
1234,"1720"
1235,"1670"
1236,"1693"
1237,"1579"
1238,"1618"
1239,"1683"
1240,"1697"
1241,"1606"
1242,"1588"
1243,"1615"
1244,"1597"
1245,"1656"
1246,"1631"
1247,"1597"
1248,"1619"
1249,"1631"
1250,"1618"
1251,"1607"
1252,"1682"
1253,"1601"
1254,"1644"
1255,"1679"
1256,"1605"
1257,"1619"
1258,"1675"
1259,"1594"
1260,"1648"
1261,"1671"
1262,"1728"
1263,"1649"
1264,"1635"
1265,"1659"
1266,"1620"
1267,"1642"
1268,"1704"
1269,"1683"
1270,"1642"
1271,"1635"
1272,"1680"
1273,"1629"
1274,"1692"
1275,"1644"
1276,"1739"
1277,"1687"
1278,"1691"
1279,"1723"
1280,"1710"
1281,"1800"
1282,"1788"
1283,"1808"
1284,"1793"
1285,"1992"
1286,"2031"
1287,"2159"
1288,"2403"
1289,"2711"
1290,"3219"
1291,"3975"
1292,"4958"
1293,"6117"
1294,"7766"
1295,"9910"
1296,"12194"
1297,"15183"
1298,"18270"
1299,"21270"
1300,"24943"
1301,"28000"
1302,"30520"
1303,"33027"
1304,"35762"
1305,"37172"
1306,"38443"
1307,"40050"
1308,"41827"
1309,"43669"
1310,"45750"
1311,"48548"
1312,"51181"
1313,"53231"
1314,"55744"
1315,"57126"
1316,"57403"
1317,"56067"
1318,"53952"
1319,"50409"
1320,"46028"
1321,"40940"
1322,"34786"
1323,"29229"
1324,"24014"
1325,"19130"
1326,"14953"
1327,"11424"
1328,"8682"
1329,"6403"
1330,"4816"
1331,"3631"
1332,"2838"
1333,"2167"
1334,"1831"
1335,"1572"
1336,"1430"
1337,"1277"
1338,"1198"
1339,"1218"
1340,"1190"
1341,"1187"
1342,"1082"
1343,"1031"
1344,"1127"
1345,"1072"
1346,"1021"
1347,"1058"
1348,"1118"
1349,"1052"
1350,"996"
1351,"1009"
1352,"1019"
1353,"974"
1354,"980"
1355,"981"
1356,"1014"
1357,"962"
1358,"1016"
1359,"946"
1360,"972"
1361,"947"
1362,"933"
1363,"952"
1364,"945"
1365,"968"
1366,"960"
1367,"929"
1368,"910"
1369,"887"
1370,"881"
1371,"961"
1372,"883"
1373,"886"
1374,"900"
1375,"908"
1376,"843"
1377,"847"
1378,"896"
1379,"856"
1380,"844"
1381,"784"
1382,"876"
1383,"776"
1384,"756"
1385,"777"
1386,"768"
1387,"794"
1388,"855"
1389,"786"
1390,"808"
1391,"806"
1392,"770"
1393,"739"
1394,"756"
1395,"763"
1396,"744"
1397,"776"
1398,"783"
1399,"736"
1400,"803"
1401,"757"
1402,"776"
1403,"748"
1404,"698"
1405,"714"
1406,"693"
1407,"744"
1408,"737"
1409,"738"
1410,"755"
1411,"758"
1412,"698"
1413,"717"
1414,"641"
1415,"683"
1416,"693"
1417,"706"
1418,"726"
1419,"691"
1420,"668"
1421,"675"
1422,"703"
1423,"691"
1424,"700"
1425,"695"
1426,"693"
1427,"653"
1428,"663"
1429,"679"
1430,"702"
1431,"654"
1432,"633"
1433,"694"
1434,"669"
1435,"670"
1436,"672"
1437,"642"
1438,"701"
1439,"684"
1440,"673"
1441,"611"
1442,"656"
1443,"693"
1444,"646"
1445,"656"
1446,"657"
1447,"653"
1448,"615"
1449,"658"
1450,"635"
1451,"674"
1452,"638"
1453,"663"
1454,"617"
1455,"610"
1456,"671"
1457,"666"
1458,"648"
1459,"642"
1460,"687"
1461,"614"
1462,"749"
1463,"694"
1464,"714"
1465,"792"
1466,"821"
1467,"921"
1468,"1041"
1469,"1189"
1470,"1501"
1471,"1912"
1472,"2202"
1473,"2867"
1474,"3543"
1475,"4570"
1476,"5439"
1477,"6433"
1478,"7418"
1479,"8412"
1480,"9464"
1481,"10288"
1482,"11078"
1483,"11233"
1484,"11403"
1485,"11648"
1486,"10987"
1487,"10252"
1488,"9261"
1489,"8358"
1490,"7355"
1491,"6223"
1492,"5222"
1493,"4316"
1494,"3526"
1495,"2877"
1496,"2348"
1497,"1861"
1498,"1495"
1499,"1269"
1500,"1074"
1501,"950"
1502,"832"
1503,"841"
1504,"822"
1505,"858"
1506,"916"
1507,"1103"
1508,"1170"
1509,"1313"
1510,"1515"
1511,"1647"
1512,"1875"
1513,"2152"
1514,"2283"
1515,"2361"
1516,"2516"
1517,"2524"
1518,"2585"
1519,"2532"
1520,"2373"
1521,"2271"
1522,"2115"
1523,"1916"
1524,"1772"
1525,"1572"
1526,"1401"
1527,"1235"
1528,"1080"
1529,"951"
1530,"912"
1531,"763"
1532,"736"
1533,"705"
1534,"648"
1535,"655"
1536,"630"
1537,"674"
1538,"651"
1539,"663"
1540,"674"
1541,"694"
1542,"704"
1543,"678"
1544,"686"
1545,"667"
1546,"599"
1547,"579"
1548,"514"
1549,"479"
1550,"487"
1551,"442"
1552,"420"
1553,"379"
1554,"356"
1555,"361"
1556,"327"
1557,"300"
1558,"333"
1559,"296"
1560,"325"
1561,"302"
1562,"282"
1563,"313"
1564,"292"
1565,"311"
1566,"309"
1567,"277"
1568,"286"
1569,"272"
1570,"251"
1571,"243"
1572,"237"
1573,"224"
1574,"236"
1575,"213"
1576,"230"
1577,"214"
1578,"216"
1579,"209"
1580,"205"
1581,"217"
1582,"208"
1583,"240"
1584,"238"
1585,"235"
1586,"209"
1587,"224"
1588,"201"
1589,"199"
1590,"201"
1591,"225"
1592,"198"
1593,"201"
1594,"215"
1595,"206"
1596,"186"
1597,"211"
1598,"200"
1599,"198"
1600,"190"
1601,"225"
1602,"212"
1603,"189"
1604,"200"
1605,"191"
1606,"180"
1607,"201"
1608,"193"
1609,"185"
1610,"186"
1611,"167"
1612,"182"
1613,"169"
1614,"189"
1615,"186"
1616,"201"
1617,"173"
1618,"196"
1619,"185"
1620,"189"
1621,"170"
1622,"162"
1623,"175"
1624,"166"
1625,"224"
1626,"180"
1627,"197"
1628,"184"
1629,"184"
1630,"160"
1631,"174"
1632,"173"
1633,"173"
1634,"193"
1635,"173"
1636,"165"
1637,"186"
1638,"167"
1639,"171"
1640,"174"
1641,"160"
1642,"134"
1643,"150"
1644,"176"
1645,"161"
1646,"167"
1647,"153"
1648,"176"
1649,"157"
1650,"159"
1651,"154"
1652,"147"
1653,"168"
1654,"148"
1655,"155"
1656,"152"
1657,"149"
1658,"146"
1659,"164"
1660,"153"
1661,"146"
1662,"131"
1663,"134"
1664,"148"
1665,"152"
1666,"143"
1667,"172"
1668,"149"
1669,"163"
1670,"183"
1671,"174"
1672,"153"
1673,"161"
1674,"166"
1675,"155"
1676,"177"
1677,"165"
1678,"162"
1679,"159"
1680,"159"
1681,"171"
1682,"171"
1683,"184"
1684,"171"
1685,"157"
1686,"182"
1687,"189"
1688,"191"
1689,"165"
1690,"174"
1691,"176"
1692,"174"
1693,"173"
1694,"170"
1695,"160"
1696,"149"
1697,"167"
1698,"164"
1699,"147"
1700,"130"
1701,"171"
1702,"152"
1703,"157"
1704,"156"
1705,"176"
1706,"177"
1707,"174"
1708,"203"
1709,"180"
1710,"186"
1711,"228"
1712,"176"
1713,"172"
1714,"155"
1715,"146"
1716,"178"
1717,"138"
1718,"140"
1719,"130"
1720,"123"
1721,"126"
1722,"118"
1723,"102"
1724,"117"
1725,"106"
1726,"124"
1727,"101"
1728,"91"
1729,"107"
1730,"122"
1731,"119"
1732,"103"
1733,"116"
1734,"101"
1735,"75"
1736,"91"
1737,"81"
1738,"98"
1739,"102"
1740,"79"
1741,"82"
1742,"80"
1743,"94"
1744,"87"
1745,"87"
1746,"85"
1747,"87"
1748,"79"
1749,"70"
1750,"77"
1751,"68"
1752,"66"
1753,"92"
1754,"75"
1755,"53"
1756,"61"
1757,"65"
1758,"49"
1759,"63"
1760,"65"
1761,"45"
1762,"53"
1763,"47"
1764,"57"
1765,"65"
1766,"51"
1767,"49"
1768,"53"
1769,"45"
1770,"40"
1771,"43"
1772,"55"
1773,"44"
1774,"69"
1775,"55"
1776,"47"
1777,"46"
1778,"39"
1779,"40"
1780,"38"
1781,"29"
1782,"43"
1783,"33"
1784,"35"
1785,"34"
1786,"47"
1787,"30"
1788,"32"
1789,"32"
1790,"28"
1791,"41"
1792,"38"
1793,"34"
1794,"32"
1795,"39"
1796,"37"
1797,"29"
1798,"35"
1799,"29"
1800,"28"
1801,"30"
1802,"24"
1803,"28"
1804,"25"
1805,"36"
1806,"32"
1807,"32"
1808,"29"
1809,"23"
1810,"26"
1811,"33"
1812,"24"
1813,"42"
1814,"20"
1815,"23"
1816,"23"
1817,"38"
1818,"20"
1819,"25"
1820,"28"
1821,"32"
1822,"20"
1823,"25"
1824,"19"
1825,"19"
1826,"16"
1827,"24"
1828,"23"
1829,"23"
1830,"33"
1831,"20"
1832,"21"
1833,"23"
1834,"21"
1835,"17"
1836,"21"
1837,"23"
1838,"19"
1839,"24"
1840,"19"
1841,"24"
1842,"20"
1843,"24"
1844,"17"
1845,"18"
1846,"23"
1847,"33"
1848,"19"
1849,"24"
1850,"30"
1851,"23"
1852,"31"
1853,"38"
1854,"28"
1855,"32"
1856,"25"
1857,"29"
1858,"30"
1859,"22"
1860,"20"
1861,"28"
1862,"28"
1863,"21"
1864,"23"
1865,"23"
1866,"20"
1867,"25"
1868,"14"
1869,"19"
1870,"14"
1871,"15"
1872,"27"
1873,"26"
1874,"25"
1875,"12"
1876,"26"
1877,"15"
1878,"17"
1879,"16"
1880,"16"
1881,"13"
1882,"25"
1883,"16"
1884,"23"
1885,"21"
1886,"17"
1887,"20"
1888,"18"
1889,"20"
1890,"16"
1891,"18"
1892,"24"
1893,"16"
1894,"14"
1895,"15"
1896,"24"
1897,"17"
1898,"15"
1899,"18"
1900,"13"
1901,"17"
1902,"14"
1903,"18"
1904,"9"
1905,"15"
1906,"10"
