Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"WN0301266"
Duration Time,300.407
Ambient Temperature,"112.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"17098671"
Raw Accumulated Counts,"20181688"
Valid Count Last Packet,"51661"
Raw Count Last Packet,"61515"
Live Time,253.918015
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.044
Number of Channels,2048
Vacuum,689
Channel#,Intensity
0,"8477"
1,"6671"
2,"4760"
3,"3256"
4,"1505"
5,"351"
6,"54"
7,"17"
8,"11"
9,"12"
10,"7"
11,"8"
12,"3"
13,"2"
14,"6"
15,"1"
16,"2"
17,"2"
18,"2"
19,"2"
20,"2"
21,"4"
22,"1"
23,"3"
24,"3"
25,"0"
26,"1"
27,"6"
28,"3"
29,"5"
30,"11"
31,"101"
32,"680"
33,"1955"
34,"2837"
35,"3479"
36,"3665"
37,"3660"
38,"3561"
39,"3538"
40,"3481"
41,"3492"
42,"3453"
43,"3445"
44,"3524"
45,"3528"
46,"3576"
47,"3620"
48,"3615"
49,"3493"
50,"3468"
51,"3410"
52,"3517"
53,"3631"
54,"3552"
55,"3596"
56,"3626"
57,"3736"
58,"3735"
59,"3783"
60,"3731"
61,"3694"
62,"3623"
63,"3650"
64,"3542"
65,"3520"
66,"3450"
67,"3565"
68,"3508"
69,"3515"
70,"3478"
71,"3661"
72,"3613"
73,"3661"
74,"3814"
75,"3674"
76,"3635"
77,"3576"
78,"3579"
79,"3532"
80,"3512"
81,"3476"
82,"3553"
83,"3677"
84,"3806"
85,"3986"
86,"4161"
87,"4239"
88,"4252"
89,"4285"
90,"4196"
91,"4468"
92,"4894"
93,"5477"
94,"6820"
95,"8223"
96,"9275"
97,"9879"
98,"9548"
99,"8701"
100,"7549"
101,"6568"
102,"5915"
103,"5488"
104,"5609"
105,"5841"
106,"6204"
107,"6858"
108,"8723"
109,"12806"
110,"20947"
111,"36080"
112,"57892"
113,"83929"
114,"106269"
115,"114618"
116,"106723"
117,"85340"
118,"59729"
119,"37667"
120,"23647"
121,"16798"
122,"13957"
123,"12790"
124,"11274"
125,"9603"
126,"8105"
127,"7077"
128,"7099"
129,"8246"
130,"10294"
131,"13168"
132,"16541"
133,"19806"
134,"21646"
135,"21475"
136,"19792"
137,"17416"
138,"15376"
139,"14798"
140,"15166"
141,"15905"
142,"16492"
143,"16447"
144,"16663"
145,"17121"
146,"18045"
147,"18671"
148,"18354"
149,"16587"
150,"13716"
151,"11067"
152,"8518"
153,"6994"
154,"6199"
155,"5962"
156,"6120"
157,"6226"
158,"6672"
159,"6797"
160,"7446"
161,"8181"
162,"9273"
163,"10935"
164,"12384"
165,"13597"
166,"13239"
167,"12396"
168,"10952"
169,"9376"
170,"8368"
171,"7829"
172,"7875"
173,"8357"
174,"9467"
175,"11875"
176,"16935"
177,"28473"
178,"53026"
179,"98306"
180,"173546"
181,"276890"
182,"391868"
183,"488759"
184,"535562"
185,"516184"
186,"436378"
187,"323998"
188,"212060"
189,"123303"
190,"64871"
191,"33347"
192,"18469"
193,"13972"
194,"16010"
195,"22346"
196,"33383"
197,"48178"
198,"65399"
199,"79710"
200,"87393"
201,"84924"
202,"74068"
203,"57540"
204,"39658"
205,"25006"
206,"14869"
207,"8850"
208,"5703"
209,"4411"
210,"3784"
211,"3548"
212,"3582"
213,"3466"
214,"3393"
215,"3394"
216,"3324"
217,"3358"
218,"3299"
219,"3387"
220,"3530"
221,"3645"
222,"3865"
223,"4103"
224,"4179"
225,"4344"
226,"4120"
227,"4094"
228,"3781"
229,"3538"
230,"3470"
231,"3522"
232,"3397"
233,"3226"
234,"3387"
235,"3321"
236,"3391"
237,"3398"
238,"3531"
239,"3479"
240,"3479"
241,"3615"
242,"3605"
243,"3588"
244,"3704"
245,"3880"
246,"3813"
247,"3844"
248,"3829"
249,"3852"
250,"3831"
251,"3867"
252,"3855"
253,"3790"
254,"3660"
255,"3869"
256,"3934"
257,"3969"
258,"3940"
259,"3974"
260,"4028"
261,"3899"
262,"4140"
263,"4147"
264,"4171"
265,"4164"
266,"4326"
267,"4290"
268,"4442"
269,"4443"
270,"4600"
271,"4614"
272,"4705"
273,"4617"
274,"4613"
275,"4621"
276,"4510"
277,"4740"
278,"4626"
279,"4927"
280,"5028"
281,"5122"
282,"5160"
283,"5392"
284,"5523"
285,"5773"
286,"5763"
287,"5753"
288,"5692"
289,"5655"
290,"5678"
291,"5562"
292,"5561"
293,"5664"
294,"5751"
295,"5807"
296,"5845"
297,"6072"
298,"5963"
299,"5903"
300,"5942"
301,"5978"
302,"5998"
303,"5827"
304,"6045"
305,"5876"
306,"5947"
307,"6009"
308,"6267"
309,"6458"
310,"6299"
311,"6808"
312,"7080"
313,"7750"
314,"8445"
315,"9410"
316,"10667"
317,"11928"
318,"12955"
319,"13489"
320,"13466"
321,"12692"
322,"11528"
323,"10206"
324,"8998"
325,"7837"
326,"7147"
327,"6758"
328,"6541"
329,"6261"
330,"6238"
331,"6426"
332,"6270"
333,"6536"
334,"6446"
335,"6452"
336,"6622"
337,"6661"
338,"6858"
339,"6795"
340,"6890"
341,"7130"
342,"7357"
343,"7229"
344,"7425"
345,"7454"
346,"7831"
347,"8015"
348,"8148"
349,"8391"
350,"8424"
351,"8449"
352,"8886"
353,"8875"
354,"8937"
355,"9232"
356,"9289"
357,"9809"
358,"10334"
359,"11022"
360,"11869"
361,"13226"
362,"14641"
363,"17748"
364,"22601"
365,"31539"
366,"46836"
367,"70401"
368,"103914"
369,"146806"
370,"193483"
371,"237382"
372,"270604"
373,"283263"
374,"273727"
375,"242074"
376,"199681"
377,"150384"
378,"105435"
379,"68899"
380,"43120"
381,"26591"
382,"16688"
383,"11672"
384,"9094"
385,"8056"
386,"7434"
387,"7150"
388,"7016"
389,"6990"
390,"6976"
391,"6807"
392,"7007"
393,"7066"
394,"7122"
395,"7275"
396,"7630"
397,"7916"
398,"8141"
399,"8573"
400,"8752"
401,"9240"
