Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PR83"
Duration Time,300.138
Ambient Temperature,"112.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"7780848"
Raw Accumulated Counts,"8328730"
Valid Count Last Packet,"24548"
Raw Count Last Packet,"26366"
Live Time,280.912048
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0226
Number of Channels,2048
Vacuum,678
Channel#,Intensity
0,"9653"
1,"7698"
2,"4745"
3,"2669"
4,"1172"
5,"286"
6,"51"
7,"16"
8,"5"
9,"5"
10,"4"
11,"1"
12,"3"
13,"1"
14,"3"
15,"2"
16,"1"
17,"2"
18,"1"
19,"0"
20,"2"
21,"0"
22,"2"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"1"
29,"0"
30,"0"
31,"19"
32,"172"
33,"579"
34,"985"
35,"1214"
36,"1322"
37,"1511"
38,"1399"
39,"1433"
40,"1368"
41,"1399"
42,"1445"
43,"1404"
44,"1424"
45,"1573"
46,"1550"
47,"1543"
48,"1584"
49,"1559"
50,"1469"
51,"1391"
52,"1403"
53,"1434"
54,"1411"
55,"1452"
56,"1380"
57,"1440"
58,"1382"
59,"1436"
60,"1488"
61,"1440"
62,"1438"
63,"1399"
64,"1242"
65,"1299"
66,"1194"
67,"1230"
68,"1186"
69,"1219"
70,"1284"
71,"1236"
72,"1325"
73,"1337"
74,"1411"
75,"1365"
76,"1383"
77,"1252"
78,"1192"
79,"1200"
80,"1227"
81,"1317"
82,"1496"
83,"1758"
84,"2427"
85,"3073"
86,"3675"
87,"3742"
88,"3381"
89,"2914"
90,"2321"
91,"1853"
92,"1632"
93,"1609"
94,"1649"
95,"1818"
96,"2104"
97,"2626"
98,"3125"
99,"3560"
100,"3933"
101,"3769"
102,"3354"
103,"2784"
104,"2231"
105,"1830"
106,"1669"
107,"1559"
108,"1542"
109,"1744"
110,"1950"
111,"2331"
112,"3002"
113,"3847"
114,"4739"
115,"5232"
116,"5205"
117,"4619"
118,"3894"
119,"3054"
120,"2577"
121,"2441"
122,"2206"
123,"2263"
124,"2339"
125,"2398"
126,"2629"
127,"3125"
128,"3780"
129,"5423"
130,"7757"
131,"11077"
132,"14831"
133,"18956"
134,"21738"
135,"22481"
136,"20778"
137,"18094"
138,"15641"
139,"15319"
140,"15518"
141,"16426"
142,"17038"
143,"17160"
144,"17173"
145,"17406"
146,"18692"
147,"19412"
148,"18738"
149,"16754"
150,"13695"
151,"10577"
152,"7657"
153,"5438"
154,"4192"
155,"3676"
156,"3633"
157,"3808"
158,"3817"
159,"4070"
160,"3962"
161,"3812"
162,"3879"
163,"3984"
164,"4295"
165,"4449"
166,"4634"
167,"4517"
168,"4074"
169,"3604"
170,"3070"
171,"2669"
172,"2593"
173,"2566"
174,"2582"
175,"2799"
176,"3214"
177,"4073"
178,"5784"
179,"9405"
180,"15586"
181,"24413"
182,"35288"
183,"45474"
184,"52258"
185,"52513"
186,"46373"
187,"36524"
188,"25398"
189,"16076"
190,"9684"
191,"5929"
192,"4168"
193,"3461"
194,"3528"
195,"4193"
196,"4966"
197,"6467"
198,"8017"
199,"9829"
200,"10986"
201,"11051"
202,"10400"
203,"8800"
204,"7307"
205,"5615"
206,"4364"
207,"3877"
208,"3405"
209,"3197"
210,"3299"
211,"3267"
212,"3161"
213,"3282"
214,"3458"
215,"3537"
216,"3526"
217,"3499"
218,"3691"
219,"3832"
220,"4105"
221,"4571"
222,"4902"
223,"5388"
224,"5981"
225,"6101"
226,"6085"
227,"5801"
228,"5481"
229,"4923"
230,"4548"
231,"4317"
232,"4124"
233,"4157"
234,"3899"
235,"4008"
236,"4129"
237,"4072"
238,"4104"
239,"4241"
240,"4248"
241,"4384"
242,"4603"
243,"4495"
244,"4505"
245,"4745"
246,"4827"
247,"4890"
248,"4888"
249,"4963"
250,"4786"
251,"4740"
252,"4732"
253,"4766"
254,"4796"
255,"4855"
256,"4994"
257,"4913"
258,"5132"
259,"5045"
260,"5081"
261,"5208"
262,"5059"
263,"5323"
264,"5404"
265,"5439"
266,"5543"
267,"5704"
268,"5919"
269,"5979"
270,"6046"
271,"6124"
272,"6120"
273,"6051"
274,"6261"
275,"6278"
276,"6091"
277,"6293"
278,"6288"
279,"6234"
280,"6330"
281,"6411"
282,"6407"
283,"6417"
284,"6538"
285,"6531"
286,"6621"
287,"6826"
288,"6875"
289,"6940"
290,"6912"
291,"6859"
292,"7095"
293,"7183"
294,"7299"
295,"7589"
296,"7433"
297,"7264"
298,"7373"
299,"7265"
300,"7367"
301,"7175"
302,"7304"
303,"7372"
304,"7441"
305,"7602"
306,"7534"
307,"7753"
308,"7941"
309,"8012"
310,"8286"
311,"8722"
312,"9016"
313,"9743"
314,"10998"
315,"12272"
316,"14471"
317,"17009"
318,"18992"
319,"20621"
320,"20837"
321,"20182"
322,"18139"
323,"16180"
324,"13704"
325,"11534"
326,"9664"
327,"8568"
328,"8263"
329,"7872"
330,"7654"
331,"7807"
332,"7754"
333,"7683"
334,"7933"
335,"7683"
336,"7776"
337,"8054"
338,"8040"
339,"8349"
340,"8328"
341,"8358"
342,"8667"
343,"8603"
344,"8841"
345,"9127"
346,"9178"
347,"9297"
348,"9534"
349,"9810"
350,"10153"
351,"10571"
352,"10767"
353,"10924"
354,"10898"
355,"11155"
356,"11153"
357,"11436"
358,"11815"
359,"12458"
360,"13248"
361,"13985"
362,"15219"
363,"16007"
364,"16719"
365,"17361"
366,"18272"
367,"18732"
368,"19638"
369,"20548"
370,"21773"
371,"23151"
372,"24175"
373,"24564"
374,"24096"
375,"22407"
376,"19737"
377,"17333"
378,"14555"
379,"12313"
380,"10685"
381,"9482"
382,"8667"
383,"8425"
384,"8245"
385,"8110"
386,"8183"
387,"8228"
388,"8043"
389,"8028"
390,"8210"
391,"8123"
392,"8253"
393,"8405"
394,"8537"
395,"8639"
396,"9074"
397,"9104"
398,"9492"
399,"9918"
400,"10093"
401,"10319"
402,"10354"
403,"10530"
404,"10173"
405,"10117"
406,"10132"
407,"10011"
408,"10055"
409,"10196"
410,"10308"
411,"10441"
412,"10571"
413,"10430"
414,"10409"
415,"10124"
416,"9942"
417,"9644"
418,"9270"
419,"8828"
420,"8836"
421,"9005"
422,"9009"
423,"9237"
424,"10071"
425,"11465"
426,"13093"
427,"15423"
428,"17799"
429,"20710"
430,"22825"
431,"24305"
432,"24270"
433,"23376"
434,"21790"
435,"19114"
436,"16260"
437,"13920"
438,"11920"
439,"10582"
440,"9618"
441,"9137"
442,"9031"
443,"8898"
444,"8629"
445,"8657"
446,"8647"
447,"8865"
448,"8639"
449,"8692"
450,"8777"
451,"8711"
452,"8546"
453,"8784"
454,"8823"
455,"8762"
456,"8667"
457,"8924"
458,"8815"
459,"8797"
460,"8964"
