Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PV1"
Duration Time,300.76
Ambient Temperature,"111.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6919035"
Raw Accumulated Counts,"7346836"
Valid Count Last Packet,"21664"
Raw Count Last Packet,"22873"
Live Time,283.750031
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.027
Number of Channels,2048
Vacuum,681
Channel#,Intensity
0,"9880"
1,"7732"
2,"4734"
3,"2558"
4,"1148"
5,"253"
6,"33"
7,"6"
8,"3"
9,"3"
10,"3"
11,"2"
12,"2"
13,"3"
14,"0"
15,"2"
16,"0"
17,"0"
18,"2"
19,"1"
20,"0"
21,"1"
22,"4"
23,"1"
24,"1"
25,"2"
26,"1"
27,"2"
28,"0"
29,"0"
30,"0"
31,"10"
32,"148"
33,"510"
34,"891"
35,"1139"
36,"1252"
37,"1336"
38,"1237"
39,"1354"
40,"1199"
41,"1250"
42,"1260"
43,"1268"
44,"1361"
45,"1365"
46,"1385"
47,"1497"
48,"1455"
49,"1370"
50,"1333"
51,"1289"
52,"1273"
53,"1261"
54,"1257"
55,"1295"
56,"1274"
57,"1283"
58,"1350"
59,"1284"
60,"1402"
61,"1267"
62,"1273"
63,"1167"
64,"1136"
65,"1086"
66,"1045"
67,"990"
68,"1048"
69,"1012"
70,"1085"
71,"1112"
72,"1189"
73,"1203"
74,"1225"
75,"1123"
76,"1113"
77,"1132"
78,"1094"
79,"1066"
80,"1108"
81,"1167"
82,"1376"
83,"1814"
84,"2561"
85,"3433"
86,"4195"
87,"4278"
88,"3834"
89,"3104"
90,"2358"
91,"1728"
92,"1450"
93,"1312"
94,"1207"
95,"1119"
96,"1106"
97,"1168"
98,"1221"
99,"1277"
100,"1217"
101,"1223"
102,"1276"
103,"1251"
104,"1223"
105,"1187"
106,"1231"
107,"1279"
108,"1313"
109,"1545"
110,"1875"
111,"2604"
112,"3657"
113,"5094"
114,"6487"
115,"7164"
116,"6887"
117,"6197"
118,"4962"
119,"3676"
120,"2868"
121,"2488"
122,"2299"
123,"2256"
124,"2397"
125,"2492"
126,"2525"
127,"2947"
128,"3738"
129,"5213"
130,"7307"
131,"10767"
132,"14889"
133,"18485"
134,"21427"
135,"22050"
136,"20626"
137,"18205"
138,"15775"
139,"15177"
140,"15450"
141,"16870"
142,"17337"
143,"17511"
144,"17694"
145,"17914"
146,"18502"
147,"19533"
148,"18926"
149,"17343"
150,"13856"
151,"10560"
152,"7607"
153,"5309"
154,"3967"
155,"3638"
156,"3437"
157,"3611"
158,"3788"
159,"3880"
160,"3729"
161,"3813"
162,"3885"
163,"4398"
164,"5069"
165,"5373"
166,"5361"
167,"5101"
168,"4511"
169,"3753"
170,"3020"
171,"2542"
172,"2279"
173,"2095"
174,"2045"
175,"2141"
176,"2332"
177,"2572"
178,"2827"
179,"3214"
180,"3941"
181,"4826"
182,"5830"
183,"7036"
184,"7752"
185,"7440"
186,"6925"
187,"5826"
188,"4812"
189,"3887"
190,"3132"
191,"2870"
192,"2560"
193,"2711"
194,"2773"
195,"2830"
196,"3006"
197,"3152"
198,"3345"
199,"3536"
200,"3691"
201,"3684"
202,"3654"
203,"3464"
204,"3351"
