Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PY35"
Duration Time,300.579
Ambient Temperature,"102.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"16368532"
Raw Accumulated Counts,"19181527"
Valid Count Last Packet,"50423"
Raw Count Last Packet,"58749"
Live Time,256.101959
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0239
Number of Channels,2048
Vacuum,678
Channel#,Intensity
0,"8535"
1,"6790"
2,"4508"
3,"3274"
4,"1522"
5,"367"
6,"60"
7,"17"
8,"11"
9,"10"
10,"10"
11,"3"
12,"3"
13,"5"
14,"1"
15,"2"
16,"0"
17,"5"
18,"2"
19,"2"
20,"4"
21,"3"
22,"2"
23,"3"
24,"0"
25,"0"
26,"1"
27,"1"
28,"2"
29,"3"
30,"4"
31,"91"
32,"626"
33,"1751"
34,"2800"
35,"3193"
36,"3397"
37,"3610"
38,"3642"
39,"3500"
40,"3444"
41,"3426"
42,"3330"
43,"3541"
44,"3289"
45,"3422"
46,"3413"
47,"3393"
48,"3391"
49,"3375"
50,"3305"
51,"3279"
52,"3264"
53,"3204"
54,"3414"
55,"3184"
56,"3206"
57,"3302"
58,"3268"
59,"3215"
60,"3237"
61,"3259"
62,"3157"
63,"3215"
64,"3160"
65,"3160"
66,"3368"
67,"3450"
68,"3777"
69,"3954"
70,"3770"
71,"3744"
72,"3617"
73,"3437"
74,"3512"
75,"3433"
76,"3443"
77,"3502"
78,"3529"
79,"3614"
80,"3508"
81,"3405"
82,"3356"
83,"3289"
84,"3463"
85,"3460"
86,"3436"
87,"3446"
88,"3515"
89,"3449"
90,"3420"
91,"3290"
92,"3168"
93,"3183"
94,"3215"
95,"3134"
96,"3222"
97,"3178"
98,"3128"
99,"3225"
100,"3266"
101,"3186"
102,"3251"
103,"3151"
104,"3052"
105,"3232"
106,"3274"
107,"3327"
108,"3707"
109,"4307"
110,"5949"
111,"8520"
112,"12597"
113,"17074"
114,"21639"
115,"23188"
116,"22108"
117,"18339"
118,"13728"
119,"9620"
120,"7094"
121,"6010"
122,"5532"
123,"5370"
124,"5261"
125,"4987"
126,"4808"
127,"4697"
128,"5266"
129,"6553"
130,"8505"
131,"11913"
132,"15717"
133,"19261"
134,"22093"
135,"22181"
136,"21384"
137,"19182"
138,"17563"
139,"17042"
140,"17438"
141,"18080"
142,"18199"
143,"18026"
144,"18260"
145,"18912"
146,"19738"
147,"20535"
148,"20341"
149,"19295"
150,"18349"
151,"18707"
152,"22650"
153,"30973"
154,"42751"
155,"54652"
156,"62419"
157,"63343"
158,"56253"
159,"44664"
160,"33801"
161,"26460"
162,"24879"
163,"28307"
164,"34046"
165,"39488"
166,"42032"
167,"40542"
168,"35964"
169,"30112"
170,"23691"
171,"18842"
