Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PG50"
Duration Time,300.783
Ambient Temperature,"103.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"16582509"
Raw Accumulated Counts,"19353954"
Valid Count Last Packet,"51073"
Raw Count Last Packet,"60239"
Live Time,257.212097
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0168
Number of Channels,2048
Vacuum,680
Channel#,Intensity
0,"8579"
1,"7080"
2,"4502"
3,"2838"
4,"1384"
5,"363"
6,"59"
7,"20"
8,"12"
9,"5"
10,"4"
11,"3"
12,"2"
13,"1"
14,"4"
15,"0"
16,"3"
17,"2"
18,"2"
19,"2"
20,"1"
21,"1"
22,"4"
23,"1"
24,"3"
25,"0"
26,"3"
27,"0"
28,"1"
29,"0"
30,"3"
31,"29"
32,"308"
33,"984"
34,"1823"
35,"2296"
36,"2404"
37,"2560"
38,"2562"
39,"2511"
40,"2493"
41,"2646"
42,"2428"
43,"2433"
44,"2516"
45,"2570"
46,"2612"
47,"2516"
48,"2597"
49,"2581"
50,"2394"
51,"2478"
52,"2452"
53,"2479"
54,"2457"
55,"2427"
56,"2503"
57,"2442"
58,"2443"
59,"2335"
60,"2408"
61,"2394"
62,"2414"
63,"2380"
64,"2302"
65,"2243"
66,"2157"
67,"2301"
68,"2213"
69,"2290"
70,"2259"
71,"2239"
72,"2411"
73,"2476"
74,"2429"
75,"2404"
76,"2362"
77,"2307"
78,"2266"
79,"2172"
80,"2189"
81,"2140"
82,"2293"
83,"2385"
84,"2575"
85,"2917"
86,"2982"
87,"3231"
88,"2978"
89,"2867"
90,"2545"
91,"2390"
92,"2304"
93,"2233"
94,"2327"
95,"2290"
96,"2372"
97,"2322"
98,"2399"
99,"2369"
100,"2418"
101,"2350"
102,"2427"
103,"2402"
104,"2399"
105,"2398"
106,"2359"
107,"2467"
108,"2488"
109,"2587"
110,"2669"
111,"3002"
112,"3265"
113,"3628"
114,"4054"
115,"4264"
116,"4275"
117,"4203"
118,"3839"
119,"3577"
120,"3295"
121,"3268"
122,"3261"
123,"3353"
124,"3478"
125,"3539"
126,"3841"
127,"4382"
128,"5031"
129,"6411"
130,"8567"
131,"12037"
132,"15971"
133,"20194"
134,"23834"
135,"25554"
136,"25515"
137,"24631"
138,"23148"
139,"22190"
140,"21857"
141,"21346"
142,"20588"
143,"19683"
144,"18903"
145,"19082"
146,"19590"
147,"20291"
148,"19711"
149,"18072"
150,"14985"
151,"11625"
152,"9077"
153,"7115"
154,"6094"
155,"5684"
156,"5795"
157,"6283"
158,"6538"
159,"6519"
160,"6557"
161,"6420"
162,"6345"
163,"6449"
164,"6724"
165,"7037"
166,"7128"
167,"6715"
168,"6245"
169,"5631"
170,"5123"
171,"4741"
172,"4569"
173,"4653"
174,"4711"
175,"5017"
176,"5675"
177,"6512"
178,"7687"
179,"8680"
180,"9250"
181,"9894"
182,"10178"
183,"10200"
184,"9790"
185,"9586"
186,"8640"
187,"8139"
188,"7634"
189,"7603"
190,"7664"
191,"8061"
192,"8445"
193,"8711"
194,"8666"
195,"8589"
196,"8733"
197,"8568"
198,"8301"
199,"8334"
200,"8297"
201,"8061"
202,"8053"
203,"8197"
204,"8142"
205,"8191"
206,"8523"
207,"8713"
208,"8742"
209,"9093"
210,"9789"
211,"10106"
212,"10776"
213,"12196"
214,"13388"
215,"16190"
216,"21753"
217,"33390"
218,"58382"
219,"108199"
220,"194216"
221,"327020"
222,"499644"
223,"689547"
224,"847289"
225,"929553"
226,"905115"
227,"786219"
228,"604327"
229,"416325"
230,"254144"
231,"141504"
232,"72148"
233,"36751"
234,"20733"
235,"15479"
236,"15353"
237,"18869"
238,"24936"
239,"33745"
240,"45752"
241,"61819"
242,"81577"
243,"105457"
244,"130710"
245,"150491"
246,"161283"
247,"156930"
248,"139537"
249,"111234"
250,"80344"
251,"53011"
252,"33142"
253,"20039"
254,"13192"
255,"10309"
256,"9375"
257,"9523"
258,"9335"
259,"8877"
260,"8315"
261,"7364"
262,"6303"
263,"5555"
264,"5174"
265,"4818"
266,"4698"
267,"4752"
268,"4756"
269,"4926"
270,"4985"
271,"5259"
272,"5566"
273,"5883"
274,"6373"
275,"6594"
276,"6898"
277,"6886"
278,"6849"
279,"6469"
280,"5898"
281,"5626"
282,"5363"
283,"5344"
284,"5386"
285,"5493"
286,"5494"
287,"5832"
288,"6233"
289,"6124"
290,"6538"
291,"6405"
292,"6351"
293,"6175"
294,"6170"
295,"5896"
296,"5902"
297,"5713"
298,"5758"
299,"5809"
300,"5656"
301,"5375"
302,"5464"
303,"5414"
304,"5454"
305,"5388"
306,"5476"
307,"5546"
308,"5763"
309,"5749"
310,"5871"
311,"6056"
312,"6364"
313,"6551"
314,"6885"
315,"7285"
316,"7722"
317,"8222"
318,"8843"
319,"9055"
320,"9164"
321,"8976"
322,"8352"
323,"7837"
324,"7413"
325,"6919"
326,"6679"
327,"6552"
328,"6536"
329,"6636"
330,"6698"
331,"6703"
332,"7009"
333,"7126"
334,"7949"
335,"8886"
336,"10973"
337,"15190"
338,"23443"
339,"39043"
340,"64232"
341,"101743"
342,"151142"
343,"206157"
344,"260966"
345,"301970"
346,"320432"
347,"310455"
348,"274213"
349,"223838"
350,"166631"
351,"113676"
352,"73071"
353,"44414"
354,"26296"
355,"16348"
356,"11185"
357,"9097"
358,"8580"
359,"8519"
360,"9052"
361,"9580"
362,"10131"
363,"10573"
364,"11585"
365,"12291"
366,"12914"
367,"14163"
368,"15456"
