Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PBk31"
Duration Time,300.673
Ambient Temperature,"110.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"10069902"
Raw Accumulated Counts,"11023093"
Valid Count Last Packet,"31309"
Raw Count Last Packet,"34232"
Live Time,274.877167
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0276
Number of Channels,2048
Vacuum,-1
Channel#,Intensity
0,"9398"
1,"7195"
2,"4746"
3,"2853"
4,"1275"
5,"307"
6,"42"
7,"8"
8,"7"
9,"3"
10,"5"
11,"5"
12,"4"
13,"2"
14,"4"
15,"0"
16,"1"
17,"2"
18,"0"
19,"1"
20,"1"
21,"1"
22,"3"
23,"1"
24,"1"
25,"2"
26,"0"
27,"0"
28,"1"
29,"1"
30,"2"
31,"29"
32,"233"
33,"883"
34,"1408"
35,"1713"
36,"1908"
37,"2044"
38,"2011"
39,"1989"
40,"1999"
41,"2017"
42,"1913"
43,"2023"
44,"1941"
45,"2023"
46,"2123"
47,"2155"
48,"2058"
49,"1992"
50,"1927"
51,"1916"
52,"1869"
53,"1905"
54,"1833"
55,"1899"
56,"1840"
57,"1819"
58,"1899"
59,"1885"
60,"1841"
61,"1826"
62,"1794"
63,"1613"
64,"1659"
65,"1589"
66,"1556"
67,"1580"
68,"1558"
69,"1504"
70,"1576"
71,"1587"
72,"1559"
73,"1644"
74,"1584"
75,"1667"
76,"1537"
77,"1553"
78,"1509"
79,"1498"
80,"1555"
81,"1709"
82,"1982"
83,"2722"
84,"3881"
85,"4986"
86,"6151"
87,"6388"
88,"5709"
89,"4640"
90,"3410"
91,"2546"
92,"2004"
93,"1685"
94,"1576"
95,"1503"
96,"1401"
97,"1509"
98,"1544"
99,"1545"
100,"1633"
101,"1472"
102,"1511"
103,"1448"
104,"1410"
105,"1487"
106,"1442"
107,"1410"
108,"1423"
109,"1533"
110,"1698"
111,"1822"
112,"2047"
113,"2466"
114,"2717"
115,"2919"
116,"3042"
117,"2833"
118,"2585"
119,"2377"
120,"2242"
121,"2248"
122,"2128"
123,"2166"
124,"2292"
125,"2359"
126,"2589"
127,"3084"
128,"4024"
129,"5398"
130,"7755"
131,"10961"
132,"15255"
133,"18945"
134,"21611"
135,"22052"
136,"20212"
137,"17638"
138,"15877"
139,"15015"
140,"15976"
141,"16678"
142,"17328"
143,"17379"
144,"17240"
145,"17641"
146,"18324"
147,"19178"
148,"18515"
149,"16391"
150,"13252"
151,"10216"
152,"7241"
153,"5460"
154,"4176"
155,"3695"
156,"3713"
157,"3652"
158,"3822"
159,"3974"
160,"3999"
161,"4092"
162,"4310"
163,"4834"
164,"5420"
