Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PW5"
Duration Time,300.501
Ambient Temperature,"99.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"27993692"
Raw Accumulated Counts,"38472790"
Valid Count Last Packet,"82934"
Raw Count Last Packet,"114323"
Live Time,217.574081
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.027
Number of Channels,2048
Vacuum,676
Channel#,Intensity
0,"7122"
1,"5613"
2,"3865"
3,"2662"
4,"1181"
5,"227"
6,"48"
7,"24"
8,"20"
9,"14"
10,"12"
11,"9"
12,"6"
13,"5"
14,"4"
15,"3"
16,"2"
17,"1"
18,"5"
19,"3"
20,"1"
21,"3"
22,"2"
23,"1"
24,"2"
25,"1"
26,"0"
27,"3"
28,"0"
29,"4"
30,"18"
31,"132"
32,"758"
33,"1884"
34,"2753"
35,"3201"
36,"3453"
37,"3293"
38,"3278"
39,"3118"
40,"3312"
41,"3285"
42,"3125"
43,"3135"
44,"3102"
45,"3173"
46,"3151"
47,"3160"
48,"2994"
49,"3097"
50,"3019"
51,"2920"
52,"2923"
53,"2995"
54,"2886"
55,"2909"
56,"3034"
57,"2866"
58,"2914"
59,"2942"
60,"2842"
61,"2840"
62,"2934"
63,"2803"
64,"2811"
65,"2711"
66,"2702"
67,"2828"
68,"2667"
69,"2803"
70,"2696"
71,"2886"
72,"2813"
73,"2778"
74,"2902"
75,"2795"
76,"2693"
77,"2753"
78,"2660"
79,"2695"
80,"2557"
81,"2652"
82,"2755"
83,"2908"
84,"3126"
85,"3514"
86,"3775"
87,"3849"
88,"3564"
89,"3318"
90,"3169"
91,"2978"
92,"2862"
93,"2938"
94,"2956"
95,"3004"
96,"3012"
97,"3132"
98,"3164"
99,"3312"
100,"3335"
101,"3488"
102,"3495"
103,"3491"
104,"3581"
105,"3672"
106,"3769"
107,"4124"
108,"4801"
109,"6693"
110,"10130"
111,"16184"
112,"26254"
113,"37054"
114,"46380"
115,"50058"
116,"46312"
117,"37660"
118,"26489"
119,"17543"
120,"11917"
121,"9161"
122,"8100"
123,"7636"
124,"7247"
125,"6333"
126,"5603"
127,"5091"
128,"5086"
129,"5892"
130,"7359"
131,"9672"
132,"12222"
133,"14852"
134,"16510"
135,"16766"
136,"15447"
137,"13680"
138,"12198"
139,"11630"
140,"11685"
141,"12066"
142,"12587"
143,"12637"
144,"13288"
145,"13772"
146,"15156"
147,"15590"
148,"15388"
149,"13859"
150,"11541"
151,"9136"
152,"7242"
153,"5862"
154,"5147"
155,"4788"
156,"4787"
157,"4615"
158,"4719"
159,"4586"
160,"4450"
161,"4262"
162,"3906"
163,"3794"
164,"3901"
165,"3844"
166,"3799"
167,"3852"
168,"3829"
169,"3684"
170,"3752"
171,"3536"
172,"3346"
173,"3442"
174,"3302"
175,"3462"
176,"3388"
177,"3806"
178,"4051"
179,"4867"
180,"5762"
181,"7033"
182,"8695"
183,"9979"
184,"10737"
185,"10427"
186,"9538"
187,"8176"
188,"6740"
189,"5693"
190,"4989"
191,"4703"
192,"4651"
193,"5121"
194,"5893"
195,"6426"
196,"7464"
197,"7873"
198,"8066"
199,"8196"
200,"7820"
201,"7026"
202,"6523"
203,"5907"
204,"5425"
205,"5120"
206,"5119"
207,"5032"
208,"5056"
209,"5144"
210,"5256"
211,"5557"
212,"5958"
213,"6747"
214,"8020"
215,"10082"
216,"14163"
217,"21618"
218,"33885"
219,"51665"
220,"74427"
221,"97764"
222,"115675"
223,"122842"
224,"116944"
225,"98920"
226,"76033"
227,"52910"
228,"33946"
229,"20937"
230,"13297"
231,"9177"
232,"7664"
233,"8072"
234,"9928"
235,"14555"
236,"22280"
237,"34438"
238,"50158"
239,"66590"
240,"81643"
241,"90034"
242,"90936"
243,"85494"
244,"73356"
245,"59329"
246,"47422"
247,"36328"
248,"27652"
249,"21353"
250,"16645"
251,"14046"
252,"13644"
253,"15533"
254,"19055"
255,"24021"
256,"28053"
257,"31701"
258,"31684"
259,"29529"
260,"25023"
261,"20387"
262,"15216"
263,"11386"
264,"8632"
265,"7117"
266,"6367"
267,"5911"
268,"5939"
269,"6383"
270,"7189"
271,"8539"
272,"10048"
273,"12653"
274,"15058"
275,"16999"
276,"18169"
277,"17673"
278,"16592"
279,"14490"
280,"12017"
281,"9794"
282,"8292"
283,"7465"
284,"7481"
285,"7966"
286,"8816"
287,"9883"
288,"11024"
289,"11401"
290,"11591"
291,"11291"
292,"10724"
293,"9569"
294,"8714"
295,"8001"
296,"7502"
297,"7041"
298,"6919"
299,"6795"
300,"6623"
301,"6418"
302,"6220"
303,"5817"
304,"5842"
305,"5703"
306,"5903"
307,"5789"
308,"5845"
309,"5852"
310,"6072"
311,"6226"
312,"6388"
313,"6600"
314,"6907"
315,"7479"
316,"8228"
317,"8902"
318,"9458"
319,"9832"
320,"10006"
321,"9672"
322,"9137"
323,"8362"
324,"7665"
325,"7238"
326,"6783"
327,"6520"
328,"6287"
329,"6216"
330,"6282"
331,"6312"
332,"6330"
333,"6370"
334,"6541"
335,"6486"
